Lab-ID,Plot,Treatment,Block,Sampling Depth (cm),Target depth (cm),Mid depth (cm),Type of Material,BPCA [mgBPCA-C/gsoil],hemimellitic acid relative abundance [%],trimellitic acid relative abundance [%],pyromellitic acid relative abundance [%],mellophanic acid relative abundance [%],prehnitic acid relative abundance [%],B5CA relative abundance [%],mellitic acid relative abundance [%],Lignin [ug/gsoil],Vanillin [ug/gsoil],Acetovanillone [ug/gsoil],Syringaldehyde [ug/gsoil],Vanillic acid [ug/gsoil],Acetosyringone [ug/gsoil],Syringic acid [ug/gsoil],p-Coumaric acid [ug/gsoil],Ferulic acid [ug/gsoil],Hydrolyzable lipids [ug/gsoil],"﻿α,ω-C16 DA","﻿α,ω-C18 DA","﻿α,ω-C20 DA","﻿α,ω-C22 DA",ω-OH C14,ω-OH C16,ω-OH C18,ω-OH C20,ω-OH C22,ω-OH C24,"x,ω-diOH-C16","mix of: 9/10,ω-diOH-C16; ω-OH C18:1",x-OH-C16 DA,"x,ω-diOH-C18:1","9/10,ω-diOH-C18:1","9,10,ω-triOH-C18"
176B18NO4,1C,Control,1,0-12,0-10,5,Soil,4.48,2.86,5.65,8.93,10.60,7.56,37.88,26.52,2551.37,1460.21,429.16,20.82,449.87,0.00,32.31,40.93,118.07,398.29,39.50,13.71,12.89,11.82,10.17,95.73,18.62,38.43,45.93,7.56,0.40,83.29,14.56,2.08,2.14,1.45
176B18NO5,1C,Control,1,12-22,10-20,15,Soil,3.41,3.09,5.86,8.59,11.23,7.06,36.38,27.80,807.35,378.31,130.53,8.81,214.24,0.00,21.73,24.03,29.70,212.75,13.83,7.15,8.39,11.48,4.55,25.39,8.28,21.78,33.82,8.08,0.67,53.50,11.23,NA,1.62,2.97
176B18NO6,1C,Control,1,22-29,20-30,25,Soil,1.62,2.76,5.72,7.95,11.70,7.00,36.75,28.13,218.14,83.32,31.24,5.21,52.71,0.00,12.78,18.65,14.23,182.61,10.79,5.04,6.91,7.80,4.40,21.46,6.59,14.83,22.53,4.01,0.25,54.85,16.71,1.67,3.24,1.54
176B18NO7,1C,Control,1,29-40,30-40,35,Soil,0.55,2.38,7.65,8.59,10.60,5.86,35.74,29.18,195.62,81.08,26.35,7.03,51.11,0.00,8.06,8.43,13.56,156.07,7.13,5.18,8.05,11.82,1.30,14.19,7.15,19.50,35.05,6.31,0.41,29.84,4.10,1.20,1.99,2.86
176B18NO8,1C,Control,1,40-51,40-50,45,Soil,0.30,3.54,9.43,8.53,15.55,8.29,41.46,13.20,189.38,76.49,24.01,2.97,42.86,0.00,6.21,6.31,30.53,212.73,9.78,8.87,12.80,16.66,0.75,20.97,13.79,25.96,35.46,5.57,0.10,23.52,31.19,2.56,3.46,1.28
176B18NO9,1C,Control,1,51-60,50-60,55,Soil,0.15,1.73,4.48,5.68,10.66,5.69,36.31,35.44,29.21,9.66,3.99,0.83,9.02,0.00,2.55,1.13,2.03,27.30,0.96,0.85,1.56,3.06,0.19,1.96,1.29,3.51,7.75,1.76,0.13,2.64,0.26,0.24,0.36,0.77
176B18NO10,1C,Control,1,60-70,60-70,65,Soil,0.05,5.05,18.77,5.27,26.16,13.10,30.31,1.34,66.46,27.61,9.26,1.61,15.05,0.00,3.05,1.22,8.68,84.81,3.97,3.49,5.46,7.10,0.13,6.65,4.83,14.33,19.81,2.88,0.16,12.81,NA,1.12,1.27,0.81
176B18NO11,1C,Control,1,70-79,70-80,75,Soil,0.25,1.53,6.02,6.81,12.66,6.24,35.42,31.31,383.21,167.38,59.82,5.37,83.16,0.00,7.96,6.95,52.56,109.56,7.33,3.26,5.08,5.95,0.37,15.07,5.67,18.51,25.54,2.72,0.25,17.54,0.54,0.67,0.78,0.28
176B18NO12,1C,Control,1,79-90,80-90,85,Soil,0.04,2.17,10.30,4.26,11.91,5.18,31.10,35.09,24.28,8.97,3.16,0.49,7.26,0.00,2.13,0.85,1.42,10.68,0.55,0.44,0.82,1.02,NA,1.05,0.64,1.90,2.53,0.22,NA,1.19,NA,0.12,0.14,0.06
176B18NO16,1H,Warmed,1,0-9.5,0-10,5,Soil,18.19,3.16,6.19,9.33,11.29,7.76,37.15,25.12,8066.46,4105.94,1351.20,64.51,1976.58,0.00,128.84,235.72,203.67,950.20,62.45,28.72,27.09,23.20,82.56,166.71,28.31,58.97,61.93,13.19,2.07,291.02,94.31,4.55,2.49,2.65
176B18NO17,1H,Warmed,1,9.5-20.5,10-20,15,Soil,9.93,3.36,7.39,9.39,11.93,9.23,37.49,21.20,1562.87,462.39,170.09,17.52,306.31,0.00,32.99,43.12,530.45,1473.84,138.85,48.31,66.03,36.31,3.30,298.28,73.08,252.47,268.18,28.67,1.34,224.81,11.20,5.07,7.06,10.87
176B18NO18,1H,Warmed,1,20.5-31,20-30,25,Soil,1.23,2.80,5.29,9.36,11.87,7.04,32.90,30.73,98.87,35.01,10.57,1.62,21.88,0.00,5.31,13.96,10.52,66.08,5.07,2.24,3.05,3.14,1.59,12.48,3.70,7.67,9.26,1.15,0.19,10.37,4.36,0.66,1.01,0.14
176B18NO19,1H,Warmed,1,31-40.5,30-40,35,Soil,0.46,2.81,4.68,7.94,10.45,6.63,35.01,32.49,49.36,17.03,5.32,1.62,12.84,0.00,4.83,5.15,2.57,32.27,1.24,0.84,1.59,2.49,0.09,2.99,1.60,4.20,7.79,1.61,NA,4.68,1.28,0.19,0.49,1.19
176B18NO20,1H,Warmed,1,40.5-50,40-50,45,Soil,0.28,2.82,6.22,7.57,13.49,7.65,41.59,20.65,59.97,21.04,6.32,1.62,17.25,0.00,4.02,2.44,7.27,49.27,3.43,2.23,3.46,3.60,0.33,8.33,4.14,7.78,8.30,1.10,0.17,4.63,0.43,0.48,0.75,0.13
176B18NO21,1H,Warmed,1,50-60,50-60,55,Soil,0.25,2.41,5.06,7.27,11.92,6.27,36.87,30.20,64.77,25.24,7.44,1.45,21.15,0.00,2.96,1.49,5.05,40.29,1.67,1.61,3.19,3.94,0.18,3.36,2.02,6.25,8.29,1.57,0.15,7.12,NA,0.34,0.50,0.10
176B18NO22,1H,Warmed,1,60-69.5,60-70,65,Soil,0.04,5.19,14.52,4.91,23.68,13.14,36.63,1.92,20.86,6.20,2.39,1.57,7.24,0.00,1.83,0.64,1.01,4.84,0.35,0.21,0.30,0.56,NA,0.67,0.36,0.81,0.92,0.12,NA,0.50,NA,NA,0.06,NA
176B18NO23,1H,Warmed,1,69.5-80,70-80,75,Soil,0.05,2.41,8.65,4.93,16.23,8.62,48.53,10.64,15.71,3.31,1.56,1.69,5.51,0.00,2.49,0.46,0.69,1.09,0.07,0.04,0.06,0.12,0.03,0.14,0.08,0.15,0.27,0.08,NA,0.05,NA,NA,NA,NA
176B18NO24,1H,Warmed,1,80-89.5,80-90,85,Soil,0.02,4.22,19.59,1.92,22.14,15.60,34.80,1.73,19.11,4.39,1.85,1.44,7.94,0.00,2.54,0.43,0.53,0.14,0.02,NA,0.02,0.02,NA,0.02,0.02,0.02,0.03,NA,NA,NA,NA,NA,NA,NA
176B18NO27,2C,Control,2,0-11,0-10,5,Soil,3.22,2.10,6.13,7.16,9.30,5.58,33.07,36.67,4954.36,2644.50,718.39,36.66,1046.16,0.00,82.49,305.75,120.40,1392.80,97.17,36.94,42.84,35.55,128.34,220.91,28.61,47.03,65.55,14.55,2.56,483.56,171.60,6.20,5.38,6.02
176B18NO28,2C,Control,2,11-19,10-20,15,Soil,2.97,3.00,5.76,8.91,11.35,7.02,35.70,28.27,727.12,322.61,94.25,11.62,204.90,0.00,16.42,43.46,33.86,302.51,16.76,9.02,12.70,16.68,10.83,32.46,9.55,28.36,39.79,8.81,1.30,92.75,14.02,1.11,2.38,5.98
176B18NO29,2C,Control,2,19-29,20-30,25,Soil,4.14,2.88,6.52,8.11,11.26,7.34,37.31,26.58,299.19,104.84,33.53,2.58,68.62,0.00,17.99,50.20,21.44,305.25,18.56,7.69,8.84,9.82,16.76,37.01,9.41,20.63,30.64,5.81,NA,109.31,23.06,1.42,1.08,5.20
