Lab-ID,Plot,Treatment,Block,Sampling Depth,Depth,pH,PLFA_Data_nmol_per_g_soil,iC14:0_nmol_per_g_soil,aC14:0_nmol_per_g_soil,C14:0_nmol_per_g_soil,iC15:0_nmol_per_g_soil,aC15:0_nmol_per_g_soil,C15:0_nmol_per_g_soil,iC16:0_nmol_per_g_soil,aC16:0_nmol_per_g_soil,C16:1w7c_nmol_per_g_soil,C16:1w9c_nmol_per_g_soil,C16:1w5c_nmol_per_g_soil,C16:0_nmol_per_g_soil,10MeC16:0_nmol_per_g_soil,iC17:0_nmol_per_g_soil,aC17:0_nmol_per_g_soil,cyC17:0_nmol_per_g_soil,C17:0_nmol_per_g_soil,C18:2w6c_nmol_per_g_soil,C18:1w5c_nmol_per_g_soil,C18:1w11c_nmol_per_g_soil,C18:0_nmol_per_g_soil,10MeC18:0_nmol_per_g_soil,cyC19:0_nmol_per_g_soil,C20:0_nmol_per_g_soil,brGDGT_Data_ng_per_g_soil,IIIa_1050a_ng_per_g_soil,IIIa'_1050b_ng_per_g_soil,IIIb_1048a_ng_per_g_soil,IIIb'_1048b_ng_per_g_soil,IIIc_1046a_ng_per_g_soil,IIIc'_1046b_ng_per_g_soil,IIa_1036a_ng_per_g_soil,IIa'_1036b_ng_per_g_soil,IIb_1034a_ng_per_g_soil,IIb'_1034b_ng_per_g_soil,IIc_1032a_ng_per_g_soil,IIc'_1032b_ng_per_g_soil,Ia_1022_ng_per_g_soil,Ib_1020_ng_per_g_soil,Ic_1018_ng_per_g_soil
176B18NO04,1C,Control,1,0-12,-5,,,0.279297527,0.165647355,1.122007283,4.040873163,2.042384068,0.988015636,1.821700615,0.38572866,0.277387277,3.548038034,1.596585503,15.24226579,2.2125336,0.727287691,0.887335118,3.052655621,0.442475641,2.684152928,6.190776051,7.565493255,7.454768582,0.599302632,4.488515184,0.532003987,,2.566344479,1.168543899,0,0,0,0,5.325051256,4.830515119,0.179689529,0.52758855,0,0,10.34683916,1.625589285,0.156890015
176B18NO05,1C,Control,1,12-22,-15,5.1,,0.113613514,0.027239411,0.447254887,1.411994045,0.782864789,0.348604332,0.768307862,0.123464646,0.051816418,1.063234566,0.686791592,6.251457228,1.216990842,0.317464428,0.579668434,1.107438219,0.166066784,1.189634251,2.789026552,2.196310477,2.693854693,0.250062273,1.870153133,0.229589207,,4.325729982,1.481411233,0.439854939,0.133012501,0.414785962,0.137466147,8.602745342,7.855772481,0.371994229,0.273968102,0.135216367,0.427182709,11.95588167,0.28365593,0.097383333
176B18NO06,1C,Control,1,22-29,-25,5,,0.07938862,0.012084309,0.352256215,0.936339667,0.551385973,0.222655747,0.613661799,0.049659503,0.008230214,0.297061064,0.184834721,3.410058322,0.969725115,0.263262706,0.430196665,0.678324598,0.122477339,0.220177773,0.649308836,0.537080836,1.205285829,0.162581436,1.104232948,0.186498625,,0.44702375,0.335688551,0.006208367,0.006716601,0,0,0.950523861,1.539480323,0.051745524,0.045795839,0,0,1.834356467,0.088504232,0.010144898
176B18NO07,1C,Control,1,29-40,-35,4.78,,0.086906921,0.07121954,0.227338686,1.015323557,0.584810284,0.251517639,0.724515793,0.081031825,0.044180078,0.764920188,0.371470797,4.294666089,1.033134193,0.313977091,0.379355885,0.700978213,0.112465346,1.177187432,2.039248815,1.602466094,1.917560106,0.334525612,2.080299123,0.274737478,,0.519085324,0.72356048,0,0,0,0,1.184735224,2.720327989,0.124563434,0.623983786,0,0,3.63544857,0.181330907,0.071331072
176B18NO08,1C,Control,1,40-51,-45,4.49,,0.043969025,0.029834343,0.185159961,0.745559831,0.416165064,0.164692592,0.436994493,0.083396455,0.048970732,0.610698184,0.241135974,3.269815701,0.758471583,0.204804923,0.219398159,0.599601301,0.105707266,0.646355897,1.5191845,1.420863569,1.669865646,0.161684785,1.912550687,0.194907452,,0.41651412,0.19778707,0,0,0,0,1.009989059,0.870625481,0.015957757,0.020307464,0.698634421,0,1.579266412,0.105661132,0.011245054
176B18NO09,1C,Control,1,51-60,-55,4.71,,0.025428595,0.010647092,0.105915859,0.280395046,0.186882322,0.062276279,0.182545791,0.014030291,0.004475898,0.12375769,0.038062848,1.703514365,0.282765366,0.091479451,0.093425543,0.151055495,0.051466571,0.103622177,0.300509329,0.305898602,1.675981327,0.038651578,0.640493719,0.064933809,,7.852286807,2.853136701,0,0,0.844066372,0.844066372,14.08062319,11.43971186,0.288521486,0.091243393,0.865356497,1.179431332,18.17391617,0.781313793,1.066663857
176B18NO10,1C,Control,1,60-70,-65,4.49,,0.03814558,0.017478545,0.080975686,0.480714549,0.242542446,0.072978525,0.297120347,0.043202108,0.021849073,0.313198843,0.124087817,1.328138513,0.525906899,0.127019737,0.127837211,0.294523245,0.042866251,0.275441329,0.577972202,0.493549216,0.559996324,0.077480533,1.133096601,0.156168972,,0.711792983,0.171030237,0.032446163,0,0.038449275,0.031451034,1.363888212,0.684573733,0.179988881,0.415986079,0,0,1.54941747,0.040163384,0.05064955
176B18NO11,1C,Control,1,70-79,-75,4.3,,0.037092637,0.02990213,0.299975249,0.576638028,0.274306777,0.124736686,0.371456973,0.054408188,0.02032067,0.330727602,0.139648668,2.115100151,0.584104189,0.145145865,0.130126634,0.380290035,0.062636056,0.138467774,0.543666639,0.574688327,1.177580291,0.111518571,1.368106085,0.175275456,,2.005386814,0.439032453,0.033843187,0,0.049520496,0,4.829017938,2.107791103,0.335353365,0.381910632,0.904123685,0,6.69634001,0.589790932,0.112589115
176B18NO12,1C,Control,1,79-90,-85,4.29,,0.013532305,0.008275361,0.066505143,0.122618076,0.069078808,0.033901917,0.079699579,0.005388349,0.00251153,0.047219784,0.014388613,0.912376619,0.126657435,0.038877666,0.04109517,0.0595279,0.025594158,0.032240243,0.111209855,0.048526515,0.925937324,0.021830764,0.22066224,0.032201397,,1.714934406,0.3585145,0.293881703,0.127215698,0.450583315,0.096928832,3.316839477,1.101676274,0.08319046,0.148990747,0.080719725,0,2.943839954,0.079049943,0.03228246
176B18NO16,1H,Heated,1,0-9.5,-5,,,0.576963764,0.088108261,1.689096866,2.754899709,1.772347319,1.086774681,1.656971263,0.50440214,0.186438329,3.490520785,1.465792106,12.40229772,1.071918451,0.644571268,0.890234196,2.442590408,0.54264654,2.331172022,4.521793258,6.168080879,5.853715205,0.650930525,3.346424605,0.72123575,,3.890870953,8.206474875,0.373547303,0,0,0,9.041533589,18.23918546,2.717002354,1.242102813,0.342051511,0,19.43730622,4.377835126,0.312996942
