,,,Incubation time period:,0-72 h,0-72 h,72-1896 h,72-1896 h,0-1896 h,0-1896 h,0-1896 h,0-72 h,0-72 h,0-72 h
Depth,Treatment,Rep,Glucose C added (umol),Total Flux (umol),Part Glucose Flux (umol),Total Flux (umol),Part Glucose Flux (umol),Glucose Flux by diff (umol),Total Flux (umol),Part Glucose Flux (umol),Total respired (ug C),Glucose C respired (ug C),Native soil (ug C)
10-20,NA,1,0.0000,35.2281,-0.0021,204.6180,0.0085,0.0061,239.8461,0.0064,422.7373277,,422.7373277
10-20,NA,2,0.0000,35.6852,-0.0035,180.4907,-0.0050,0.0002,216.1758,-0.0085,428.2223075,,428.2223075
10-20,NA,3,0.0000,39.3087,0.0001,185.6002,-0.0026,-0.0052,224.9089,-0.0025,471.704603,,471.704603
10-20,Fh Disturbance Control,1,0.0000,44.0204,0.0003,169.6762,0.0063,-0.0031,213.6967,0.0066,528.2453898,,528.2453898
10-20,Fh Disturbance Control,2,0.0000,36.1490,0.0013,163.5032,0.0029,0.0004,199.6523,0.0042,433.7882638,,433.7882638
10-20,Fh Disturbance Control,3,0.0000,40.0111,-0.0007,167.5770,0.0163,-0.0020,207.5882,0.0156,480.1337311,,480.1337311
10-20,13C Fh,1,223.1800,36.8811,0.3391,149.2079,0.3786,0.4272,186.0890,0.7176,442.5737397,4.06864841,438.5050913
10-20,13C Fh,2,223.9600,38.6874,0.3421,153.9615,0.3525,0.3633,192.6488,0.6946,464.2485739,4.105379606,460.1431943
10-20,13C Fh,3,224.5800,41.9948,0.3804,164.6401,0.3918,0.4414,206.6349,0.7722,503.9376785,4.565257959,499.3724205
10-20,13C Gt,1,162.6100,32.3193,0.1390,164.4489,0.2959,0.0976,196.7683,0.4348,387.8320172,1.667400553,386.1646166
10-20,13C Gt,2,162.4200,38.4368,0.2237,221.2004,0.3008,0.1881,259.6373,0.5245,461.2421342,2.684468278,458.5576659
10-20,13C Gt,3,159.4100,36.4000,0.0843,236.6262,0.1546,0.0447,273.0262,0.2389,436.7997163,1.012015957,435.7877003
10-20,13C Glucose,1,188.4000,111.9122,82.3191,167.7760,85.9198,139.4515,279.6882,168.2389,1342.945829,987.8291749,355.1166538
10-20,13C Glucose,2,188.4000,106.9654,78.9380,244.3686,119.7806,163.3849,351.3340,198.7186,1283.584301,947.2560549,336.3282465
10-20,13C Glucose,3,188.4000,106.8411,77.7971,198.2250,98.0178,137.0251,305.0661,175.8149,1282.092984,933.5652493,348.5277351
50-60,NA,1,0.0000,2.7529,0.0000,19.4073,0.0010,-0.0003,22.1602,0.0010,33.0344232,,33.0344232
50-60,NA,2,0.0000,3.0960,0.0000,23.1024,-0.0007,-0.0051,26.1984,-0.0007,37.15163295,,37.15163295
