sampleID,IGSN,plot,soilDepth,fieldTreatment,amendment,CO2_1,CO2_3,CO2_8,CO2_16,CO2_28,cumulativeRespiration,ammonium_1,ammonium_28,nitrate_1,nitrate_28,CUE,netNmineralization
N/A,N/A,N/A,cm,N/A,N/A,mg CO2-C/g dry soil/day,mg CO2-C/g dry soil/day,mg CO2-C/g dry soil/day,mg CO2-C/g dry soil/day,mg CO2-C/g dry soil,mg CO2-C/g dry soil/day,mg NH4-N/kg dry soil,mg NH4-N/kg dry soil,mg NO3-N/kg dry soil,mg NO3-N/kg dry soil,N/A,mg N/kg dry soil/day
BWE201806041C1030,IEBWE0091,P1,30-Oct,Control,C,24.318643,19.859288,24.98131,3.967517,0.9667299,325.9988584,-9999,-9999,-9999,-9999,0,-9999
BWE201806041C1030,IEBWE0091,P1,30-Oct,Control,CNP,23.009244,48.063599,227.80649,13.909131,4.1762912,1859.132327,-9999,-9999,-9999,-9999,0.47,-9999
BWE201806041C1030,IEBWE0091,P1,30-Oct,Control,Control,7.308619,8.59831,9.886637,16.078634,1.3294554,277.7375359,0.9406042,1.5019325,0.2123945,0.3344147,0.59,0.024405304
BWE201806041C1030,IEBWE0091,P1,30-Oct,Control,NP,17.120191,23.290724,7.905432,10.923731,2.7076099,292.6261934,-9999,-9999,-9999,-9999,0.48,-9999
BWE201806041H1030,IEBWE0096,P1,30-Oct,Heating,C,34.537958,46.412193,41.939625,8.564358,7.1498824,632.6690284,-9999,-9999,-9999,-9999,0.47,-9999
BWE201806041H1030,IEBWE0096,P1,30-Oct,Heating,CNP,39.527492,210.602697,149.484841,18.275117,2.306005,1984.40309,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806041H1030,IEBWE0096,P1,30-Oct,Heating,Control,15.751107,10.207435,3.962998,4.751116,3.0816623,158.9888573,0.7964551,1.7023468,0.2371126,0.2431924,0.59,0.032570411
BWE201806041H1030,IEBWE0096,P1,30-Oct,Heating,NP,18.82555,14.736745,6.810621,3.353408,2.0110219,179.0989554,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806042C1030,IEBWE009B,P2,30-Oct,Control,C,24.76894,18.372202,26.816698,16.035728,4.4606991,475.2705986,-9999,-9999,-9999,-9999,0.48,-9999
BWE201806042C1030,IEBWE009B,P2,30-Oct,Control,CNP,28.855697,58.295905,186.440883,17.42016,6.2048533,1685.043521,-9999,-9999,-9999,-9999,0.49,-9999
BWE201806042C1030,IEBWE009B,P2,30-Oct,Control,Control,17.694955,13.752195,3.612973,10.480073,2.3415671,225.8570496,1.203857,1.5452493,0.2216055,0.2575415,0.59,0.013476011
BWE201806042C1030,IEBWE009B,P2,30-Oct,Control,NP,21.281575,17.923669,7.36265,14.45262,3.1494499,316.5761159,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806042H1030,IEBWE009G,P2,30-Oct,Heating,C,92.918197,120.601764,109.83997,7.873726,1.9816262,1412.52939,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806042H1030,IEBWE009G,P2,30-Oct,Heating,CNP,115.093635,315.923813,136.944691,13.760744,7.4118236,2408.139489,-9999,-9999,-9999,-9999,0.53,-9999
BWE201806042H1030,IEBWE009G,P2,30-Oct,Heating,Control,12.687605,30.49472,12.291345,20.409391,3.6991603,438.2893443,3.9171125,12.1133537,0.2497692,0.2924127,0.53,0.294245882
BWE201806042H1030,IEBWE009G,P2,30-Oct,Heating,NP,30.175903,20.010867,12.022875,7.473989,5.1799177,314.3579242,-9999,-9999,-9999,-9999,0.39,-9999
BWE201806043C1030,IEBWE009L,P3,30-Oct,Control,C,14.216018,13.557326,11.787453,13.833484,7.9213642,338.3641467,-9999,-9999,-9999,-9999,0.62,-9999
BWE201806043C1030,IEBWE009L,P3,30-Oct,Control,CNP,18.285729,40.030567,123.13332,14.047585,9.9653076,1177.312718,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806043C1030,IEBWE009L,P3,30-Oct,Control,Control,19.700741,6.618691,2.731764,19.103696,3.6272871,293.1240491,1.5628413,2.608276,0.2801907,0.3469725,0.59,0.039722018
BWE201806043C1030,IEBWE009L,P3,30-Oct,Control,NP,11.11844,7.21992,14.531881,6.586584,6.7672378,248.4330933,-9999,-9999,-9999,-9999,0.59,-9999
BWE201806043H1030,IEBWE009Q,P3,30-Oct,Heating,C,38.229399,51.092567,52.707634,3.293374,5.2975265,662.6013025,-9999,-9999,-9999,-9999,0.55,-9999
BWE201806043H1030,IEBWE009Q,P3,30-Oct,Heating,CNP,52.808355,250.559054,128.432609,15.614889,7.242685,2016.990358,-9999,-9999,-9999,-9999,0.55,-9999
BWE201806043H1030,IEBWE009Q,P3,30-Oct,Heating,Control,19.19769,12.976982,8.337123,10.065558,0.8762196,243.9190141,3.0217873,11.0110821,0.4044028,0.4563573,0.43,0.287187475
BWE201806043H1030,IEBWE009Q,P3,30-Oct,Heating,NP,22.377275,16.434525,5.817851,5.687134,4.1521372,221.8755822,-9999,-9999,-9999,-9999,0.63,-9999
BWE201806041C6080,IEBWE0094,P1,60-80,Control,C,12.829185,12.495605,14.61391,35.148445,7.1978462,559.0549297,-9999,-9999,-9999,-9999,0.43,-9999
BWE201806041C6080,IEBWE0094,P1,60-80,Control,CNP,11.162183,9.963734,67.975101,40.057348,13.8792738,982.8847143,-9999,-9999,-9999,-9999,0.46,-9999
BWE201806041C6080,IEBWE0094,P1,60-80,Control,Control,10.905487,4.183606,2.427257,22.674533,5.8903236,314.3180371,0.6757557,0.8806979,0.1883253,0.3434168,0.37,0.012858346
BWE201806041C6080,IEBWE0094,P1,60-80,Control,NP,11.908526,13.503116,10.023727,35.714172,13.226681,572.7339895,-9999,-9999,-9999,-9999,0.46,-9999
BWE201806041H6080,IEBWE0099,P1,60-80,Heating,C,9.479483,11.436787,11.852454,20.861921,15.3917421,436.9983341,-9999,-9999,-9999,-9999,0.45,-9999
BWE201806041H6080,IEBWE0099,P1,60-80,Heating,CNP,9.799436,41.031219,29.544252,46.246355,27.1265844,980.4688329,-9999,-9999,-9999,-9999,0.12,-9999
BWE201806041H6080,IEBWE0099,P1,60-80,Heating,Control,8.250163,9.429065,14.20498,18.765218,12.4070206,403.9287271,0.6667265,1.2514784,0.185809,0.2513887,0.49,0.023226129
BWE201806041H6080,IEBWE0099,P1,60-80,Heating,NP,6.3196,11.641014,11.439608,21.929223,20.709494,471.289395,-9999,-9999,-9999,-9999,0.5,-9999
BWE201806042C6080,IEBWE009E,P2,60-80,Control,C,9.801776,5.61181,14.262275,13.815621,8.0015907,318.1154287,-9999,-9999,-9999,-9999,0.4,-9999
BWE201806042C6080,IEBWE009E,P2,60-80,Control,CNP,12.674483,11.026126,75.840362,38.796099,13.5265332,1026.022949,-9999,-9999,-9999,-9999,0.38,-9999
BWE201806042C6080,IEBWE009E,P2,60-80,Control,Control,7.026075,11.537778,3.628664,26.456109,5.2510681,374.0881876,0.4395356,1.1684617,0.1850676,0.2439022,0.57,0.028134311
BWE201806042C6080,IEBWE009E,P2,60-80,Control,NP,9.284698,10.858219,2.812066,45.733889,17.4172262,636.6938387,-9999,-9999,-9999,-9999,0.48,-9999
BWE201806042H6080,IEBWE009J,P2,60-80,Heating,C,6.859182,9.941705,4.293712,12.03748,3.824445,219.7449295,-9999,-9999,-9999,-9999,0.4,-9999
BWE201806042H6080,IEBWE009J,P2,60-80,Heating,CNP,11.511706,22.825519,34.877614,62.752959,20.566396,1080.545186,-9999,-9999,-9999,-9999,0.41,-9999
