sampleID,IGSN,plot,fieldTreatment,soilDepth,totalC,totalN
N/A,N/A,N/A,N/A,cm,Percent,Percent
BWE201806041C0010,IEBWE0090,P1,Control,00-10,12.1562121,0.190792
BWE201806041C1030,IEBWE0091,P1,Control,30-Oct,2.1695546,0.0860239
BWE201806041C3045,IEBWE0092,P1,Control,30-45,0.9701462,0.0352566
BWE201806041C4560,IEBWE0093,P1,Control,45-60,0.4758122,0.0220437
BWE201806041C6080,IEBWE0094,P1,Control,60-80,0.2902254,0.0132779
BWE201806041H0010,IEBWE0095,P1,Heating,00-10,7.74302,0.1894112
BWE201806041H1030,IEBWE0096,P1,Heating,30-Oct,3.7772763,0.0946297
BWE201806041H3045,IEBWE0097,P1,Heating,30-45,2.0134068,0.0628462
BWE201806041H4560,IEBWE0098,P1,Heating,45-60,-9999,-9999
BWE201806041H6080,IEBWE0099,P1,Heating,60-80,0.3920781,0.010411
BWE201806042C0010,IEBWE009A,P2,Control,00-10,11.3429368,0.2693192
BWE201806042C1030,IEBWE009B,P2,Control,30-Oct,3.7674773,0.1423402
BWE201806042C3045,IEBWE009C,P2,Control,30-45,1.2057985,0.0424043
BWE201806042C4560,IEBWE009D,P2,Control,45-60,0.6763634,0.0224155
BWE201806042C6080,IEBWE009E,P2,Control,60-80,0.748517,0.0215998
BWE201806042H0010,IEBWE009F,P2,Heating,00-10,8.5169163,0.2021608
BWE201806042H1030,IEBWE009G,P2,Heating,30-Oct,2.8652237,0.0832881
BWE201806042H3045,IEBWE009H,P2,Heating,30-45,1.455294,0.0586814
BWE201806042H4560,IEBWE009I,P2,Heating,45-60,0.614264,0.0210726
BWE201806042H6080,IEBWE009J,P2,Heating,60-80,0.3896854,0.0151819
BWE201806043C0010,IEBWE009K,P3,Control,00-10,9.1654526,0.2935175
BWE201806043C1030,IEBWE009L,P3,Control,30-Oct,2.00150935,0.07405465
BWE201806043C3045,IEBWE009M,P3,Control,30-45,1.0433872,0.0348749
BWE201806043C4560,IEBWE009N,P3,Control,45-60,0.7078372,0.025591
BWE201806043C6080,IEBWE009O,P3,Control,60-80,0.3361902,0.01362175
BWE201806043H0010,IEBWE009P,P3,Heating,00-10,7.9309896,0.1816874
BWE201806043H1030,IEBWE009Q,P3,Heating,30-Oct,2.8184377,0.0843374
BWE201806043H3045,IEBWE009R,P3,Heating,30-45,0.8996995,0.040493
BWE201806043H4560,IEBWE009S,P3,Heating,45-60,0.5963044,0.026207
BWE201806043H6080,IEBWE009T,P3,Heating,60-80,0.4047616,0.0141257
