datetime,B1.H.L3.10cm,B1.H.L3.40cm,B1.C.L8.10cm,B1.C.L8.40cm,B1.U.L5.10cm,B2.H.L30.10cm,B2.H.L30.40cm,B2.C.L26.10cm,B2.C.L26.40cm,B2.U.L28.10cm,B3.H.L39.10cm,B3.H.L39.40cm,B3.C.L44.10cm,B3.C.L44.40cm,B3.U.L41.10cm,B4.H.L53.10cm,B4.H.L53.40cm,B4.C.L58.10cm,B4.C.L58.40cm,B4.U.L55.10cm
11/12/13,0.022809524,0.067952381,0.050984127,0.053079365,0.044952381,0.045761905,0.075761905,0.020555556,0.052063492,0.023079365,0.063968254,0.115285714,0.055396825,0.058507937,0.021761905,0.048349206,0.100650794,0.048095238,0.069555556,0.032222222
11/13/13,0.021416667,0.069006944,0.048520833,0.058256944,0.042215278,0.044180556,0.079451389,0.019819444,0.057888889,0.020979167,0.061861111,0.115138889,0.054673611,0.062375,0.021388889,0.046833333,0.102861111,0.046027778,0.07225,0.030388889
11/14/13,0.020805556,0.069,0.047402778,0.059930556,0.041159722,0.043402778,0.080868056,0.019541667,0.059527778,0.020277778,0.060791667,0.1150625,0.05425,0.063534722,0.021083333,0.046368056,0.103534722,0.0450625,0.073541667,0.029659722
11/15/13,0.020263889,0.069,0.046270833,0.059923611,0.040208333,0.042444444,0.080944444,0.018805556,0.059520833,0.019284722,0.059513889,0.114472222,0.053576389,0.063208333,0.020645833,0.045215278,0.103270833,0.044243056,0.073673611,0.028951389
11/16/13,0.019520833,0.068159722,0.045680556,0.059659722,0.039916667,0.042215278,0.080236111,0.018909722,0.059375,0.019347222,0.059368056,0.113305556,0.053319444,0.062506944,0.020423611,0.045069444,0.103,0.044083333,0.073090278,0.028576389
11/17/13,0.019444444,0.067506944,0.045875,0.059611111,0.039854167,0.042270833,0.080173611,0.018875,0.059243056,0.019548611,0.059069444,0.113027778,0.053333333,0.0623125,0.020006944,0.045194444,0.103,0.044048611,0.073104167,0.028125
11/18/13,0.018777778,0.067138889,0.045395833,0.059458333,0.039833333,0.042159722,0.079493056,0.019243056,0.059368056,0.019659722,0.058770833,0.112861111,0.052993056,0.061590278,0.019611111,0.044965278,0.102701389,0.043722222,0.072680556,0.027951389
11/19/13,0.098833333,0.065256944,0.089840278,0.058430556,0.101166667,0.125381944,0.075402778,0.1346875,0.054756944,0.137340278,0.089486111,0.111055556,0.071506944,0.057486111,0.108375,0.061770833,0.100076389,0.052881944,0.0733125,0.097111111
11/20/13,0.252097222,0.067756944,0.211618056,0.057333333,0.234375,0.221159722,0.076590278,0.255631944,0.0525625,0.257611111,0.207631944,0.111006944,0.197791667,0.061791667,0.258395833,0.199111111,0.097541667,0.18125,0.077444444,0.211944444
11/21/13,0.204513889,0.06725,0.180166667,0.057034722,0.173201389,0.173604167,0.076,0.192798611,0.056118056,0.189,0.183486111,0.110381944,0.168645833,0.061618056,0.202791667,0.189520833,0.098666667,0.160347222,0.076479167,0.189034722
11/22/13,0.185090278,0.0648125,0.168756944,0.057277778,0.152729167,0.160618056,0.075791667,0.182458333,0.060673611,0.170777778,0.1856875,0.110569444,0.151875,0.057520833,0.185152778,0.191020833,0.101006944,0.141048611,0.074576389,0.175979167
11/23/13,0.171659722,0.063958333,0.158201389,0.056652778,0.141659722,0.166152778,0.0754375,0.174277778,0.060138889,0.1578125,0.179840278,0.110569444,0.143201389,0.056326389,0.176166667,0.186520833,0.100465278,0.127395833,0.072423611,0.165506944
11/24/13,0.159152778,0.064576389,0.149555556,0.055152778,0.135013889,0.161805556,0.074972222,0.168131944,0.059868056,0.149868056,0.171958333,0.110006944,0.140465278,0.055631944,0.170152778,0.180923611,0.099847222,0.118958333,0.072,0.157784722
11/25/13,0.153465278,0.0644375,0.144402778,0.054673611,0.130597222,0.156166667,0.074409722,0.163118056,0.059069444,0.144881944,0.166729167,0.109361111,0.139923611,0.055,0.165222222,0.177048611,0.098847222,0.1140625,0.071534722,0.153069444
11/26/13,0.150791667,0.064125,0.141034722,0.054666667,0.1275625,0.152055556,0.0740625,0.1595625,0.059,0.141506944,0.162625,0.109055556,0.139048611,0.055402778,0.161138889,0.173729167,0.098131944,0.110666667,0.071354167,0.149666667
11/27/13,0.147402778,0.063840278,0.138645833,0.054847222,0.125041667,0.148743056,0.073993056,0.156125,0.059,0.139069444,0.160041667,0.109118056,0.138902778,0.056180556,0.157638889,0.170951389,0.098,0.108131944,0.071354167,0.146423611
11/28/13,0.144541667,0.064,0.136326389,0.055854167,0.123083333,0.145541667,0.074506944,0.153118056,0.059013889,0.136597222,0.157583333,0.109736111,0.138236111,0.056993056,0.155097222,0.168423611,0.098,0.106145833,0.072,0.1439375
11/29/13,0.142236111,0.0639375,0.133868056,0.05625,0.120145833,0.142152778,0.074541667,0.150263889,0.059,0.133583333,0.154506944,0.109840278,0.136791667,0.057,0.151909722,0.165875,0.098,0.103569444,0.072,0.140951389
11/30/13,0.140472222,0.064173611,0.131861111,0.057222222,0.118333333,0.139645833,0.074798611,0.147444444,0.059097222,0.131243056,0.152222222,0.109944444,0.135673611,0.057222222,0.149916667,0.163284722,0.098083333,0.102027778,0.072,0.1389375
12/1/13,0.1389375,0.064361111,0.130027778,0.0579375,0.116506944,0.1369375,0.075173611,0.144909722,0.059486111,0.129326389,0.150631944,0.110097222,0.135486111,0.057694444,0.147555556,0.161645833,0.098208333,0.100881944,0.072076389,0.137111111
12/2/13,0.135729167,0.064479167,0.12825,0.0586875,0.114409722,0.134270833,0.075326389,0.143027778,0.059708333,0.127097222,0.148520833,0.110229167,0.134520833,0.058277778,0.145333333,0.160277778,0.098604167,0.099847222,0.072159722,0.135006944
12/3/13,0.131701389,0.064381944,0.126083333,0.059,0.111472222,0.131680556,0.075340278,0.140222222,0.059583333,0.124583333,0.146659722,0.110548611,0.13375,0.058409722,0.143527778,0.157416667,0.098909722,0.097340278,0.072409722,0.132902778
12/4/13,0.126055556,0.062409722,0.122034722,0.057388889,0.107472222,0.127180556,0.074006944,0.137104167,0.058104167,0.119402778,0.142930556,0.109305556,0.130243056,0.055756944,0.139902778,0.154451389,0.09775,0.093979167,0.072,0.128604167
12/5/13,0.122652778,0.060930556,0.119979167,0.056111111,0.105743056,0.124243056,0.072486111,0.134243056,0.056284722,0.116680556,0.140506944,0.1073125,0.127458333,0.054486111,0.138118056,0.152402778,0.096701389,0.097986111,0.071256944,0.128090278
12/6/13,0.137125,0.059451389,0.128472222,0.058180556,0.151472222,0.135006944,0.071361111,0.170708333,0.054951389,0.161263889,0.144590278,0.105854167,0.133,0.053256944,0.178125,0.170166667,0.094791667,0.111284722,0.071013889,0.1431875
12/7/13,0.198486111,0.059597222,0.170048611,0.074493056,0.171069444,0.184763889,0.072145833,0.212340278,0.056263889,0.197444444,0.183986111,0.1063125,0.165,0.054604167,0.228791667,0.234895833,0.094263889,0.144125,0.072402778,0.185736111
