Site,Parameter,Lysimeter,U_ID,Date,Sample_name,Block,Treatment,Litter Addition,Leachate (ml),IC (mg/L),DOC (mg/L),d13C of DOC,F of DOC,Proportion of leachate C that is from litter,leachate DOC (mg),applied litter (g),applied litter (g C),recovered in leachate as fraction of applied
HP,Leachate,1,1,20140304,HP1 20140304,1,heated,A,9302,1.646,22.24,-28.6,1.074385927,3.47324E-06,206.87648,0.239,0.110657,6.49332E-06
HP,Leachate,2,2,20140304,HP2 20140304,1,heated,B,10553,2.13,19.68,-25.48,1.077799511,0.000747882,207.68304,0.268,0.124084,0.001251752
HP,Leachate,3,3,20140304,HP3 20140304,1,unplanted,A,10322,1.048,19.87,-27.11,1.076016161,0.000358983,205.09814,0.254,0.117602,0.000626066
HP,Leachate,4,4,20140304,HP4 20140304,1,heated,none,7248,1.805,18.54,-28.89,1.074068627,,134.37792,,,
HP,Leachate,6,5,20140304,HP6 20140304,1,unplanted,none,9574,1.451,3.77,-29.34,1.07357626,,36.09398,,,
HP,Leachate,7,6,20140304,HP7 20140304,1,control,none,9888,1.526,3.33,-29.48,1.073423079,,32.92704,,,
HP,Leachate,9,7,20140304,HP9 20140304,1,control,A,10251,1.519,22.92,-28.04,1.074998639,0.000137089,234.95292,0.245,0.113435,0.000283946
HP,Leachate,10,8,20140304,HP10 20140304,1,control,B,7627,1.266,16.72,-25.16,1.078149609,0.000824229,127.52344,0.226,0.104638,0.001004496
HP,Leachate,21,9,20140304,HP21 20140304,1,unplanted,B,10074,1.292,4.19,-28.1,1.074932992,0.000122773,42.21006,0.262,0.121306,4.27205E-05
HP,Leachate,24,10,20140304,HP24 20140304,2,control,A,8350,1.444,3.97,-27.53,1.075556638,0.000258773,33.1495,0.241,0.111583,7.68773E-05
HP,Leachate,25,11,20140304,HP25 20140304,2,control,none,10298,1.403,18.45,-28.69,1.074287455,,189.9981,,,
HP,Leachate,26,12,20140304,HP26 20140304,2,control,B,10252,1.187,18.69,-24.28,1.079112365,0.00103418,191.60988,0.253,0.117139,0.001691657
HP,Leachate,27,13,20140304,HP27 20140304,2,unplanted,none,9921,1.186,3.44,-28.61,1.074374986,,34.12824,,,
HP,Leachate,29,14,20140304,HP29 20140304,2,heated,none,7953,1.935,20.55,-29.31,1.073609085,,163.43415,,,
HP,Leachate,30,15,20140304,HP30 20140304,2,heated,A,8745,2.137,20.21,-28.53,1.074462516,2.01753E-05,176.73645,0.237,0.109731,3.2495E-05
HP,Leachate,31,16,20140304,HP31 20140304,2,unplanted,B,7718,1.278,20.04,-25.18,1.078127728,0.000819457,154.66872,0.249,0.115287,0.001099382
HP,Leachate,32,17,20140304,HP32 20140304,2,heated,B,9406,1.803,16.99,-26.49,1.076694498,0.000506909,159.80794,0.246,0.113898,0.000711234
HP,Leachate,34,18,20140304,HP34 20140304,2,unplanted,A,10202,1.175,3.5,-27.43,1.075666049,0.000282633,35.707,0.241,0.111583,9.04435E-05
HP,Leachate,37,19,20140304,HP37 20140304,3,heated,A,9545,0.7906,20.09,-28.46,1.074539106,3.68773E-05,191.75905,0.251,0.116213,6.085E-05
HP,Leachate,38,20,20140304,HP38 20140304,3,heated,B,9753,2.009,18.38,-26.84,1.076311567,0.000423403,179.26014,0.249,0.115287,0.00065835
HP,Leachate,40,21,20140304,HP40 20140304,3,heated,none,8636,1.324,4.28,-28.87,1.07409051,,36.96208,,,
HP,Leachate,41,22,20140304,HP41 20140304,3,unplanted,A,10615,0.9816,20.25,-28.71,1.074265572,-2.27729E-05,214.95375,0.241,0.111583,-4.38697E-05
HP,Leachate,42,23,20140304,HP42 20140304,3,unplanted,none,10432,0.8429,18.62,-29.3,1.073620026,,194.24384,,,
HP,Leachate,43,24,20140304,HP43 20140304,3,control,none,9898,1.214,22.07,-29.56,1.073335546,,218.44886,,,
HP,Leachate,44,25,20140304,HP44 20140304,3,control,A,10571,0.8999,18.07,-27.79,1.075272169,0.000196738,191.01797,0.241,0.111583,0.000336794
HP,Leachate,46,26,20140304,HP46 20140304,3,control,B,9918,1.33,4.63,-28.13,1.074900168,0.000115615,45.92034,0.259,0.119917,4.4273E-05
HP,Leachate,48,27,20140304,HP48 20140304,3,unplanted,B,10151,0.9728,4.53,-25.61,1.077657283,0.000716866,45.98403,0.257,0.118991,0.000277033
HP,Leachate,51,28,20140304,HP51 20140304,4,heated,B,9228,1.127,18.51,-24.79,1.078554406,0.000912504,170.81028,0.251,0.116213,0.001341202
HP,Leachate,52,29,20140304,HP52 20140304,4,heated,A,8963,1.941,22.73,-28.17,1.074856403,0.000106071,203.72899,0.237,0.109731,0.000196934
HP,Leachate,53,30,20140304,HP53 20140304,4,unplanted,A,10454,0.6351,17.35,-27.17,1.075950515,0.000344667,181.3769,0.208,0.096304,0.000649139
HP,Leachate,54,31,20140304,HP54 20140304,4,heated,none,8769,1.566,18.61,-28.63,1.074353103,,163.19109,,,
HP,Leachate,56,32,20140304,HP56 20140304,4,unplanted,none,10752,0.9956,3.59,-28.22,1.074801697,,38.59968,,,
HP,Leachate,57,33,20140304,HP57 20140304,4,control,none,10012,1.39,4.42,-28.43,1.07457193,,44.25304,,,
HP,Leachate,59,34,20140304,HP59 20140304,4,control,A,10259,0.5923,21.12,-27.62,1.075458168,0.0002373,216.67008,0.248,0.114824,0.000447778
HP,Leachate,60,35,20140304,HP60 20140304,4,control,B,10473,0.5664,17.04,-24.35,1.079035783,0.001017479,178.45992,0.25,0.11575,0.001568719
HP,Leachate,62,36,20140304,HP62 20140304,4,unplanted,B,10377,0.9829,2.95,-22.05,1.081551993,0.001566195,30.61215,0.257,0.118991,0.000402926
HP,Leachate,1,37,20140315,HP1 20140315,1,heated,A,2369,NA,23.68231446,-29.20831507,1.073720344,-0.000141672,56.10340296,0.239,0.110657,-7.18282E-05
HP,Leachate,2,38,20140315,HP2 20140315,1,heated,B,2528,NA,20.1241654,-28.37640596,1.074630568,5.68228E-05,50.87389013,0.268,0.124084,2.32971E-05
HP,Leachate,3,39,20140315,HP3 20140315,1,unplanted,A,3030,NA,20.20397147,-28.81404626,1.074151731,-4.75985E-05,61.21803355,0.254,0.117602,-2.47775E-05
HP,Leachate,4,40,20140315,HP4 20140315,1,heated,none,2089,NA,18.66687629,-29.03659389,1.073908232,,38.99510457,,,
HP,Leachate,6,41,20140315,HP6 20140315,1,unplanted,none,3060,NA,3.786207897,-28.92470733,1.074030652,,11.58579616,,,
HP,Leachate,7,42,20140315,HP7 20140315,1,control,none,3055,NA,3.004201325,-27.88417866,1.075169126,,9.177835048,,,
HP,Leachate,9,43,20140315,HP9 20140315,1,control,A,3018,NA,23.0650665,-28.96870463,1.073982513,-8.45004E-05,69.6103707,0.245,0.113435,-5.18544E-05
HP,Leachate,10,44,20140315,HP10 20140315,1,control,B,3336,NA,15.96759193,-27.70148113,1.075369018,0.000217858,53.26788668,0.226,0.104638,0.000110905
HP,Leachate,21,45,20140315,HP21 20140315,1,unplanted,B,3012,NA,3.900149173,-28.16174592,1.074865434,0.000108041,11.74724931,0.262,0.121306,1.04626E-05
HP,Leachate,24,46,20140315,HP24 20140315,2,control,A,1779,NA,5.747417413,-27.57462769,1.07550781,0.000248125,10.22465558,0.241,0.111583,2.27364E-05
HP,Leachate,25,47,20140315,HP25 20140315,2,control,none,3022,NA,19.95602914,-29.24286442,1.073682541,,60.30712006,,,
HP,Leachate,26,48,20140315,HP26 20140315,2,control,B,3061,NA,19.9812725,-27.78164924,1.075281305,0.000198731,61.16267512,0.253,0.117139,0.000103765
HP,Leachate,27,49,20140315,HP27 20140315,2,unplanted,none,2649,NA,3.073502104,-28.98435891,1.073965385,,8.141707073,,,
HP,Leachate,29,50,20140315,HP29 20140315,2,heated,none,1792,NA,21.05840122,-28.83921311,1.074124195,,37.73665499,,,
HP,Leachate,30,51,20140315,HP30 20140315,2,heated,A,2371,NA,21.1888048,-28.88866968,1.074070082,-6.54038E-05,50.23865618,0.237,0.109731,-2.99441E-05
HP,Leachate,31,52,20140315,HP31 20140315,2,unplanted,B,2306,NA,20.59981303,-28.13840324,1.074890974,0.00011361,47.50316885,0.249,0.115287,4.68122E-05
HP,Leachate,32,53,20140315,HP32 20140315,2,heated,B,2051,NA,18.14971453,-27.98690304,1.075056733,0.000149758,37.2250645,0.246,0.113898,4.8945E-05
HP,Leachate,34,54,20140315,HP34 20140315,2,unplanted,A,2991,NA,3.39633382,-28.03107187,1.075008407,0.000139219,10.15843446,0.241,0.111583,1.26744E-05
HP,Leachate,37,55,20140315,HP37 20140315,3,heated,A,2417,NA,21.58137239,-28.55523055,1.074434911,1.41553E-05,52.16217707,0.251,0.116213,6.35359E-06
HP,Leachate,38,56,20140315,HP38 20140315,3,heated,B,2393,NA,19.27101247,-27.74595763,1.075320356,0.000207247,46.11553284,0.249,0.115287,8.28999E-05
HP,Leachate,40,57,20140315,HP40 20140315,3,heated,none,2510,NA,4.340577292,-28.33495778,1.074675918,,10.894849,,,
HP,Leachate,41,58,20140315,HP41 20140315,3,unplanted,A,3068,NA,19.87656385,-28.39682264,1.07460823,5.19514E-05,60.98129789,0.241,0.111583,2.8392E-05
HP,Leachate,42,59,20140315,HP42 20140315,3,unplanted,none,3110,NA,19.88007531,-28.52155093,1.074471761,,61.82703421,,,
HP,Leachate,43,60,20140315,HP43 20140315,3,control,none,3013,NA,23.3042624,-28.78340078,1.074185261,,70.21574261,,,
HP,Leachate,44,61,20140315,HP44 20140315,3,control,A,3074,NA,19.28158747,-27.99815824,1.075044419,0.000147072,59.27159988,0.241,0.111583,7.81231E-05
HP,Leachate,46,62,20140315,HP46 20140315,3,control,B,3134,NA,4.552299812,-27.66859179,1.075405003,0.000225706,14.26690761,0.259,0.119917,2.68529E-05
HP,Leachate,48,63,20140315,HP48 20140315,3,unplanted,B,3133,NA,4.519229453,-26.99511652,1.076141855,0.000386393,14.15874588,0.257,0.118991,4.59769E-05
HP,Leachate,51,64,20140315,HP51 20140315,4,heated,B,2456,NA,19.61393853,-27.88661755,1.075166458,0.000173686,48.17183303,0.251,0.116213,7.1995E-05
HP,Leachate,52,65,20140315,HP52 20140315,4,heated,A,2611,NA,25.38927584,-28.56141467,1.074428145,1.26797E-05,66.29139922,0.237,0.109731,7.66016E-06
HP,Leachate,53,66,20140315,HP53 20140315,4,unplanted,A,2980,NA,17.87630931,-28.41472648,1.074588641,4.76796E-05,53.27140174,0.208,0.096304,2.63744E-05
HP,Leachate,54,67,20140315,HP54 20140315,4,heated,none,2541,NA,21.06025137,-28.71229755,1.074263058,,53.51409873,,,
HP,Leachate,56,68,20140315,HP56 20140315,4,unplanted,none,3040,NA,3.475496688,-28.45655452,1.074542875,,10.56550993,,,
HP,Leachate,57,69,20140315,HP57 20140315,4,control,none,2997,NA,4.174705689,-28.7584153,1.074212599,,12.51159295,,,
HP,Leachate,59,70,20140315,HP59 20140315,4,control,A,2984,NA,22.35521936,-28.59514549,1.074391238,4.63153E-06,66.70797457,0.248,0.114824,2.69073E-06
