Lysimeter,Block,treatment,litter,sensor TS,sampling,flux.gC.m2.hr,RespiredLitter.mgC.m2.hr
9,1,control,A horizon,2/4/14 13:00,2/4/14,0.05534208,
24,2,control,A horizon,2/4/14 13:30,2/4/14,0.041117436,
44,3,control,A horizon,2/4/14 14:30,2/4/14,0.04712724,
59,4,control,A horizon,2/4/14 16:00,2/4/14,0.05490972,
1,1,heated,A horizon,2/4/14 12:00,2/4/14,0.02940048,
30,2,heated,A horizon,2/4/14 14:30,2/4/14,0.03848004,
37,3,heated,A horizon,2/4/14 14:30,2/4/14,0.04842432,
52,4,heated,A horizon,2/4/14 16:00,2/4/14,0.07263648,
3,1,unplanted,A horizon,2/4/14 13:00,2/4/14,0.042198336,
34,2,unplanted,A horizon,2/4/14 14:30,2/4/14,0.041463324,
41,3,unplanted,A horizon,2/4/14 15:00,2/4/14,0.06528636,
53,4,unplanted,A horizon,2/4/14 16:00,2/4/14,0.07825716,
59,4,control,A horizon,3/15/14 12:30,3/15/14,0.43149528,1.221974884
44,3,control,A horizon,3/15/14 13:00,3/15/14,0.32037876,0.902583196
9,1,control,A horizon,3/15/14 13:30,3/15/14,0.37658556,1.572178593
24,2,control,A horizon,3/15/14 13:30,3/15/14,0.3480498,1.913594376
52,4,heated,A horizon,3/15/14 12:30,3/15/14,0.37010016,0.289497444
37,3,heated,A horizon,3/15/14 13:00,3/15/14,0.7696008,1.162104124
30,2,heated,A horizon,3/15/14 13:30,3/15/14,0.6139512,1.085468777
1,1,heated,A horizon,3/15/14 14:00,3/15/14,0.5274792,0.941835908
53,4,unplanted,A horizon,3/15/14 12:30,3/15/14,0.1772676,0.575807796
41,3,unplanted,A horizon,3/15/14 13:00,3/15/14,0.16775568,0.809154529
3,1,unplanted,A horizon,3/15/14 13:30,3/15/14,0.12797856,0.701857309
34,2,unplanted,A horizon,3/15/14 13:30,3/15/14,0.13792284,0.711556581
9,1,control,A horizon,4/5/14 11:00,4/5/14,0.34891452,1.048444994
24,2,control,A horizon,4/5/14 11:00,4/5/14,0.36188532,0.869328647
44,3,control,A horizon,4/5/14 11:30,4/5/14,0.30956976,0.458988845
59,4,control,A horizon,4/5/14 11:30,4/5/14,0.37658556,0.394953583
1,1,heated,A horizon,4/5/14 10:30,4/5/14,0.5274792,0.539540522
30,2,heated,A horizon,4/5/14 11:00,4/5/14,0.4669488,0.318865244
37,3,heated,A horizon,4/5/14 11:30,4/5/14,0.6009804,1.038842102
52,4,heated,A horizon,4/5/14 11:30,4/5/14,0.4366836,0.371345294
3,1,unplanted,A horizon,4/5/14 10:30,4/5/14,0.14743476,0.799120506
34,2,unplanted,A horizon,4/5/14 11:00,4/5/14,0.07609536,0.6118861
41,3,unplanted,A horizon,4/5/14 11:30,4/5/14,0.1102518,0.655770044
53,4,unplanted,A horizon,4/5/14 11:30,4/5/14,0.14181408,0.65892882
59,4,control,A horizon,5/7/14 13:30,5/7/14,0.3048138,0.0410809
44,3,control,A horizon,5/7/14 14:30,5/7/14,0.21055932,0.016318222
9,1,control,A horizon,5/7/14 15:00,5/7/14,0.36491184,0.047998491
24,2,control,A horizon,5/7/14 16:00,5/7/14,0.25811892,0.00304043
52,4,heated,A horizon,5/7/14 14:00,5/7/14,0.17380872,-0.001536848
1,1,heated,A horizon,5/7/14 15:00,5/7/14,0.19283256,0.049552979
37,3,heated,A horizon,5/7/14 15:00,5/7/14,0.2205036,0.044769018
30,2,heated,A horizon,5/7/14 16:00,5/7/14,0.13316688,-0.028785723
53,4,unplanted,A horizon,5/7/14 14:00,5/7/14,0.14397588,0.081999071
41,3,unplanted,A horizon,5/7/14 14:30,5/7/14,0.12624912,0.16983993
3,1,unplanted,A horizon,5/7/14 15:30,5/7/14,0.07436592,0.125626348
34,2,unplanted,A horizon,5/7/14 16:30,5/7/14,0.0929574,0.251256606
9,1,control,A horizon,5/20/14 11:00,5/20/14,0.0951192,
24,2,control,A horizon,5/20/14 11:00,5/20/14,0.17164692,
44,3,control,A horizon,5/20/14 12:00,5/20/14,0.05490972,
59,4,control,A horizon,5/20/14 12:30,5/20/14,0.05707152,
1,1,heated,A horizon,5/20/14 10:30,5/20/14,0.06225984,
30,2,heated,A horizon,5/20/14 11:30,5/20/14,0.06615108,
37,3,heated,A horizon,5/20/14 11:30,5/20/14,0.05793624,
52,4,heated,A horizon,5/20/14 12:30,5/20/14,0.06442164,
3,1,unplanted,A horizon,5/20/14 10:30,5/20/14,0.0497214,
34,2,unplanted,A horizon,5/20/14 11:30,5/20/14,0.07479828,
41,3,unplanted,A horizon,5/20/14 11:30,5/20/14,0.1016046,
53,4,unplanted,A horizon,5/20/14 12:30,5/20/14,0.10290168,
59,4,control,A horizon,12/18/14 12:30,12/18/14,0.200019751,0.189671499
9,1,control,A horizon,12/18/14 13:30,12/18/14,0.125558653,0.178379767
24,1,control,A horizon,12/18/14 14:00,12/18/14,0.147044148,0.352791512
44,3,control,A horizon,12/19/14 10:00,12/18/14,0.070786181,0.117294588
1,1,heated,A horizon,12/18/14 12:30,12/18/14,0.315909376,0.186350881
30,2,heated,A horizon,12/18/14 15:00,12/18/14,0.305505553,0.177255214
37,3,heated,A horizon,12/18/14 16:00,12/18/14,0.229158797,0.141512719
52,4,heated,A horizon,12/19/14 11:00,12/18/14,0.259759767,0.106611377
53,4,unplanted,A horizon,12/18/14 11:00,12/18/14,0.053465278,0.037009304
3,1,unplanted,A horizon,12/18/14 13:30,12/18/14,0.060645517,0.034223005
34,2,unplanted,A horizon,12/18/14 15:30,12/18/14,0.064681133,0.02469417
41,3,unplanted,A horizon,12/18/14 15:30,12/18/14,0.06410669,-0.033442399
9,1,control,A horizon,2/3/15 14:00,2/3/15,0.306315416,0.331746492
24,,control,A horizon,2/3/15 16:30,2/3/15,0.153799581,0.185882539
44,,control,A horizon,2/4/15 9:30,2/3/15,0.166737874,
59,,control,A horizon,2/4/15 11:00,2/3/15,0.243676654,0.052455853
1,1,heated,A horizon,2/3/15 14:30,2/3/15,0.067907155,0.040787117
30,,heated,A horizon,2/3/15 16:00,2/3/15,0.394235545,0.437905023
37,,heated,A horizon,2/3/15 17:00,2/3/15,0.206475636,0.097893087
52,,heated,A horizon,2/4/15 11:30,2/3/15,0.264849696,0.038629667
3,1,unplanted,A horizon,2/3/15 13:00,2/3/15,0.030540044,
34,2,unplanted,A horizon,2/3/15 16:30,2/3/15,0.042646784,0.052236696
41,3,unplanted,A horizon,2/3/15 17:30,2/3/15,0.020803656,0.002902539
53,4,unplanted,A horizon,2/4/15 10:00,2/3/15,0.020328771,0.001796559
9,1,control,A horizon,3/18/15 13:30,3/18/15,0.489283784,-0.070584563
24,2,control,A horizon,3/18/15 14:00,3/18/15,0.294262696,-0.100313934
44,3,control,A horizon,3/19/15 7:30,3/18/15,0.138498564,0.094894074
59,4,control,A horizon,3/19/15 9:00,3/18/15,0.285249069,0.046814525
1,1,heated,A horizon,3/18/15 12:30,3/18/15,0.473475687,-0.008989332
30,2,heated,A horizon,3/18/15 15:00,3/18/15,0.648390913,-0.003609763
37,3,heated,A horizon,3/18/15 15:30,3/18/15,0.207745323,0.310450056
52,4,heated,A horizon,3/19/15 8:00,3/18/15,0.135371469,0.023911548
3,1,unplanted,A horizon,3/18/15 13:00,3/18/15,0.069928319,-0.006895755
34,2,unplanted,A horizon,3/18/15 15:30,3/18/15,0.070658491,-0.073103115
41,3,unplanted,A horizon,3/18/15 16:00,3/18/15,0.120894655,0.082098032
53,4,unplanted,A horizon,3/19/15 8:00,3/18/15,0.046372203,-0.008864065
9,1,control,A horizon,4/23/15 13:00,4/23/15,0.491932695,0.163407002
24,2,control,A horizon,4/23/15 13:30,4/23/15,0.355021419,-0.08057848
44,3,control,A horizon,4/23/15 16:00,4/23/15,0.324782116,0.054788424
59,4,control,A horizon,4/24/15 10:00,4/23/15,0.133515769,0.033205939
1,1,heated,A horizon,4/23/15 12:00,4/23/15,0.251870815,-0.087972637
30,2,heated,A horizon,4/23/15 14:00,4/23/15,0.411830313,0.039066537
37,3,heated,A horizon,4/23/15 15:00,4/23/15,0.178118219,-0.030052677
52,4,heated,A horizon,4/24/15 8:00,4/23/15,0.137011705,0.019978556
3,1,unplanted,A horizon,4/23/15 12:00,4/23/15,0.063246615,0.027840802
34,2,unplanted,A horizon,4/23/15 14:30,4/23/15,0.064688742,0.055185022
41,3,unplanted,A horizon,4/23/15 15:30,4/23/15,0.126127528,0.110977913
53,4,unplanted,A horizon,4/24/15 8:00,4/23/15,0.057964636,0.113244076
10,1,control,B horizon,2/4/14 13:00,2/4/14,0.039431232,
26,2,control,B horizon,2/4/14 13:30,2/4/14,0.037745028,
46,3,control,B horizon,2/4/14 15:30,2/4/14,0.033464664,
60,4,control,B horizon,2/4/14 16:00,2/4/14,0.035972352,
2,1,heated,B horizon,2/4/14 12:30,2/4/14,0.032037876,
32,2,heated,B horizon,2/4/14 14:30,2/4/14,0.042328044,
38,3,heated,B horizon,2/4/14 14:30,2/4/14,0.05274792,
51,4,heated,B horizon,2/4/14 16:00,2/4/14,0.0562068,
21,1,unplanted,B horizon,2/4/14 13:30,2/4/14,0.037917972,
31,2,unplanted,B horizon,2/4/14 13:30,2/4/14,0.06528636,
48,3,unplanted,B horizon,2/4/14 16:00,2/4/14,0.0421551,
62,4,unplanted,B horizon,2/4/14 16:00,2/4/14,0.04042566,
60,4,control,B horizon,3/15/14 12:30,3/15/14,0.31173156,
46,3,control,B horizon,3/15/14 13:00,3/15/14,0.38652984,
10,1,control,B horizon,3/15/14 13:30,3/15/14,0.39215052,
26,2,control,B horizon,3/15/14 13:30,3/15/14,0.38220624,
51,4,heated,B horizon,3/15/14 12:30,3/15/14,0.54045,
38,3,heated,B horizon,3/15/14 13:00,3/15/14,0.8344548,
32,2,heated,B horizon,3/15/14 13:30,3/15/14,0.7047468,
2,1,heated,B horizon,3/15/14 14:00,3/15/14,0.41117436,
48,3,unplanted,B horizon,3/15/14 12:30,3/15/14,0.14094936,
62,4,unplanted,B horizon,3/15/14 12:30,3/15/14,0.11068416,
21,1,unplanted,B horizon,3/15/14 13:30,3/15/14,0.12408732,
31,2,unplanted,B horizon,3/15/14 13:30,3/15/14,0.19153548,
10,1,control,B horizon,4/5/14 11:00,4/5/14,0.39863592,
26,2,control,B horizon,4/5/14 11:00,4/5/14,0.38825928,
46,3,control,B horizon,4/5/14 11:30,4/5/14,0.35972352,
60,4,control,B horizon,4/5/14 12:00,4/5/14,0.32340528,
2,1,heated,B horizon,4/5/14 10:30,4/5/14,0.37269432,
32,2,heated,B horizon,4/5/14 11:00,4/5/14,0.691776,
38,3,heated,B horizon,4/5/14 11:30,4/5/14,0.8344548,
51,4,heated,B horizon,4/5/14 11:30,4/5/14,0.5101848,
21,1,unplanted,B horizon,4/5/14 11:00,4/5/14,0.0951192,
31,2,unplanted,B horizon,4/5/14 11:00,4/5/14,0.10636056,
48,3,unplanted,B horizon,4/5/14 11:30,4/5/14,0.11068416,
62,4,unplanted,B horizon,4/5/14 12:00,4/5/14,0.10030752,
60,4,control,B horizon,5/7/14 13:30,5/7/14,0.24990408,
46,3,control,B horizon,5/7/14 14:30,5/7/14,0.28795176,
10,1,control,B horizon,5/7/14 15:30,5/7/14,0.33551136,
26,2,control,B horizon,5/7/14 16:00,5/7/14,0.26114544,
51,4,heated,B horizon,5/7/14 14:00,5/7/14,0.21531528,
2,1,heated,B horizon,5/7/14 15:00,5/7/14,0.12927564,
38,3,heated,B horizon,5/7/14 15:00,5/7/14,0.11327832,
32,2,heated,B horizon,5/7/14 16:30,5/7/14,0.10722528,
62,4,unplanted,B horizon,5/7/14 13:30,5/7/14,0.07739244,
48,3,unplanted,B horizon,5/7/14 14:30,5/7/14,0.10981944,
21,1,unplanted,B horizon,5/7/14 16:00,5/7/14,0.08344548,
31,2,unplanted,B horizon,5/7/14 16:30,5/7/14,0.11976372,
10,1,control,B horizon,5/20/14 11:00,5/20/14,0.07868952,
26,2,control,B horizon,5/20/14 11:00,5/20/14,0.05318028,
46,3,control,B horizon,5/20/14 12:00,5/20/14,0.10549584,
60,4,control,B horizon,5/20/14 12:30,5/20/14,0.04237128,
2,1,heated,B horizon,5/20/14 10:30,5/20/14,0.097281,
32,2,heated,B horizon,5/20/14 11:30,5/20/14,0.04842432,
38,3,heated,B horizon,5/20/14 11:30,5/20/14,0.05793624,
51,4,heated,B horizon,5/20/14 12:00,5/20/14,0.0670158,
21,1,unplanted,B horizon,5/20/14 11:00,5/20/14,0.05318028,
31,2,unplanted,B horizon,5/20/14 11:30,5/20/14,0.07739244,
48,3,unplanted,B horizon,5/20/14 12:00,5/20/14,0.05361264,
62,4,unplanted,B horizon,5/20/14 12:30,5/20/14,0.05534208,
