year,Lysimeter,LitterAddn,Block,Treatment,Horizon,g_LitterAdded
2014,1,A horizon,1,Heated,A,0.119
2014,2,B horizon,1,Heated,B,0.131
2014,3,A horizon,1,Unplanted,A,0.126
2014,9,A horizon,1,Control,A,0.12
2014,10,B horizon,1,Control,B,0.117
2014,21,B horizon,1,Unplanted,B,0.135
2014,24,A horizon,2,Control,A,0.117
2014,26,B horizon,2,Control,B,0.126
2014,30,A horizon,2,Heated,A,0.119
2014,31,B horizon,2,Unplanted,B,0.122
2014,32,B horizon,2,Heated,B,0.122
2014,34,A horizon,2,Unplanted,A,0.123
2014,37,A horizon,3,Heated,A,0.126
2014,38,B horizon,3,Heated,B,0.138
2014,41,A horizon,3,Unplanted,A,0.125
2014,44,A horizon,3,Control,A,0.124
2014,46,B horizon,3,Control,B,0.127
2014,48,B horizon,3,Unplanted,B,0.132
2014,51,B horizon,4,Heated,B,0.121
2014,52,A horizon,4,Heated,A,0.124
2014,53,A horizon,4,Unplanted,A,0.088
2014,59,A horizon,4,Control,A,0.126
2014,60,B horizon,4,Control,B,0.122
2014,62,B horizon,4,Unplanted,B,0.135
2015,1,A horizon,1,Heated,A,0.12
2015,2,B horizon,1,Heated,B,0.137
2015,3,A horizon,1,Unplanted,A,0.128
2015,9,A horizon,1,Control,A,0.125
2015,10,B horizon,1,Control,B,0.109
2015,21,B horizon,1,Unplanted,B,0.127
2015,24,A horizon,2,Control,A,0.124
2015,26,B horizon,2,Control,B,0.127
2015,30,A horizon,2,Heated,A,0.118
2015,31,B horizon,2,Unplanted,B,0.127
2015,32,B horizon,2,Heated,B,0.124
2015,34,A horizon,2,Unplanted,A,0.118
2015,37,A horizon,3,Heated,A,0.125
2015,38,B horizon,3,Heated,B,0.111
2015,41,A horizon,3,Unplanted,A,0.116
2015,44,A horizon,3,Control,A,0.117
2015,46,B horizon,3,Control,B,0.132
2015,48,B horizon,3,Unplanted,B,0.125
2015,51,B horizon,4,Heated,B,0.13
2015,52,A horizon,4,Heated,A,0.113
2015,53,A horizon,4,Unplanted,A,0.12
2015,59,A horizon,4,Control,A,0.122
2015,60,B horizon,4,Control,B,0.128
2015,62,B horizon,4,Unplanted,B,0.122
