Year,Block,Treatment,Litter Addn,Horiozn,Lysimeter,depth,increment,gwc_2mm,m_soil,m_co_rt,m_fi_rt,m_rt,C13_soil,C13_co_rt,C13_fi_rt,F_soil,F_co_rt,F_fi_rt,C_soil,C_co_rt,C_fi_rt,Fc_soil,Fc_rt,x_soil,x_coroot,x_firoot,g_C_soil,g_C_co_rt,g_C_fi_rt,g_C_added to A or B
2015,1,Heated,A horizon,A,1,07-14cm,7,0.094,301.94,0.155,0.016,0.172,-22.05217349,106.15,-20.59,0.010815496,0.01,0.01083,0.021,0.29,0.28,0.01075,0.010653333,0.001447425,-0.014407527,0.003895913,6.31,0.04495,0.00448,0.056949
2015,1,Heated,A horizon,A,1,14-20cm,6,0.044,302.01,0.094,0.037,0.131,-27.43183033,-28.82,-28.22,0.01075664,0.01,0.01075,0.009,0.36,0.42,0.010755,0.010653333,3.62E-05,-0.014407527,0.002131726,2.62,0.03384,0.01554,0.056949
2014,1,Heated,A horizon,A,1,05-10cm,5,0.0192,197.36,0.0564,0.011807087,0.0682,-1.175548553,531.0344428,377.5492572,0.01109941,0.01691355,0.015243825,0.024648529,0.3520165,0.45257081,0.010799864,0.010804466,0.006627104,0.135170081,0.190654259,4.864633683,0.019853731,0.005343543,0.056949
2014,1,Heated,A horizon,A,1,10-15cm,5,0.016,215.9,0.0363,0.043888976,0.0802,-28.05375673,-25.29347768,-25.77978474,0.010803954,0.010834304,0.010828957,0.020352925,0.38735672,0.38704884,0.010801534,0.010804466,5.35E-05,0.000660198,0.238417702,4.394196508,0.014061049,0.016987177,0.056949
2014,1,Heated,A horizon,A,1,15-20cm,5,0.0146,226.72,0.0347,0.011155284,,-27.95357489,-24.79497366,-25.33860456,0.010805056,0.010839785,0.010833808,0.013630427,0.37059663,0.46588887,0.010803447,0.010804466,3.56E-05,0.000781471,0.238922013,3.090290409,0.012859703,0.005197123,0.056949
2015,1,Heated,B horizon,B,2,35-45cm,10,0.032,476.82,0.098,0.071,0.168,-14.54,4.56,92.39,0.0109,0.01111,0.01207,0.007,0.35,0.38,0.010765,0.01064875,0.002984415,0.010170613,0.031338717,3.19,0.0343,0.02698,0.056949
2014,1,Heated,B horizon,B,2,35-40cm,10,0.0125,375.4,0.0371,0.0155,0.0526,-20.52988615,-23.97515933,-2.363482314,0.010886677,0.010848799,0.011086356,0.008355965,0.31621206,0.42069425,0.010813115,0.010804466,0.00162795,0.000980916,0.209277442,3.136829261,0.011731467,0.006520761,0.056949
2014,1,Heated,B horizon,B,2,40-45cm,0,,,,,,,,,,,,,,,0.01081362,0.010804466,,,,,,,
2015,1,Unplanted,A horizon,A,3,07-14cm,7,0.156,317.65,0,0.011,0.011,-23.58626199,,-26.68,0.010798713,,0.01076,0.02,,0.27,0.01075,0.010653333,0.00107653,0,0.002352249,6.41,0,0.00297,0.056949
2015,1,Unplanted,A horizon,A,3,14-20cm,6,0.135,311.82,0,0.006,0.006,-26.89170528,,-29.05,0.01076255,,0.01074,0.01,,0.34,0.010755,0.010653333,0.000166869,0,0.001911203,3.22,0,0.00204,0.056949
2014,1,Unplanted,A horizon,A,3,05-10cm,5,0.0175,203.3,NaN,0.013652625,,-16.76048423,,-25.0472183,0.010928116,,0.010837012,0.020072947,,0.52513688,0.010806114,NaN,0.002699524,,,4.080830125,,0.007169497,0.056949
2014,1,Unplanted,A horizon,A,3,10-15cm,5,0.0271,225.02,NaN,0.00557824,,-28.21002381,,-26.28017926,0.010802236,,0.010823455,0.015828558,,0.30788731,0.010801783,NaN,1.00E-05,,,3.561742121,,0.001717469,0.056949
2014,1,Unplanted,A horizon,A,3,15-20cm,5,0.0193,241.98,NaN,0.003961203,,-27.56503295,,-27.73064273,0.010809328,,0.010807507,0.007585903,,0.271737,0.010804494,NaN,0.000106958,,,1.835636808,,0.001076405,0.056949
