Sample,Litter,Horizon,Days,Fraction,per.apC,per.apN,CN
1,Needle,A,152,<2A,10.2171685,15.40497558,
2,Needle,A,152,<2A,6.233024757,8.080735128,
3,Needle,A,152,<2A,8.937435903,12.92838287,
4,Needle,A,152,<2A,15.32491874,27.89443268,
1,Needle,A,294,<2A,18.77365569,35.87971297,
2,Needle,A,294,<2A,19.68892012,32.80773743,
3,Needle,A,294,<2A,21.99371302,27.93112833,
4,Needle,A,294,<2A,11.82271574,25.1792724,
1,Needle,A,568,<2A,12.05234507,27.81275466,
2,Needle,A,568,<2A,24.29839779,51.22612751,
3,Needle,A,568,<2A,18.12156317,38.46917566,
4,Needle,A,568,<2A,16.2250593,36.54551493,
1,Needle,A,1724,<2A,19.32818794,37.38445197,
2,Needle,A,1724,<2A,13.26584919,32.72170254,
3,Needle,A,1724,<2A,12.59965072,26.12762086,
4,Needle,A,1724,<2A,16.53044029,36.6844338,
1,Needle,A,3603,<2A,28.85899146,47.59226798,
2,Needle,A,3603,<2A,16.84371873,41.67387314,
3,Needle,A,3603,<2A,20.43409844,43.29331307,
4,Needle,A,3603,<2A,26.22027032,45.88680261,
1,Needle,O,152,<2A,-0.186883998,0.646020655,
2,Needle,O,152,<2A,0.848595336,0.696915048,
3,Needle,O,152,<2A,NA,-1.102603587,
3,Needle,O,152,<2A,NA,1.507417216,
3,Needle,O,152,<2A,NA,3.111718229,
4,Needle,O,152,<2A,-1.815450124,-0.427766064,
1,Needle,O,294,<2A,1.114502569,0.791295152,
2,Needle,O,294,<2A,0.893108057,0.917304896,
4,Needle,O,294,<2A,-0.29509121,0.51972113,
1,Needle,O,568,<2A,1.282849957,3.300814276,
2,Needle,O,568,<2A,2.191522331,2.706135241,
4,Needle,O,568,<2A,-0.176031151,1.753892062,
1,Needle,O,1724,<2A,3.225352526,12.09766652,
2,Needle,O,1724,<2A,1.479964965,2.640940445,
3,Needle,O,1724,<2A,0.526363045,4.201129055,
4,Needle,O,1724,<2A,0.394077352,2.598186984,
2,Needle,O,3603,<2A,2.182674303,6.723410576,
3,Needle,O,3603,<2A,2.213099639,9.30862778,
4,Needle,O,3603,<2A,1.813080663,7.900693733,
5,Needle,O,3603,<2A,0.34689143,4.058221949,
1,Root,A,152,<2A,19.97991331,28.9566637,
2,Root,A,152,<2A,8.558848634,32.80121443,
3,Root,A,152,<2A,5.736064365,26.69201942,
4,Root,A,152,<2A,24.61333384,26.91480003,
1,Root,A,294,<2A,14.79615674,35.14109845,
2,Root,A,294,<2A,27.84572243,41.31627656,
3,Root,A,294,<2A,12.26801567,25.6087905,
4,Root,A,294,<2A,18.41812853,29.84944516,
1,Root,A,568,<2A,24.73337749,45.20925895,
2,Root,A,568,<2A,18.17522951,40.80857231,
3,Root,A,568,<2A,12.40725528,36.32463182,
4,Root,A,568,<2A,19.30886866,48.75860578,
1,Root,A,1724,<2A,27.66713421,54.05563211,
2,Root,A,1724,<2A,37.55425155,54.94791743,
3,Root,A,1724,<2A,31.37594078,55.81341784,
4,Root,A,1724,<2A,20.31717468,43.51390581,
1,Root,A,3603,<2A,22.03465497,39.88047838,
2,Root,A,3603,<2A,24.08450094,56.55653408,
3,Root,A,3603,<2A,48.36870538,81.17616062,
4,Root,A,3603,<2A,26.62353826,50.00277465,
1,Root,O,152,<2A,0.749813908,1.687756168,
2,Root,O,152,<2A,0.39622704,0.641158164,
3,Root,O,152,<2A,-1.417965723,1.055274501,
4,Root,O,152,<2A,-2.417908623,0.541353968,
1,Root,O,294,<2A,0.226572602,0.991441719,
2,Root,O,294,<2A,1.716693183,2.625220402,
3,Root,O,294,<2A,1.612645028,2.217320285,
4,Root,O,294,<2A,-1.047214405,0.566976091,
1,Root,O,568,<2A,1.17841705,2.265550755,
2,Root,O,568,<2A,1.513238749,3.28076479,
3,Root,O,568,<2A,0.546086449,2.760611997,
4,Root,O,568,<2A,-0.314641546,2.789026843,
1,Root,O,1724,<2A,0.776536922,3.45443301,
2,Root,O,1724,<2A,2.774889955,3.713134252,
3,Root,O,1724,<2A,1.994163266,6.155062728,
4,Root,O,1724,<2A,0.57235,5.451190223,
1,Root,O,3603,<2A,3.57019336,7.423405433,
2,Root,O,3603,<2A,2.801624524,8.82256702,
3,Root,O,3603,<2A,3.841350151,10.14142579,
4,Root,O,3603,<2A,0.915835451,4.139404855,
1,Needle,A,152,<2O,-0.176172401,-0.179348977,
2,Needle,A,152,<2O,0.170984293,0.365235706,
3,Needle,A,152,<2O,0.503107877,0.057731586,
4,Needle,A,152,<2O,-0.678252696,-0.205445688,
1,Needle,A,294,<2O,1.475726862,4.285086552,
2,Needle,A,294,<2O,-0.235852367,0.916972296,
3,Needle,A,294,<2O,0.05384279,1.256401318,
4,Needle,A,294,<2O,-0.197337349,0.490907341,
1,Needle,A,568,<2O,-0.278284956,0.810352128,
2,Needle,A,568,<2O,0.034656351,1.551149536,
3,Needle,A,568,<2O,2.002808714,3.247885311,
4,Needle,A,568,<2O,-0.126467037,0.609540004,
1,Needle,A,1724,<2O,-0.171135641,0.820288931,
2,Needle,A,1724,<2O,-0.137548112,0.469274037,
3,Needle,A,1724,<2O,0.397387676,1.581529417,
4,Needle,A,1724,<2O,0.194041089,0.571216946,
1,Needle,A,3603,<2O,0.604404911,1.023134526,
2,Needle,A,3603,<2O,0.259080979,0.95761103,
3,Needle,A,3603,<2O,0.338013101,0.746367549,
4,Needle,A,3603,<2O,0.060782956,0.578470927,
1,Needle,O,152,<2O,14.0926726,20.14674036,
2,Needle,O,152,<2O,2.765456245,5.816297395,
3,Needle,O,152,<2O,6.415592845,16.70085593,
4,Needle,O,152,<2O,4.716924718,9.630181766,
1,Needle,O,294,<2O,11.45888122,19.13894648,
2,Needle,O,294,<2O,32.03368391,51.53096204,
3,Needle,O,294,<2O,27.65871848,38.15808393,
4,Needle,O,294,<2O,26.55338088,30.6949519,
1,Needle,O,568,<2O,9.108197776,24.89369594,
2,Needle,O,568,<2O,13.40401899,31.52669186,
3,Needle,O,568,<2O,10.3434026,24.51489731,
4,Needle,O,568,<2O,15.34048706,26.36266754,
1,Needle,O,1724,<2O,27.95926386,39.23267152,
2,Needle,O,1724,<2O,10.71706848,17.5466124,
3,Needle,O,1724,<2O,19.07097419,30.0176806,
4,Needle,O,1724,<2O,4.212297437,7.84639614,
2,Needle,O,3603,<2O,12.78578983,21.44447106,
3,Needle,O,3603,<2O,11.95729946,20.82781584,
4,Needle,O,3603,<2O,7.556262437,15.55262193,
5,Needle,O,3603,<2O,5.360099139,9.754008413,
1,Root,A,152,<2O,-0.275271022,-0.006001525,
2,Root,A,152,<2O,-0.061449531,0.223374665,
3,Root,A,152,<2O,0.001938672,0.200517433,
4,Root,A,152,<2O,-0.05879623,-0.055979623,
1,Root,A,294,<2O,-0.119143187,0.690998925,
2,Root,A,294,<2O,-0.83172751,0.654366736,
3,Root,A,294,<2O,-0.036954226,0.303322355,
4,Root,A,294,<2O,-0.144721934,0.434290633,
1,Root,A,568,<2O,-0.170454695,0.369839263,
2,Root,A,568,<2O,-0.307845732,0.862930887,
3,Root,A,568,<2O,0.110723857,0.437086974,
4,Root,A,568,<2O,0.069240547,0.434238093,
1,Root,A,1724,<2O,-0.751710308,0.612680217,
2,Root,A,1724,<2O,-0.470350302,2.16027605,
3,Root,A,1724,<2O,-0.081828193,0.685509666,
4,Root,A,1724,<2O,-0.017471712,0.379615162,
1,Root,A,3603,<2O,0.330666292,0.317083088,
2,Root,A,3603,<2O,0.598390194,1.405206657,
3,Root,A,3603,<2O,1.398301443,2.754489441,
4,Root,A,3603,<2O,0.319666972,0.653906963,
1,Root,O,152,<2O,12.90539343,28.32968467,
2,Root,O,152,<2O,7.243280742,17.16594262,
3,Root,O,152,<2O,11.05579207,22.29364784,
4,Root,O,152,<2O,7.088316966,20.27100246,
1,Root,O,294,<2O,23.54409988,45.25779606,
2,Root,O,294,<2O,20.67290192,37.39780922,
3,Root,O,294,<2O,18.75330437,32.40041168,
4,Root,O,294,<2O,7.869725205,16.13249377,
1,Root,O,568,<2O,31.11659938,NA,
2,Root,O,568,<2O,21.24910023,45.97522931,
3,Root,O,568,<2O,12.78924019,23.16297072,
4,Root,O,568,<2O,16.51288177,37.7022563,
1,Root,O,1724,<2O,27.63887019,45.8974122,
2,Root,O,1724,<2O,11.78041954,17.30057014,
3,Root,O,1724,<2O,24.30994073,23.92178739,
4,Root,O,1724,<2O,8.367211194,13.5257262,
1,Root,O,3603,<2O,12.75420838,21.32592599,
2,Root,O,3603,<2O,12.50991021,21.37134207,
3,Root,O,3603,<2O,9.786998238,18.11631117,
4,Root,O,3603,<2O,10.58535574,15.09183797,
1,Needle,A,152,<2total,10.0409961,15.2256266,23.6
2,Needle,A,152,<2total,6.40400905,8.445970833,22.8
3,Needle,A,152,<2total,9.44054378,12.98611446,22.6
4,Needle,A,152,<2total,14.64666604,27.68898699,22.1
1,Needle,A,294,<2total,20.24938255,40.16479952,19.6
2,Needle,A,294,<2total,19.45306775,33.72470973,22.5
3,Needle,A,294,<2total,22.04755581,29.18752965,29.4
4,Needle,A,294,<2total,11.62537839,25.67017974,17.6
1,Needle,A,568,<2total,11.77406011,28.62310679,16
2,Needle,A,568,<2total,24.33305414,52.77727704,18
3,Needle,A,568,<2total,20.12437188,41.71706097,18.8
4,Needle,A,568,<2total,16.09859226,37.15505494,16.9
1,Needle,A,1724,<2total,19.1570523,38.2047409,19.5
2,Needle,A,1724,<2total,13.12830108,33.19097658,15.4
3,Needle,A,1724,<2total,12.99703839,27.70915028,18.3
4,Needle,A,1724,<2total,16.72448138,37.25565074,17.5
1,Needle,A,3603,<2total,29.46339637,48.6154025,23.6
2,Needle,A,3603,<2total,17.10279971,42.63148417,15.6
3,Needle,A,3603,<2total,20.77211154,44.03968062,18.4
4,Needle,A,3603,<2total,26.28105327,46.46527354,22
1,Needle,O,152,<2total,13.9057886,20.79276101,25.4
2,Needle,O,152,<2total,3.614051581,6.513212442,21.6
3,Needle,O,152,<2total,6.415592845,15.59825234,26
4,Needle,O,152,<2total,2.901474594,9.202415702,33.8
1,Needle,O,294,<2total,12.57338379,19.93024163,24.6
2,Needle,O,294,<2total,32.92679197,52.44826693,24.4
3,Needle,O,294,<2total,27.65871848,39.66550115,27.2
4,Needle,O,294,<2total,26.25828967,31.21467303,32.8
1,Needle,O,568,<2total,10.39104773,28.19451021,14.4
2,Needle,O,568,<2total,15.59554132,34.2328271,17.7
3,Needle,O,568,<2total,10.3434026,27.62661554,14.6
4,Needle,O,568,<2total,15.16445591,28.11655961,21
1,Needle,O,1724,<2total,31.18461639,51.33033805,23.7
2,Needle,O,1724,<2total,12.19703344,20.18755285,23.5
3,Needle,O,1724,<2total,19.59733724,34.21880965,22.3
4,Needle,O,1724,<2total,4.606374789,10.44458312,17.2
2,Needle,O,3603,<2total,14.96846414,28.16788163,16.1
3,Needle,O,3603,<2total,14.1703991,30.13644362,20.7
4,Needle,O,3603,<2total,9.3693431,23.45331567,18.3
5,Needle,O,3603,<2total,5.706990568,13.81223036,15.6
1,Root,A,152,<2total,19.70464229,28.95066218,59.7
2,Root,A,152,<2total,8.497399103,33.0245891,55.9
3,Root,A,152,<2total,5.738003037,26.89253685,50
4,Root,A,152,<2total,24.55453761,26.85882041,48
1,Root,A,294,<2total,14.67701356,35.83209737,19.9
2,Root,A,294,<2total,27.01399492,41.9706433,31.3
3,Root,A,294,<2total,12.23106144,25.91211285,22.9
4,Root,A,294,<2total,18.2734066,30.28373579,29.3
1,Root,A,568,<2total,24.5629228,45.57909821,26.2
2,Root,A,568,<2total,17.86738378,41.6715032,20.8
3,Root,A,568,<2total,12.51797914,36.76171879,16.5
4,Root,A,568,<2total,19.3781092,49.19284387,19.1
1,Root,A,1724,<2total,26.91542391,54.66831233,23.9
2,Root,A,1724,<2total,37.08390125,57.10819348,31.6
3,Root,A,1724,<2total,31.29411259,56.49892751,26.9
4,Root,A,1724,<2total,20.29970297,43.89352097,22.5
1,Root,A,3603,<2total,22.36532127,40.19756147,27
2,Root,A,3603,<2total,24.68289113,57.96174074,20.7
3,Root,A,3603,<2total,49.76700682,83.93065006,28.8
4,Root,A,3603,<2total,26.94320523,50.65668161,25.8
1,Root,O,152,<2total,13.65520734,30.01744083,40.3
2,Root,O,152,<2total,7.639507782,17.80710078,47.4
3,Root,O,152,<2total,9.637826351,23.34892234,45.2
4,Root,O,152,<2total,4.670408344,20.81235643,42.7
1,Root,O,294,<2total,23.77067248,46.24923778,25
2,Root,O,294,<2total,22.3895951,40.02302963,27.2
3,Root,O,294,<2total,20.3659494,34.61773196,28.6
4,Root,O,294,<2total,6.822510799,16.69946986,19.9
1,Root,O,568,<2total,32.29501643,NA,NA
2,Root,O,568,<2total,22.76233898,49.2559941,22.5
3,Root,O,568,<2total,13.33532664,25.92358272,25
4,Root,O,568,<2total,16.19824022,40.49128315,19.4
1,Root,O,1724,<2total,28.41540711,49.35184521,28
2,Root,O,1724,<2total,14.5553095,21.01370439,33.7
3,Root,O,1724,<2total,26.304104,30.07685011,42.5
4,Root,O,1724,<2total,8.939561194,18.97691643,22.9
1,Root,O,3603,<2total,16.32440174,28.74933142,27.6
2,Root,O,3603,<2total,15.31153473,30.19390909,24.6
3,Root,O,3603,<2total,13.62834839,28.25773696,23.4
4,Root,O,3603,<2total,11.50119119,19.23124283,29.1
1,Needle,A,152,>2A,50.07128033,83.25754586,
2,Needle,A,152,>2A,54.80726491,92.66844811,
3,Needle,A,152,>2A,51.93170453,89.40290571,
4,Needle,A,152,>2A,39.95386392,69.25579204,
1,Needle,A,294,>2A,29.86130367,50.75616226,
2,Needle,A,294,>2A,26.89461334,51.29243054,
3,Needle,A,294,>2A,34.21278608,53.83094264,
4,Needle,A,294,>2A,36.56567357,54.19138158,
1,Needle,A,568,>2A,32.46664796,53.33147851,
2,Needle,A,568,>2A,11.99206314,22.7819863,
3,Needle,A,568,>2A,19.27726946,33.53635083,
4,Needle,A,568,>2A,31.352706,51.15966536,
1,Needle,A,1724,>2A,7.472575963,12.64309834,
2,Needle,A,1724,>2A,20.70428095,30.52194839,
3,Needle,A,1724,>2A,26.19113206,44.9970302,
4,Needle,A,1724,>2A,24.46163471,36.56648929,
1,Needle,A,3603,>2A,5.965630906,8.093288357,
2,Needle,A,3603,>2A,3.68855918,7.120413725,
3,Needle,A,3603,>2A,2.286572941,5.082244107,
4,Needle,A,3603,>2A,6.634046017,10.30505367,
1,Needle,O,152,>2A,-0.065174931,0.016221295,
2,Needle,O,152,>2A,-0.016858715,0.025673953,
3,Needle,O,152,>2A,3.314420525,0.173064297,
4,Needle,O,152,>2A,-0.057692879,0.013008226,
1,Needle,O,294,>2A,-0.012701106,0.054685931,
2,Needle,O,294,>2A,0.035586475,0.10491715,
3,Needle,O,294,>2A,0.156737336,0.478249863,
4,Needle,O,294,>2A,0.003436249,0.058437833,
1,Needle,O,568,>2A,-0.057959705,0.058507713,
2,Needle,O,568,>2A,-0.017263596,0.116680787,
3,Needle,O,568,>2A,0.068355294,0.078033854,
4,Needle,O,568,>2A,-0.021926778,0.053854809,
1,Needle,O,1724,>2A,0.008000173,0.022099111,
2,Needle,O,1724,>2A,0.008371195,0.178736365,
3,Needle,O,1724,>2A,0.134240515,0.533301379,
4,Needle,O,1724,>2A,0.010127393,0.164542655,
2,Needle,O,3603,>2A,0.030301282,0.507164431,
3,Needle,O,3603,>2A,0.068434272,0.299976575,
4,Needle,O,3603,>2A,-0.050746943,0.577640588,
5,Needle,O,3603,>2A,-0.032787731,0.196317327,
1,Root,A,152,>2A,59.37785445,47.67749719,
2,Root,A,152,>2A,71.75564807,61.67200141,
3,Root,A,152,>2A,81.12476339,78.3512,
4,Root,A,152,>2A,75.17277767,76.13600883,
1,Root,A,294,>2A,62.00525688,55.34368351,
2,Root,A,294,>2A,48.20518538,43.7486704,
3,Root,A,294,>2A,67.2841905,62.81495587,
4,Root,A,294,>2A,62.90164783,56.8570389,
1,Root,A,568,>2A,44.50037532,40.31132338,
2,Root,A,568,>2A,52.1635267,45.81696401,
3,Root,A,568,>2A,52.78698118,47.19709388,
4,Root,A,568,>2A,52.13107833,49.46720701,
1,Root,A,1724,>2A,25.05398682,25.94571554,
2,Root,A,1724,>2A,19.50890856,16.30609848,
3,Root,A,1724,>2A,26.32498319,23.22032202,
4,Root,A,1724,>2A,26.53040225,22.54797955,
1,Root,A,3603,>2A,15.67139686,15.59511754,
2,Root,A,3603,>2A,9.185017834,10.77894571,
3,Root,A,3603,>2A,13.45426299,14.62518956,
4,Root,A,3603,>2A,10.32761213,8.497189785,
1,Root,O,152,>2A,-0.070951599,0.042038373,
2,Root,O,152,>2A,0.061435654,0.035234332,
3,Root,O,152,>2A,-0.006775973,0.083544813,
4,Root,O,152,>2A,-0.04387824,0.033902502,
1,Root,O,294,>2A,-0.072671792,0.046087267,
2,Root,O,294,>2A,0.05425544,0.111695972,
3,Root,O,294,>2A,0.188158122,0.111640952,
4,Root,O,294,>2A,0.069485278,0.107454855,
1,Root,O,568,>2A,0.054988726,0.048788551,
2,Root,O,568,>2A,0.048042966,0.099467545,
3,Root,O,568,>2A,0.151069129,0.070204908,
4,Root,O,568,>2A,0.063768785,0.21043976,
1,Root,O,1724,>2A,-0.041511192,0.106347634,
2,Root,O,1724,>2A,1.0408312,0.622681883,
3,Root,O,1724,>2A,0.64577749,1.796705491,
4,Root,O,1724,>2A,0.10421158,0.672231244,
1,Root,O,3603,>2A,-0.338875846,0.32691248,
2,Root,O,3603,>2A,0.075305825,0.401524942,
3,Root,O,3603,>2A,2.436713772,4.871430836,
4,Root,O,3603,>2A,0.033673771,0.246866426,
1,Needle,A,152,>2O,0.295729201,-0.021310838,
2,Needle,A,152,>2O,2.958080216,6.174393141,
3,Needle,A,152,>2O,0.926593048,1.586273327,
4,Needle,A,152,>2O,1.29121203,3.373984337,
1,Needle,A,294,>2O,1.400587308,2.980007157,
2,Needle,A,294,>2O,2.389097803,1.292117801,
3,Needle,A,294,>2O,2.600720888,1.595537721,
4,Needle,A,294,>2O,0.808118298,0.736216239,
1,Needle,A,568,>2O,0.504442037,0.742242631,
2,Needle,A,568,>2O,1.566815444,1.777596273,
3,Needle,A,568,>2O,1.114366119,1.122721424,
4,Needle,A,568,>2O,-0.005706359,0.509697301,
1,Needle,A,1724,>2O,0.158941512,0.643842239,
2,Needle,A,1724,>2O,0.180716805,1.00957769,
3,Needle,A,1724,>2O,1.382779876,1.87236749,
4,Needle,A,1724,>2O,0.70123996,1.438133241,
1,Needle,A,3603,>2O,-0.312941768,0.294042838,
2,Needle,A,3603,>2O,0.803399885,0.533270979,
3,Needle,A,3603,>2O,1.302884214,1.019927062,
4,Needle,A,3603,>2O,-0.71710345,1.578927665,
1,Needle,O,152,>2O,53.73229513,82.21935828,
2,Needle,O,152,>2O,44.08073903,79.23419521,
3,Needle,O,152,>2O,67.34094691,105.6475555,
4,Needle,O,152,>2O,68.65231946,78.96677845,
1,Needle,O,294,>2O,30.36458,46.69191631,
2,Needle,O,294,>2O,22.38915013,36.62173809,
3,Needle,O,294,>2O,21.69928045,48.17446092,
4,Needle,O,294,>2O,39.36473609,68.41194072,
1,Needle,O,568,>2O,35.99674845,64.38036216,
2,Needle,O,568,>2O,24.88331802,49.32076213,
3,Needle,O,568,>2O,32.87980905,64.44165041,
4,Needle,O,568,>2O,31.41639198,55.99666544,
1,Needle,O,1724,>2O,2.435808016,7.649598579,
2,Needle,O,1724,>2O,20.43791193,41.92972701,
3,Needle,O,1724,>2O,22.56374295,41.72205371,
4,Needle,O,1724,>2O,37.72014664,51.72574643,
2,Needle,O,3603,>2O,5.839114514,14.24720434,
3,Needle,O,3603,>2O,9.346297572,23.87514199,
4,Needle,O,3603,>2O,7.420789325,14.76276317,
5,Needle,O,3603,>2O,23.2429206,47.07642955,
1,Root,A,152,>2O,1.127311336,1.53915527,
2,Root,A,152,>2O,1.413692704,1.916770096,
3,Root,A,152,>2O,0.804411796,1.231432099,
4,Root,A,152,>2O,1.318856261,1.343032501,
1,Root,A,294,>2O,1.068037967,0.573416856,
2,Root,A,294,>2O,0.819680532,0.696445152,
3,Root,A,294,>2O,2.125499374,0.537665752,
4,Root,A,294,>2O,1.197400105,0.550909933,
1,Root,A,568,>2O,0.448631264,0.535907285,
2,Root,A,568,>2O,3.39990643,1.205517148,
3,Root,A,568,>2O,0.909850422,0.477347465,
4,Root,A,568,>2O,1.274768032,0.62606225,
1,Root,A,1724,>2O,-0.110391617,1.050274618,
2,Root,A,1724,>2O,-0.224798162,1.832484466,
3,Root,A,1724,>2O,1.016059709,1.161313869,
4,Root,A,1724,>2O,0.644303074,0.977057167,
1,Root,A,3603,>2O,NA,-0.175621214,
2,Root,A,3603,>2O,NA,0.285378263,
3,Root,A,3603,>2O,NA,2.48348137,
4,Root,A,3603,>2O,NA,0.528615821,
1,Root,O,152,>2O,51.64713402,62.08262299,
2,Root,O,152,>2O,67.76611214,69.43219861,
3,Root,O,152,>2O,73.32688068,78.70178146,
4,Root,O,152,>2O,68.61152398,78.02447666,
1,Root,O,294,>2O,56.25379775,52.65088923,
2,Root,O,294,>2O,64.44468343,63.46973556,
3,Root,O,294,>2O,52.85938368,50.4514565,
4,Root,O,294,>2O,55.0246829,60.58094366,
1,Root,O,568,>2O,45.77025202,57.66697408,
2,Root,O,568,>2O,48.25319383,47.04030681,
3,Root,O,568,>2O,46.42961725,53.92234222,
4,Root,O,568,>2O,62.79816642,64.34274907,
1,Root,O,1724,>2O,27.25226524,39.55495854,
2,Root,O,1724,>2O,33.91713898,39.51532798,
3,Root,O,1724,>2O,51.41936188,57.14520325,
4,Root,O,1724,>2O,59.36505947,68.45378054,
1,Root,O,3603,>2O,20.38498726,31.48466813,
2,Root,O,3603,>2O,19.54119571,24.1033128,
3,Root,O,3603,>2O,38.95446402,49.09165843,
4,Root,O,3603,>2O,36.6317537,49.92532497,
1,Needle,A,152,>2total,50.36700953,83.23623502,23.6
2,Needle,A,152,>2total,57.76534512,98.84284125,22.8
3,Needle,A,152,>2total,52.85829758,90.98917903,22.6
4,Needle,A,152,>2total,41.24507595,72.62977638,22.1
1,Needle,A,294,>2total,31.26189098,53.73616942,22.7
2,Needle,A,294,>2total,29.28371114,52.58454834,21.7
3,Needle,A,294,>2total,36.81350697,55.42648036,25.9
4,Needle,A,294,>2total,37.37379187,54.92759781,26.5
1,Needle,A,568,>2total,32.97109,54.07372114,23.7
2,Needle,A,568,>2total,13.55887859,24.55958258,21.5
3,Needle,A,568,>2total,20.39163557,34.65907225,22.9
4,Needle,A,568,>2total,31.34699964,51.66936266,23.6
1,Needle,A,1724,>2total,7.631517476,13.28694058,22.36639279
2,Needle,A,1724,>2total,20.88499775,31.53152608,25.79285874
3,Needle,A,1724,>2total,27.57391193,46.86939769,22.90968136
4,Needle,A,1724,>2total,25.16287467,38.00462253,25.78302492
1,Needle,A,3603,>2total,5.652689138,8.387331195,22.85468604
2,Needle,A,3603,>2total,4.491959065,7.653684704,22.90627263
3,Needle,A,3603,>2total,3.589457155,6.102171169,19.38855442
4,Needle,A,3603,>2total,5.916942567,11.88398133,22.84854926
1,Needle,O,152,>2total,53.6671202,82.23557957,25.4
2,Needle,O,152,>2total,44.06388032,79.25986916,21.6
3,Needle,O,152,>2total,70.65536743,105.8206198,26
4,Needle,O,152,>2total,68.59462658,78.97978668,33.8
1,Needle,O,294,>2total,30.35187889,46.74660224,25.3
2,Needle,O,294,>2total,22.4247366,36.72665524,23.8
3,Needle,O,294,>2total,21.85601779,48.65271078,17.5
4,Needle,O,294,>2total,39.36817234,68.47037855,22.4
1,Needle,O,568,>2total,35.93878874,64.43886987,21.7
2,Needle,O,568,>2total,24.86605442,49.43744291,19.6
3,Needle,O,568,>2total,32.94816435,64.51968427,19.9
4,Needle,O,568,>2total,31.39446521,56.05052025,21.8
1,Needle,O,1724,>2total,2.443808189,7.67169769,12.4
2,Needle,O,1724,>2total,20.44628312,42.10846338,18.9
3,Needle,O,1724,>2total,22.69798346,42.25535509,20.9
4,Needle,O,1724,>2total,37.73027403,51.89028909,28.3
2,Needle,O,3603,>2total,5.869415796,14.75436877,19.11951297
3,Needle,O,3603,>2total,9.414731844,24.17511856,15.5
4,Needle,O,3603,>2total,7.370042382,15.34040376,15.2
5,Needle,O,3603,>2total,23.21013287,47.27274688,18.7
1,Root,A,152,>2total,60.50516579,49.21665246,59.7
2,Root,A,152,>2total,73.16934078,63.5887715,55.9
3,Root,A,152,>2total,81.92917519,79.5826321,50
4,Root,A,152,>2total,76.49163393,77.47904133,48
1,Root,A,294,>2total,63.07329485,55.91710037,54.8
2,Root,A,294,>2total,49.02486592,44.44511555,53.6
3,Root,A,294,>2total,69.40968987,63.35262163,53.2
4,Root,A,294,>2total,64.09904794,57.40794883,54.3
1,Root,A,568,>2total,44.94900658,40.84723067,53.5
2,Root,A,568,>2total,55.56343313,47.02248116,57.4
3,Root,A,568,>2total,53.6968316,47.67444134,54.7
4,Root,A,568,>2total,53.40584636,50.09326926,51.8
1,Root,A,1724,>2total,24.9435952,26.99599016,44.90213739
2,Root,A,1724,>2total,19.2841104,18.13858295,51.66583817
3,Root,A,1724,>2total,27.34104289,24.38163589,54.4953518
4,Root,A,1724,>2total,27.17470533,23.52503671,56.13603821
1,Root,A,3603,>2total,15.49577564,15.89894939,47.4
2,Root,A,3603,>2total,9.470396097,12.31726192,37.36467357
3,Root,A,3603,>2total,15.93774436,15.68798119,49.37044276
4,Root,A,3603,>2total,10.85622795,9.038725725,58.36855893
1,Root,O,152,>2total,51.57618242,62.12466136,40.3
2,Root,O,152,>2total,67.82754779,69.46743294,47.4
3,Root,O,152,>2total,73.3201047,78.78532627,45.2
4,Root,O,152,>2total,68.56764574,78.05837916,42.7
1,Root,O,294,>2total,56.18112596,52.6969765,51.8
2,Root,O,294,>2total,64.49893887,63.58143153,49.3
3,Root,O,294,>2total,53.0475418,50.56309746,51
4,Root,O,294,>2total,55.09416818,60.68839852,44.1
1,Root,O,568,>2total,45.82524075,57.71576263,38.6
2,Root,O,568,>2total,48.3012368,47.13977435,49.8
3,Root,O,568,>2total,46.58068638,53.99254712,41.9
4,Root,O,568,>2total,62.8619352,64.55318883,47.3
1,Root,O,1724,>2total,27.21075405,39.66130618,33.3
2,Root,O,1724,>2total,34.95797018,40.13800986,42.3
3,Root,O,1724,>2total,52.06513937,58.94190874,42.9
4,Root,O,1724,>2total,59.46927105,69.12601178,41.8
1,Root,O,3603,>2total,20.04611142,31.81158061,38.9024498
2,Root,O,3603,>2total,19.61650153,24.50483774,37.27504753
3,Root,O,3603,>2total,41.39117779,53.96308927,35.51410774
4,Root,O,3603,>2total,36.66542747,50.17219139,35.57872853
1,Needle,A,152,DF,3.290019681,1.253064198,28.16110946
2,Needle,A,152,DF,2.887895434,0.838166987,32.17122195
3,Needle,A,152,DF,3.005674121,0.991193005,27.84022199
4,Needle,A,152,DF,4.837222161,2.353644244,25.61879965
1,Needle,A,294,DF,2.881814567,7.835164313,28.04281037
2,Needle,A,294,DF,3.061219701,6.665648962,37.91661921
3,Needle,A,294,DF,3.57553529,6.293658919,51.81486094
4,Needle,A,294,DF,2.424034339,7.441766784,27.67662653
1,Needle,A,568,DF,3.773465351,13.53274029,16.1711352
2,Needle,A,568,DF,5.956436139,18.5878587,16.913569
3,Needle,A,568,DF,4.873532248,13.76069248,19.09154766
4,Needle,A,568,DF,4.122531022,13.46027835,18.64196299
