Site,Fraction,Treatment,MassFrac,per.soil,N,C,per.soilN,per.soilC,mgN.gsoil,mgC.gsoil,15N,13C,at15N,at13C,f.litterN,f.litterC,litter.CN,native.CN,per.reN,per.reC,per.apN,per.apC
201,DF1,needles,12.8233,0.328936036,0.270649,5.225084,0.393540428,0.257917494,2.70649,52.25084,55.6670442,-19.94624354,0.38506079,1.083786275,0.003398833,0.002056819,11.68296869,19.33175459,0.255627357,0.178127866,10.34715471,2.886930528
201,DF2,needles,20.1427,0.516689144,0.0301455,0.534204,0.068853069,0.041420233,0.301455,5.34204,51.43411839,-19.16511318,0.38506079,1.084640714,0.003310008,0.002294981,12.28668536,17.73890074,0.043555254,0.031918804,1.76300751,0.517310242
201,DF3,needles,1.518875,0.038961322,0.054912,0.849908,0.009457414,0.004969145,0.54912,8.49908,49.96944321,-18.67897419,0.384526453,1.085172469,0.003327194,0.002396164,11.14661764,15.49209519,0.006013659,0.003998096,0.243417833,0.064797414
201,FLF,needles,4.4993,0.115413498,1.03521,40.168447,0.528149089,0.695693128,10.3521,401.68447,98.54208929,-17.77193966,0.402243481,1.086164599,0.006883628,0.003364536,18.9655022,38.93971587,0.69480373,0.785955234,28.12391356,12.73803034
203,DF1,roots,7.1876,0.184246414,0.366295,6.866105,0.333091037,0.223805905,3.66295,68.66105,86.42817667,-20.02310122,0.397825482,1.083702204,0.003914416,0.002419555,11.58638527,18.77287216,0.217471581,0.121133413,13.20759956,2.910205953
203,DF2,roots,26.2284,0.672336891,0.031851,0.57983,0.105692197,0.068968325,0.31851,5.7983,64.41868566,-19.71079504,0.389797519,1.084043822,0.002810201,0.002473974,16.02637547,18.21059006,0.049539647,0.038168202,3.008668164,0.916983392
203,DF3,roots,1.5305,0.039232725,0.054944,0.815275,0.010639021,0.005658674,0.54944,8.15275,57.89430418,-19.09534971,0.387417501,1.084717024,0.002581655,0.002658403,15.27940835,14.83714813,0.004581127,0.003365057,0.278223465,0.080844813
203,FLF,roots,4.0643,0.10418397,1.070742,38.063284,0.550577744,0.701567096,10.70742,380.63284,169.2049812,-15.10359184,0.428006747,1.089083168,0.00793201,0.005335465,23.91169751,35.64155255,0.728407644,0.837333329,44.23803993,20.11676535
205,DF1,control,8.0123,0.20255075,0.365425,6.644274,0.399455352,0.268266,3.65425,66.44274,3.788521025,-24.96320823,0.367675967,1.07829812,,,,18.18231922,,,,
205,DF2,control,26.4862,0.669570493,0.040503,0.674457,0.146359067,0.090019131,0.40503,6.74457,5.0334721,-24.76126743,0.368130299,1.078519039,,,,16.65202578,,,,
205,DF3,control,1.9284,0.048749905,0.054236,0.806885,0.014269132,0.007840968,0.54236,8.06885,3.323545474,-24.52073868,0.367506278,1.078782171,,,,14.87729552,,,,
205,FLF,control,3.1301,0.079128852,1.030147,40.186831,0.439916449,0.633873901,10.30147,401.86831,2.353920769,-25.97145915,0.367152419,1.077195101,,,,39.01077322,,,,
301,DF1,roots,8.2332,0.208696975,0.261717,4.994115,0.429862132,0.293630501,2.61717,49.94115,64.85905962,-21.35935166,0.389958158,1.08224051,0.002922142,0.001736588,11.34023501,19.10480842,0.208687099,0.092607643,13.00676452,2.63692453
301,DF2,roots,27.0454,0.685552781,0.030389,0.522247,0.163960188,0.100865658,0.30389,5.22247,44.94126474,-21.38636273,0.382692048,1.082210963,0.001932113,0.001575311,14.01178306,17.19153968,0.052630319,0.028857492,3.280270647,0.821692741
301,DF3,roots,2.0051,0.050825718,0.039129,0.707246,0.015651767,0.010126993,0.39129,7.07246,37.93909072,-21.87041516,0.380137369,1.081681458,0.00161007,0.001551508,17.41730254,18.07578739,0.004186714,0.002853536,0.260943806,0.081252037
301,FLF,roots,2.1668,0.054924526,0.9034465,38.4768185,0.390525913,0.595376849,9.034465,384.768185,238.5781087,-9.634185215,0.453286584,1.095064924,0.01132073,0.008098513,30.46685028,42.72773074,0.734495867,0.875681329,45.77865526,24.9342872
302,DF1,needles,12.4732,0.319827486,0.255165,4.564048,0.503445039,0.370058954,2.55165,45.64048,47.67318244,-19.56894242,0.383688728,1.084198988,0.003178151,0.002188904,12.31916752,17.90440446,0.394512857,0.265882618,13.38105054,4.113023746
302,DF2,needles,23.0062,0.589905967,0.031442,0.510865,0.11442163,0.07640009,0.31442,5.10865,39.67340675,-19.49729907,0.380770131,1.084277355,0.002537255,0.002094326,13.41145788,16.25506816,0.071582506,0.052520677,2.42792881,0.812459242
302,DF3,needles,0.758475,0.019448189,0.048545,0.724196,0.005824234,0.003570592,0.48545,7.24196,38.77127511,-19.17289627,0.380440991,1.084632201,0.002487157,0.002406505,14.4342833,14.91924098,0.003571713,0.002820455,0.121145029,0.043630528
302,FLF,needles,2.7619,0.070818357,0.861358,30.632928,0.376309097,0.549970364,8.61358,306.32928,81.13176839,-16.9264937,0.395893735,1.087089345,0.005715698,0.003760063,23.39540805,35.63347553,0.530332923,0.67877625,17.98778294,10.50020814
305,DF1,control,8.1974,0.208051613,0.312996,5.991655,0.454741352,0.325352604,3.12996,59.91655,3.109926088,-24.90728653,0.367428319,1.078359297,,,,19.14291237,,,,
305,DF2,control,27.025,0.685899779,0.033694,0.542779,0.161386725,0.097167292,0.33694,5.42779,4.07725261,-24.6048537,0.367781337,1.078690151,,,,16.10906986,,,,
305,DF3,control,1.9241,0.048834034,0.041935,0.677509,0.014300586,0.008635233,0.41935,6.77509,3.875875794,-25.04099274,0.367707846,1.078213025,,,,16.15617026,,,,
305,FLF,control,2.2543,0.057214574,0.92499,38.093491,0.369571338,0.568844871,9.2499,380.93491,1.169598825,-26.08682416,0.366720204,1.077068891,,,,41.18259765,,,,
401,DF1,needles,8.6127,0.215939541,0.278914,4.901329,0.368333168,0.261248937,2.78914,49.01329,58.62596623,-18.95755409,0.387684409,1.08486775,0.003900165,0.0026931,12.13425287,17.59419888,0.225862876,0.121877161,9.225501452,2.778273672
401,DF2,needles,25.9425,0.650436163,0.039952,0.594064,0.158921094,0.095377606,0.39952,5.94064,42.31922311,-20.08374499,0.381735436,1.083635868,0.002688762,0.001921028,10.62370667,14.88088989,0.067182319,0.031739165,2.744101161,0.723516083
401,DF3,needles,2.487975,0.062379066,0.049135,0.665604,0.018744254,0.01024857,0.49135,6.65604,39.31152584,-19.9451736,0.3806381,1.083787446,0.00250007,0.001990725,10.78658714,13.5533504,0.00736786,0.00353419,0.300944572,0.080564288
401,FLF,needles,2.8416,0.071245231,1.041989,36.001872,0.454001484,0.633124886,10.41989,360.01872,138.6588593,-7.994749184,0.41687145,1.096857794,0.009800842,0.007685026,27.09217633,34.62493299,0.699586945,0.842849484,28.57503852,19.21333339
403,DF1,roots,7.266,0.185777512,0.353871,5.562782,0.385000906,0.274413935,3.53871,55.62782,60.7359239,-20.25652878,0.388454105,1.083446866,0.002685398,0.002579567,15.10028538,15.72146998,0.210529989,0.10599369,13.70223113,4.56909644
403,DF2,roots,26.7125,0.682986758,0.041743,0.59688,0.166962746,0.108248102,0.41743,5.9688,48.61374661,-20.02618682,0.384031867,1.083698828,0.002081168,0.002323287,15.96243255,14.29545511,0.070757149,0.037657396,4.60519097,1.623306772
403,DF3,roots,2.789,0.071309315,0.054991,0.698282,0.022964739,0.013222029,0.54991,6.98282,43.94701011,-19.42467602,0.382329312,1.084356793,0.001877506,0.002633919,17.81395182,12.68849115,0.008779837,0.00521468,0.571430976,0.22479049
403,FLF,roots,2.3438,0.059926415,1.211212,37.964791,0.425071609,0.604115934,12.11212,379.64791,174.5665764,-7.554195775,0.429961009,1.097339567,0.008201849,0.009409157,35.95835266,31.3063087,0.709933026,0.851134234,46.20560928,36.69005559
405,DF1,control,7.3762,0.185613343,0.318184,5.414123,0.414307731,0.300354697,3.18184,54.14123,3.979143566,-25.52389455,0.367745533,1.077684737,,,,17.01569846,,,,
405,DF2,control,27.2724,0.686277668,0.037292,0.547001,0.179535795,0.112197997,0.37292,5.47001,4.604192099,-24.76975736,0.367973638,1.078509751,,,,14.66805213,,,,
405,DF3,control,3.0269,0.076168356,0.043366,0.620677,0.023171783,0.014129844,0.43366,6.20677,4.236178804,-24.80092879,0.367839336,1.07847565,,,,14.31252594,,,,
405,FLF,control,2.0641,0.051940634,1.051087,36.930978,0.382984691,0.573317462,10.51087,369.30978,2.080151132,-26.65024325,0.367052508,1.076452503,,,,35.13598589,,,,
502,DF1,roots,9.3412,0.239039869,0.399722,6.774659,0.422509946,0.312427772,3.99722,67.74659,54.39344789,-21.80373819,0.386140383,1.081754397,0.002406014,0.001571299,11.68296869,16.96260789,0.255627357,0.178127866,11.24501549,2.471455242
502,DF2,roots,24.5603,0.628494293,0.047824,0.679539,0.132909425,0.082396274,0.47824,6.79539,51.08937701,-20.78507289,0.384935023,1.082868706,0.002204831,0.001751416,12.28668536,14.21561965,0.043555254,0.031918804,3.241574427,0.726509119
502,DF3,roots,1.9034,0.048707713,0.064901,0.808493,0.013978407,0.007597415,0.64901,8.08493,44.42712229,-20.77022653,0.382504473,1.082884946,0.001927917,0.001769243,11.14661764,12.45930779,0.006013659,0.003998096,0.298106184,0.067670239
502,FLF,roots,3.2731,0.083758125,1.162628,36.980791,0.430602222,0.597578538,11.62628,369.80791,96.44587966,-13.67099189,0.401479012,1.090650038,0.004516799,0.006184138,18.9655022,31.75465558,0.694803729,0.785955234,21.51453236,18.60452005
504,DF1,needles,8.4798,0.221565089,0.330793,5.177477,0.46393162,0.323793273,3.30793,51.77477,69.44320541,-14.05016502,0.391630327,1.090235332,0.004707882,0.004505744,11.58638527,15.65489147,0.217471581,0.121133413,16.36082766,6.084288708
504,DF2,needles,26.5786,0.694460938,0.03196,0.424599,0.140491783,0.083229082,0.3196,4.24599,59.03700263,-13.19658716,0.387834352,1.091168895,0.003894581,0.004589983,16.02637547,13.27605065,0.049539648,0.038168202,4.098617939,1.593168268
504,DF3,needles,1.009575,0.026378756,0.060439,0.677424,0.010091783,0.005043862,0.60439,6.77424,53.42694363,-12.68140643,0.385787795,1.091732342,0.003551283,0.004811609,15.27940835,11.19421536,0.004581128,0.003365057,0.268459624,0.101211304
504,FLF,needles,2.2043,0.057595217,1.057364,36.165434,0.385484814,0.587933783,10.57364,361.65434,105.1592552,-8.617650369,0.404656626,1.096176603,0.007448033,0.007265341,23.91169751,34.20968626,0.728407643,0.837333329,21.50674049,17.81393553
505,DF1,control,8.1311,0.208996695,0.360579,5.529455,0.415384169,0.290907118,3.60579,55.29455,3.527545693,-25.01465802,0.367580726,1.078241835,,,,15.33493354,,,,
505,DF2,control,25.7007,0.660594673,0.040861,0.559922,0.148783288,0.093109759,0.40861,5.59922,4.46984069,-24.36233964,0.367924608,1.078955454,,,,13.70309097,,,,
505,DF3,control,2.5182,0.064726233,0.054458,0.717068,0.019429075,0.011683508,0.54458,7.17068,3.650997631,-24.38387999,0.367625779,1.07893189,,,,13.16735833,,,,
505,FLF,control,2.5554,0.065682399,1.150152,36.548597,0.416403468,0.604299615,11.50152,365.48597,1.131613479,-26.25883288,0.366706342,1.076880712,,,,31.77718858,,,,
