Days,Litter,Element,Move,A>2,A<2,per.applied
152,Needle,C,OtoA,0,0,0
152,Needle,C,OtoA,0,0.8,0.848595336
152,Needle,C,OtoA,3.3,NA,3.314420525
152,Needle,C,OtoA,0,0,0
152,Root,C,OtoA,0,0.7,0.749813908
152,Root,C,OtoA,0.1,0.4,0.457662694
152,Root,C,OtoA,0,0,0
152,Root,C,OtoA,0,0,0
152,Needle,N,OtoA,0,0.6,0.66224195
152,Needle,N,OtoA,0,0.7,0.722589001
152,Needle,N,OtoA,0.2,0,0.173064297
152,Needle,N,OtoA,0,0,0.013008226
152,Root,N,OtoA,0,1.7,1.729794541
152,Root,N,OtoA,0,0.6,0.676392496
152,Root,N,OtoA,0.1,1.1,1.138819314
152,Root,N,OtoA,0,0.5,0.57525647
294,Needle,C,OtoA,0,1.1,1.114502569
294,Needle,C,OtoA,0,0.9,0.928694532
294,Needle,C,OtoA,0.2,NA,0.156737336
294,Needle,C,OtoA,0,0,0.003436249
294,Root,C,OtoA,0,0.2,0.226572602
294,Root,C,OtoA,0.1,1.7,1.770948623
294,Root,C,OtoA,0.2,1.6,1.800803149
294,Root,C,OtoA,0.1,0,0.069485278
294,Needle,N,OtoA,0.1,0.8,0.845981083
294,Needle,N,OtoA,0.1,0.9,1.022222046
294,Needle,N,OtoA,0.5,1.5,1.985667079
294,Needle,N,OtoA,0.1,0.5,0.578158963
294,Root,N,OtoA,0,1,1.037528985
294,Root,N,OtoA,0.1,2.6,2.736916374
294,Root,N,OtoA,0.1,2.2,2.328961237
294,Root,N,OtoA,0.1,0.6,0.674430945
568,Needle,C,OtoA,0,1.3,1.282849957
568,Needle,C,OtoA,0,2.2,2.191522331
568,Needle,C,OtoA,0.1,NA,0.068355294
568,Needle,C,OtoA,0,0,0
568,Root,C,OtoA,0.1,1.2,1.233405776
568,Root,C,OtoA,0,1.5,1.561281716
568,Root,C,OtoA,0.2,0.5,0.697155579
568,Root,C,OtoA,0.1,0,0.063768785
568,Needle,N,OtoA,0.1,0,0.107296263
568,Needle,N,OtoA,0.1,0.1,0.216148333
568,Needle,N,OtoA,0.1,0.1,0.148238762
568,Needle,N,OtoA,0.1,0.2,0.264294569
568,Root,N,OtoA,3.3,2.3,5.566365031
568,Root,N,OtoA,2.7,3.3,5.986900031
568,Root,N,OtoA,3.1,2.8,5.872330226
568,Root,N,OtoA,1.8,2.8,4.542918905
1724,Needle,C,OtoA,0,3.2,3.233352698
1724,Needle,C,OtoA,0,1.5,1.48833616
1724,Needle,C,OtoA,0.1,0.5,0.66060356
1724,Needle,C,OtoA,0,0.4,0.404204745
1724,Root,C,OtoA,0,0.8,0.776536922
1724,Root,C,OtoA,1,2.8,3.815721155
1724,Root,C,OtoA,0.6,2,2.639940755
1724,Root,C,OtoA,0.1,0.6,0.676561579
1724,Needle,N,OtoA,0,12.1,12.11976563
1724,Needle,N,OtoA,0.2,2.6,2.819676811
1724,Needle,N,OtoA,0.5,4.2,4.734430434
1724,Needle,N,OtoA,0.2,2.6,2.762729638
1724,Root,N,OtoA,0.1,3.5,3.560780645
1724,Root,N,OtoA,0.6,3.7,4.335816135
1724,Root,N,OtoA,1.8,6.2,7.951768219
1724,Root,N,OtoA,0.7,5.5,6.123421467
3603,Needle,C,OtoA,0,0.3,0.34689143
3603,Needle,C,OtoA,0,2.2,2.212975586
3603,Needle,C,OtoA,0.1,2.2,2.281533911
3603,Needle,C,OtoA,0,1.8,1.813080663
3603,Root,C,OtoA,0,3.6,3.57019336
3603,Root,C,OtoA,0.1,2.8,2.876930349
3603,Root,C,OtoA,2.4,3.8,6.278063923
3603,Root,C,OtoA,0,0.9,0.949509222
3603,Needle,N,OtoA,0.2,4.1,4.254539277
3603,Needle,N,OtoA,0.5,6.7,7.230575007
3603,Needle,N,OtoA,0.3,9.3,9.608604354
3603,Needle,N,OtoA,0.6,7.9,8.478334321
3603,Root,N,OtoA,0.3,7.4,7.750317913
3603,Root,N,OtoA,0.4,8.8,9.224091963
3603,Root,N,OtoA,4.9,10.1,15.01285662
3603,Root,N,OtoA,0.2,4.1,4.386271281
3603,Needle,C,A0-10toA10-15,,,NA
3603,Needle,C,A0-10toA10-15,,,4.051512327
3603,Needle,C,A0-10toA10-15,,,0.235215968
3603,Needle,C,A0-10toA10-15,,,0.145131468
3603,Root,C,A0-10toA10-15,,,1.195683582
3603,Root,C,A0-10toA10-15,,,0.124150863
3603,Root,C,A0-10toA10-15,,,0.208069153
3603,Root,C,A0-10toA10-15,,,2.463783368
3603,Needle,N,A0-10toA10-15,,,4.431274529
3603,Needle,N,A0-10toA10-15,,,8.465731658
3603,Needle,N,A0-10toA10-15,,,2.487722018
3603,Needle,N,A0-10toA10-15,,,0.853433249
3603,Root,N,A0-10toA10-15,,,4.321715839
3603,Root,N,A0-10toA10-15,,,0.828032542
3603,Root,N,A0-10toA10-15,,,1.809133917
3603,Root,N,A0-10toA10-15,,,8.519024968
3603,Needle,C,OtoA10-15,,,0.376012869
3603,Needle,C,OtoA10-15,,,0.55230623
3603,Needle,C,OtoA10-15,,,0.224466154
3603,Needle,C,OtoA10-15,,,0.145439055
3603,Root,C,OtoA10-15,,,0.597953468
3603,Root,C,OtoA10-15,,,1.232766808
3603,Root,C,OtoA10-15,,,0.349981482
3603,Root,C,OtoA10-15,,,0.306214922
3603,Needle,N,OtoA10-15,,,1.240103556
3603,Needle,N,OtoA10-15,,,1.695954856
3603,Needle,N,OtoA10-15,,,1.869071682
3603,Needle,N,OtoA10-15,,,2.0595924
3603,Root,N,OtoA10-15,,,1.578781316
3603,Root,N,OtoA10-15,,,3.146617331
3603,Root,N,OtoA10-15,,,1.473608736
3603,Root,N,OtoA10-15,,,1.289479623
3603,Needle,CN,OtoA,19.2,16.1,3.175053668
3603,Needle,CN,OtoA,16.0,20.7,11.91828659
3603,Needle,CN,OtoA,15.2,18.3,9.246484675
3603,Needle,CN,OtoA,19.6,15.6,8.327538043
3603,Root,CN,OtoA,31.5,23.4,22.38615189
3603,Root,CN,OtoA,39.4,15.4,15.15698948
3603,Root,CN,OtoA,38.6,18.4,20.32214857
3603,Root,CN,OtoA,35.7,10.8,10.51988335
3603,Needle,CN,A0-10toA10-15,,,NA
3603,Needle,CN,A0-10toA10-15,,,18.63642919
3603,Needle,CN,A0-10toA10-15,,,3.681925424
3603,Needle,CN,A0-10toA10-15,,,6.622196565
3603,Root,CN,A0-10toA10-15,,,13.44520053
3603,Root,CN,A0-10toA10-15,,,7.286342161
3603,Root,CN,A0-10toA10-15,,,5.589129974
3603,Root,CN,A0-10toA10-15,,,14.05464413
3603,Needle,CN,OtoA10-15,,,11.80741404
3603,Needle,CN,OtoA10-15,,,12.68164791
3603,Needle,CN,OtoA10-15,,,4.676650826
3603,Needle,CN,OtoA10-15,,,2.749855045
3603,Root,CN,OtoA10-15,,,18.40571261
3603,Root,CN,OtoA10-15,,,19.03900411
3603,Root,CN,OtoA10-15,,,11.54170856
3603,Root,CN,OtoA10-15,,,11.54035298
