sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,700,1251.016084
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,700,1289.346161
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,700,1448.769799
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,700,1511.558884
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,350,1228.897764
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,350,1244.229185
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,350,1183.508046
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,350,1167.625375
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,200,1083.758537
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,200,1258.219698
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,200,1150.902793
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,200,1242.0812
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,130,1051.957728
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,130,1072.433125
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,130,1086.052934
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,130,963.7594163
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,80,954.2613295
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,80,979.1863104
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,80,969.6079789
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,80,932.0103628
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,40,570.8677521
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,40,543.8748261
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,40,602.5097474
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,40,625.4033303
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,10,254.8937156
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,10,248.4401434
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,10,253.0115506
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,10,248.5985133
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,700,3589.863879
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,700,3317.063819
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,700,3634.272697
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,700,2712.475559
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,350,2927.49452
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,350,4076.286858
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,350,2861.783642
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,350,3351.586919
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,200,2564.909273
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,200,2691.443695
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,200,2635.545277
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,200,2805.250739
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,130,2140.408386
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,130,2398.04567
