Column_or_Row_Name,Unit,Definition,Column_or_Row_Long_Name,Data_Type
sampleID,N/A,"Descriptive sample identifier indicating sampling site and date, core number and sampling depth.",Unique sample identifier,text
IGSN,N/A,Unique geologic sample registration identifier.,Intervational Geo Sample Number,text
core,N/A,Name of replicate soil core.,Core,text
depth,cm,"Depth interval in the soil core, below the surface.",Depth interval,text
enzyme,N/A,Abbreviaton of enzyme type. See accompanying file: enzymeTraits_design_results_tables.xlsx,Enzyme type,text
Vmax_Q10_4to50C,N/A,"Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Vmax Q10 between 4 and 50 degree Celsius,numeric
Vmax_Q10_4to50C_mean,N/A,"Mean Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Mean Vmax Q10 between 4 and 50 degree Celsius,numeric
Vmax_Q10_4to50C_se,N/A,"Standard error of Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard error of Vmax Q10 between 4 and 50 degree Celsius,numeric
Vmax_Q10_4to50C_sd,N/A,"Standard deviation of Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard deviation of Vmax Q10 between 4 and 50 degree Celsius,numeric
Km_Q10_4to50C,N/A,"Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Km Q10 between 4 and 50 degree Celsius,numeric
Km_Q10_4to50C_mean,N/A,"Mean Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Mean Km Q10 between 4 and 50 degree Celsius,numeric
Km_Q10_4to50C_se,N/A,"Standard error of Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard error of Km Q10 between 4 and 50 degree Celsius,numeric
Km_Q10_4to50C_sd,N/A,"Standard deviation of Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard deviation of Km Q10 between 4 and 50 degree Celsius,numeric
CE_Q10_4to50C,N/A,"Q10 temperature coefficient of enzyme catalytic efficiency (Vmax to Km ratio), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Catalytic efficiency Q10 between 4 and 50 degree Celsius,numeric
CE_Q10_4to50C_mean,N/A,"Mean Q10 temperature coefficient of enzyme catalytic efficiency (Vmax to Km ratio), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Mean catalytic efficiency Q10 between 4 and 50 degree Celsius,numeric
CE_Q10_4to50C_se,N/A,"Standard error of Q10 temperature coefficient of enzyme catalytic efficiency (Vmax to Km ratio), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard error of catalytic efficiency Q10 between 4 and 50 degree Celsius,numeric
CE_Q10_4to50C_sd,N/A,"Standard deviation of Q10 temperature coefficient of enzyme catalytic efficiency (Vmax to Km ratio), calculated over a temperature gradient between 4 and 50 degree Celsius. Missing data = -9999",Standard deviation of catalytic efficiency Q10 between 4 and 50 degree Celsius,numeric
Vmax_Q10_4to35C,N/A,"Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Vmax Q10 between 4 and 35 degree Celsius,numeric
Vmax_Q10_4to35C_mean,N/A,"Mean Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Mean Vmax Q10 between 4 and 35 degree Celsius,numeric
Vmax_Q10_4to35C_se,N/A,"Standard error of Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Standard error of Vmax Q10 between 4 and 35 degree Celsius,numeric
Vmax_Q10_4to35C_sd,N/A,"Standard deviation of Q10 temperature coefficient of maximum enzyme reaction velocity, calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Standard deviation of Vmax Q10 between 4 and 35 degree Celsius,numeric
Km_Q10_4to35C,N/A,"Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Km Q10 between 4 and 35 degree Celsius,numeric
Km_Q10_4to35C_mean,N/A,"Mean Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Mean Km Q10 between 4 and 35 degree Celsius,numeric
Km_Q10_4to35C_se,N/A,"Standard error of Q10 temperature coefficient of enzyme half-saturation constant (Michaelis constant), calculated over a temperature gradient between 4 and 35 degree Celsius. Missing data = -9999",Standard error of Km Q10 between 4 and 35 degree Celsius,numeric
