Object Type:,,User Code:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,Other name(s),IGSN,Parent IGSN,Release Date,Material,Sample Description,Purpose,Collector/Chief Scientist,Collection date,Collection method description,Field program/cruise,Latitude (Coordinate system: WGS 84),Longitude (Coordinate system: WGS 84),Navigation type,Location description,Country,Elevation start,Elevation unit,Depth in core (min),Depth in core (max),Depth scale,Primary physiographic feature,Release Date,Current archive,Current archive contact,Related URL,Related URL Type,Related URL Description,biome,siteID,sampleProcessing
BE201907091COP0010,1COPA0010,IEBWE009X,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0,0.1,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450965,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP1020,1COPA1020,IEBWE009Y,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.1,0.2,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450966,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP2030,1COPA2030,IEBWE009Z,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.2,0.3,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450967,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP3040,1COPA3040,IEBWE00A0,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.3,0.4,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450968,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP4050,1COPA4050,IEBWE00A1,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.4,0.5,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450969,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP5060,1COPA5060,IEBWE00A2,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.5,0.6,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450970,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP6070,1COPA6070,IEBWE00A3,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.6,0.7,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450971,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP7080,1COPA7080,IEBWE00A4,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.7,0.8,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450972,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907091COP8090,1COPA8090,IEBWE00A5,IEBWE009U,2021-04-21,Soil,Section of core collected in-between heated plot 1H and unheated control plot 1C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91207,-120.6615,GPS,Temperate mixed conifer forest,United States,1370,meter,0.8,0.9,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450973,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
BE201907092COP0010,2COPA0010,IEBWE00A6,IEBWE009V,2021-04-21,Soil,Section of core collected in-between heated plot 2H and unheated control plot 2C from a deep soil warming experiment; outside the zone affected by experimental warming (over three meters away),Chracterization of enzyme kinetics and temperature sensitivity through the soil profile,Eoin L. Brodie,2019-07-09,Collected with a multi-stage corer 5 cm in diameter using a 10 kg hand-held slide-hammer,LBNL Belowground Biogeochemistry SFA,38.91222,-120.66122,GPS,Temperate mixed conifer forest,United States,1370,meter,0,0.1,meter,mountain forest soil [ENVO_00005769]; forest soil [ENVO_00002261]; mountain [ENVO:00000081],2021-04-21,Lawrence Berkeley National Laboratory; CA; USA,Eoin L. Brodie; elbrodie@lbl.gov,https://doi.org/10.1101/2021.07.02.450974,Research article preprint,Analysis and interpretation of data generated from this sample on kinetics and temperature sensitivity of soil exoenzymes,temperate woodand biome [ENVO_01000221]; temperate coniferous forest biome [ENVO_01000211],Blodgett forest,soil sieved to 2 mm
