sampleID,IGSN,core,depth,GWC,DOC,TDN,MBC,MBN,DOC_TDN_ratio,MBC_MBN_ratio
N/A,N/A,N/A,cm,g_H2O/g_dry_soil,mg/kg_dry_soil,mg/kg_dry_soil,mg/kg_dry_soil,mg/kg_dry_soil,N/A,N/A
BE201907091COP0010,IEBWE009X,Core1,00-10,0.18,184.212424849699,12.9665998663995,376.248631255911,24.7505618497722,14.2066869300912,15.2016198072439
BE201907091COP1020,IEBWE009Y,Core1,10-20,0.16,168.188605108055,11.1290111329404,257.392591473142,14.0195753233384,15.1126279863481,18.3595141462424
BE201907091COP2030,IEBWE009Z,Core1,20-30,0.15,104.275793650794,9.71643518518519,200.067058720616,8.81646394641134,10.7318982387476,22.6924376866591
BE201907091COP3040,IEBWE00A0,Core1,30-40,0.14,94.848,5.833,144.357128205128,8.03287771203155,16.2605863192182,17.9707862337941
BE201907091COP4050,IEBWE00A1,Core1,40-50,0.13,96.185871743487,5.62358049432198,140.759352037408,5.34051436205745,17.1040268456376,26.356890459364
BE201907091COP5060,IEBWE00A2,Core1,50-60,0.12,67.984,3.65866666666667,94.11627100271,2.9239891598916,18.5816326530612,32.187626511652
BE201907091COP6070,IEBWE00A3,Core1,60-70,0.09,41.529,2.19816666666667,65.8162145214522,1.0214702970297,18.8925619834711,64.4328226800493
BE201907091COP7080,IEBWE00A4,Core1,70-80,0.1,37.668986083499,3.62657388999337,72.4039098740888,-9999,10.3869346733668,-9999
BE201907091COP8090,IEBWE00A5,Core1,80-90,0.12,40.8031809145129,1.7998674618953,75.7153376040056,1.07050290847508,22.6701030927835,70.7287546858342
BE201907092COP0010,IEBWE00A6,Core2,00-10,0.16,148.422,14.4613333333333,387.142204923486,31.2479148369927,10.2633689839572,12.389377241427
BE201907092COP1020,IEBWE00A7,Core2,10-20,0.18,181.448412698413,13.5988756613757,287.851854502656,20.1970495223251,13.3428981348637,14.2521735258645
BE201907092COP2030,IEBWE00A8,Core2,20-30,0.16,136.248520710059,11.7449046679816,168.500817914279,8.95020115212423,11.6006493506493,18.8264839024638
BE201907092COP3040,IEBWE00A9,Core2,30-40,0.15,109.397145669291,8.67782152230971,171.133157361012,10.7918754473873,12.6065217391304,15.8575919630766
BE201907092COP4050,IEBWE00AA,Core2,40-50,0.13,115.025896414343,7.10939575033201,135.843761705315,7.86068971975346,16.179419525066,17.2814048828245
BE201907092COP5060,IEBWE00AB,Core2,50-60,0.13,115.629207920792,7.34686468646865,122.520725810156,6.45051768596343,15.738578680203,18.9939368861456
BE201907092COP6070,IEBWE00AC,Core2,60-70,0.14,134.20396039604,6.50891089108911,141.997636410348,3.99607912887097,20.6184971098266,35.534240396903
BE201907092COP7080,IEBWE00AD,Core2,70-80,0.14,102.430693069307,4.59009900990099,112.852771497622,4.31147579324862,22.3155737704918,26.1749750919023
BE201907092COP8090,IEBWE00AE,Core2,80-90,0.14,99.7784431137725,4.4560878243513,105.588090750769,2.05387233501125,22.3914893617021,51.4092764924412
BE201907093COP0010,IEBWE00AF,Core3,00-10,0.14,116.317073170732,7.72357723577236,203.057682210873,8.98973000493215,15.06,22.5877397985776
BE201907093COP1020,IEBWE00AG,Core3,10-20,0.16,92.8,5.93533333333333,123.532667997339,2.72800665335995,15.6351791530945,45.2831256277142
BE201907093COP2030,IEBWE00AH,Core3,20-30,0.12,27.0019801980198,2.9016501650165,85.9072312002572,1.03208078263095,9.30573248407643,83.2369254868455
BE201907093COP3040,IEBWE00AI,Core3,30-40,0.11,39.437125748503,2.84331337325349,98.8356917118145,2.36898821404809,13.8701298701299,41.7206346260902
BE201907093COP4050,IEBWE00AJ,Core3,40-50,0.1,34.5119521912351,3.14077025232404,68.1802280605873,1.05074730897484,10.9883720930233,64.8873687119956
BE201907093COP5060,IEBWE00AK,Core3,50-60,0.1,39.8558648111332,3.29854208084824,78.8322208649043,2.03947666078496,12.0828729281768,38.653161558889
BE201907093COP6070,IEBWE00AL,Core3,60-70,0.09,51.4601593625498,3.11221779548473,110.859007304117,2.59211553784861,16.5348837209302,42.7677723795164
BE201907093COP7080,IEBWE00AM,Core3,70-80,0.09,38.7725450901804,2.47561790247161,78.279413741161,2.44602884387633,15.6617647058824,32.0026535815939
BE201907093COP8090,IEBWE00AN,Core3,80-90,0.07,21.9156626506024,1.36077643908969,64.81600074167,2.09027136706617,16.1052631578947,31.008414391976
