Site,Depth,14C TT,%C,Fep,Alp,Feo-p,Alo-p,Feo-p + Alo-p,MAST,MASM,MAT,MAP,Earthworm,pH
BEF,0-5 cm,233,3.18,7.06,1.43,0,0.18,0.18,7.81,0.32,7.3,1300,n,3.72
BEF,0-5 cm,368,1.85,2.14,0.55,2.75,0.07,2.82,7.96,0.29,7.3,1300,n,3.54
BEF,0-5 cm,435,1.05,0.07,0.12,4.44,0.04,4.48,7.78,0.29,7.3,1300,n,3.41
BEF,0-5 cm,324,2.34,5.7,0.88,0,0.21,0.21,7.88,0.23,7.3,1300,n,3.67
BEF,0-5 cm,386,1.07,0.11,0.08,0.45,0.15,0.6,7.81,0.23,7.3,1300,n,3.42
HAF,0-5 cm,238,3.27,3.93,1.33,1.62,0.37,1.99,8.74,0.35,8.2,1141,n,3.58
HAF,0-5 cm,318,5.19,6.45,2.81,1.36,0.36,1.72,8.71,0.26,8.2,1141,n,4.06
HAF,0-5 cm,214,3.72,4.34,2.13,1.22,0.52,1.74,8.67,0.27,8.2,1141,n,3.89
HAF,0-5 cm,191,5.64,1.05,0.32,0.56,0.1,0.66,8.7,0.31,8.2,1141,n,3.19
HAF,0-5 cm,459,2.93,3.66,3.89,3.85,3.36,7.21,8.64,0.38,8.2,1141,n,4.39
MOZ,0-5 cm,72,1.52,1.34,1.36,0.76,0,0.76,12.59,0.3,13,1037,y,5.64
MOZ,0-5 cm,96,1.63,1.98,1.77,1.28,0,1.28,12.5,0.11,13,1037,y,4.15
MOZ,0-5 cm,96,1.44,1.45,1.13,2.34,0,2.34,12.13,0.28,13,1037,y,4.82
MOZ,0-5 cm,85,1.51,1.57,1.17,0.73,0,0.73,12.29,0.27,13,1037,y,5.15
MOZ,0-5 cm,103,1.22,1.62,1.38,0.28,0,0.28,12.15,0.3,13,1037,y,4.89
UMBS,0-5 cm,132,1.24,0.13,0.05,0.49,0.06,0.55,8,0.15,6.8,608,y,4
UMBS,0-5 cm,123,0.22,0.25,0.28,0.27,0,0.27,7.95,0.17,6.8,608,y,5.06
UMBS,0-5 cm,160,1.05,0.18,0.08,1.37,0.14,1.51,7.94,0.22,6.8,608,y,4.44
UMBS,0-5 cm,156,1.1,0.1,0.06,0.26,0.06,0.32,8.16,0.16,6.8,608,y,3.82
UMBS,0-5 cm,162,0.79,0.04,0.03,0.29,0.06,0.35,7.82,0.19,6.8,608,y,4.4
BEF,5-15 cm,466,3.01,5.25,5.43,0.12,2.75,2.87,7.81,0.32,7.3,1300,n,4.25
BEF,5-15 cm,538,4.47,10.13,6.47,0,2.01,2.01,7.96,0.29,7.3,1300,n,4.03
BEF,5-15 cm,484,1.15,2.49,1.22,0,0.17,0.17,7.78,0.29,7.3,1300,n,4.16
BEF,5-15 cm,539,2.65,5.04,4.33,0.25,1.58,1.83,7.88,0.23,7.3,1300,n,4.25
BEF,5-15 cm,385,2.73,7.25,3.18,0,1.07,1.07,7.81,0.23,7.3,1300,n,4.51
HAF,5-15 cm,489,3.59,5.12,4.7,3.54,2.04,5.57,8.74,0.35,8.2,1141,n,4.28
HAF,5-15 cm,692,3.82,3.76,5.16,5.71,5.79,11.51,8.71,0.26,8.2,1141,n,4.53
HAF,5-15 cm,505,2.71,3.5,4.6,3.96,5.06,9.02,8.67,0.27,8.2,1141,n,4.76
HAF,5-15 cm,307,5.25,7.13,3.56,0.89,0.3,1.19,8.7,0.31,8.2,1141,n,3.8
HAF,5-15 cm,772,2.72,4.57,5.39,11.41,8.06,19.47,8.64,0.38,8.2,1141,n,4.81
MOZ,5-15 cm,116,0.95,2.49,2.53,0,0,0,12.59,0.3,13,1037,y,5.22
MOZ,5-15 cm,178,0.71,3.35,0,0,1.37,1.37,12.5,0.11,13,1037,y,4.44
MOZ,5-15 cm,288,0.69,2.09,1.78,1.76,0,1.76,12.13,0.28,13,1037,y,4.9
MOZ,5-15 cm,213,0.57,1.81,1.89,0.6,0,0.6,12.29,0.27,13,1037,y,4.96
MOZ,5-15 cm,248,0.49,1.87,1.96,0.21,0,0.21,12.15,0.3,13,1037,y,4.73
UMBS,5-15 cm,161,0.2,0.26,0.11,0.66,0.11,0.77,8,0.15,6.8,608,y,4.03
UMBS,5-15 cm,194,0.03,0.05,0.05,2.81,0.39,3.2,7.95,0.17,6.8,608,y,4.93
UMBS,5-15 cm,221,0.4,0.1,0.07,0.28,0.05,0.33,7.94,0.22,6.8,608,y,4.56
UMBS,5-15 cm,328,0.2,0.05,0.06,0.92,0.07,0.99,8.16,0.16,6.8,608,y,4.3
UMBS,5-15 cm,357,0.19,0.23,0.1,0.5,0.09,0.59,7.82,0.19,6.8,608,y,4.81
