Plot,Treatment,Collar,DateTime,gC.m2.hr,DateTime
1,H,A,3/05/14 NA,0.713394,3/5/14
1,H,B,3/05/14 NA,0.5793624,3/5/14
1,H,C,3/05/14 NA,0.35496756,3/5/14
1,H,D,3/05/14 NA,0.31951404,3/5/14
1,H,E,3/05/14 NA,0.6355692,3/5/14
1,H,F,3/05/14 NA,0.30870504,3/5/14
1,H,G,3/05/14 NA,0.34977924,3/5/14
1,C,A,3/05/14 NA,0.26071308,3/5/14
1,C,B,3/05/14 NA,0.28406052,3/5/14
1,C,C,3/05/14 NA,0.23174496,3/5/14
1,C,D,3/05/14 NA,0.37701792,3/5/14
1,C,E,3/05/14 NA,0.3545352,3/5/14
1,C,F,3/05/14 NA,0.24168924,3/5/14
1,C,G,3/05/14 NA,0.5015376,3/5/14
2,H,A,3/05/14 NA,0.4193892,3/5/14
2,H,B,3/05/14 NA,0.33637608,3/5/14
2,H,C,3/05/14 NA,0.1924002,3/5/14
2,H,D,3/05/14 NA,0.31821696,3/5/14
2,H,E,3/05/14 NA,0.28924884,3/5/14
2,H,F,3/05/14 NA,0.38955636,3/5/14
2,H,G,3/05/14 NA,0.26849556,3/5/14
2,C,A,3/05/14 NA,0.33378192,3/5/14
2,C,B,3/05/14 NA,0.18764424,3/5/14
2,C,C,3/05/14 NA,0.24687756,3/5/14
2,C,D,3/05/14 NA,0.36620892,3/5/14
2,C,E,3/05/14 NA,0.40555368,3/5/14
2,C,F,3/05/14 NA,0.24125688,3/5/14
2,C,G,3/05/14 NA,0.1880766,3/5/14
3,H,A,3/05/14 NA,0.25638948,3/5/14
3,H,B,3/05/14 NA,0.27411624,3/5/14
3,H,C,3/05/14 NA,0.28362816,3/5/14
3,H,D,3/05/14 NA,0.36793836,3/5/14
3,H,E,3/05/14 NA,0.20450628,3/5/14
3,H,F,3/05/14 NA,0.2183418,3/5/14
3,H,G,3/05/14 NA,0.14873184,3/5/14
3,C,A,3/05/14 NA,0.2140182,3/5/14
3,C,B,3/05/14 NA,0.18764424,3/5/14
3,C,C,3/05/14 NA,0.18072648,3/5/14
3,C,D,3/05/14 NA,0.21574764,3/5/14
3,C,E,3/05/14 NA,0.1556496,3/5/14
3,C,F,3/05/14 NA,0.17769996,3/5/14
3,C,G,3/05/14 NA,0.22828608,3/5/14
1,C,A,4/21/14 14:09,0.076480396,4/21/14
1,C,B,4/21/14 14:13,0.079002118,4/21/14
1,C,C,4/21/14 14:17,0.093906301,4/21/14
1,C,D,4/21/14 14:21,0.117281488,4/21/14
1,C,E,4/21/14 14:26,0.139822368,4/21/14
1,C,F,4/21/14 14:35,0.120114863,4/21/14
1,C,G,4/21/14 14:30,0.097402324,4/21/14
1,H,D,4/21/14 14:02,0.184268791,4/21/14
1,H,E,4/21/14 14:05,0.246954898,4/21/14
2,C,A,4/21/14 15:44,0.102421933,4/21/14
2,C,B,4/21/14 16:00,0.117520357,4/21/14
2,C,D,4/21/14 15:53,0.160615827,4/21/14
2,C,E,4/21/14 16:15,0.093618144,4/21/14
2,C,G,4/21/14 16:27,0.129635116,4/21/14
2,H,A,4/21/14 14:52,0.145253354,4/21/14
2,H,B,4/21/14 15:01,0.148104901,4/21/14
2,H,C,4/21/14 15:07,0.146459757,4/21/14
