Lab-ID,Plot,Treatment,Block,Sampling Depth (cm),Pooled depth (cm),Mid depth (cm),Type of Material,C_percent,Carbon_mg/g,N_percent,Nitrogen_mg/g,CtoN,Delta 13C (d13C),Delta 15N (d15N),Fine_root_mass_< 2mm_g/m2,Coarse_root_mass_< 5mm_g/m2,Sum_Alkanes_ug/g,Sum_short_chain_Fatty_acids_ug/g,Sum_long_chain_Fatty_acids_ug/g,Sum_unsaturated_fatty_acids_ug/g,Sum_branched_fatty_acids_ug/g,CPI_alk,ACL_alk,CPIFa,ACLFa,,Notes
176B18NO4,1C,Control,1,0-12,0-10,5,Soil,5.51,55.1,0.14,1.44,38.38,-24.15,3.09,111.51,111.51,24.37,596.27,1367.17,293.8,42.32,14.56,30.84,12.61,22.12,,
176B18NO5,1C,Control,1,12-22,10-20,15,Soil,4.39,43.89,0.15,1.5,29.2,-24.27,3.51,223.02,223.02,22.47,1169.98,504.05,693.25,60.59,7.05,28.71,6,19.95,,
176B18NO6,1C,Control,1,22-29,20-30,25,Soil,2.22,22.22,0.07,0.65,34.17,-24.49,4.52,167.26,278.77,17.43,1082.12,571.1,669.8,60.44,5.3,28.07,5.34,20.47,,
176B18NO7,1C,Control,1,29-40,30-40,35,Soil,1.94,19.44,0.05,0.54,36.32,-25.27,6.14,223.02,669.05,15.55,1607.04,873.68,943.97,66.19,5.11,27.7,8.35,20.37,,
176B18NO8,1C,Control,1,40-51,40-50,45,Soil,1,9.96,0.04,0.39,25.73,-24.51,8.18,278.77,390.28,21.16,2880.54,1972.19,,113.46,5.7,28.23,6.85,20.71,,
176B18NO9,1C,Control,1,51-60,50-60,55,Soil,0.35,3.51,0.02,0.16,21.97,-23.63,,111.51,111.51,42.33,1401.03,576.92,783.51,69.36,5.05,28.28,5.66,19.81,,
176B18NO10,1C,Control,1,60-70,60-70,65,Soil,0.54,5.38,0.02,0.18,30.51,-24.23,,55.75,167.26,15.05,1318.22,2135.36,801.21,92.11,5.31,27.69,11.42,21.7,,
176B18NO11,1C,Control,1,70-79,70-80,75,Soil,1.37,13.72,0.03,0.34,39.88,-25.03,6.4,111.51,111.51,15.59,1072.82,6311.65,622.7,103.52,8.95,25.9,15.22,22.51,,ACLis underestimated; sum of long-chain fatty acid is overestimated (based on outlier test)
176B18NO12,1C,Control,1,79-90,80-90,85,Soil,0.34,3.37,0.01,0.12,28.1,-24.21,,111.51,111.51,49.32,568.76,435.87,248.45,34.41,3.13,27.98,7.61,20.33,,
176B18NO16,1H,Warmed,1,0-9.5,0-10,5,Soil,20.35,105.81,0.46,4.63,43.98,-24.97,0.17,111.51,111.51,25.46,311.09,598.73,124.98,20.77,24.86,31.49,6.57,22.57,,Contains too much carbon; total carbon is overestimated (based on outlier test)
176B18NO17,1H,Warmed,1,9.5-20.5,10-20,15,Soil,8.86,88.57,0.15,1.48,59.94,-23.91,1.71,223.02,223.02,10.66,555.61,3315.12,353.82,25.12,39.69,30.67,28.01,22.71,,CPI is overestimated (based on outlier test)
176B18NO18,1H,Warmed,1,20.5-31,20-30,25,Soil,1.09,10.87,0.03,0.35,31.39,-24.46,6.82,167.26,223.02,19.12,1087.73,467.7,722.52,41.33,5.86,28.36,9.16,20.11,,
