Location_ID,Latitude,Longitude,Elevation_ground-surface_m,Depth_cm_bgs
ER-MOP1,38.921996,-106.947896,2758.27,122
ER-MOP2,38.921922,-106.947723,2757.66,122
ER-MOP3,38.921871,-106.947534,2757.7,104
ER-MOP4,38.921852,-106.947306,2756.91,70
ER-MCP1,38.92285,-106.950347,2759.39,>100
ER-MCP2,38.922838,-106.95017,2759.4,>100
ER-MCP3,38.922832,-106.949998,2759.29,>100
ER-MCP4,38.922816,-106.949824,2759.15,>100
ER-MCP5,38.922795,-106.949644,2758.15,>100
ER-MDP2,38.92114,-106.947209,2757.03,>100
