Location_ID,Date,Time,water level,pH,Cond,ORP,DO,FeII,S-II,DOC,DIC,Na,Mg,Mn,Ca,Fe,Li,B,Al,Si,K,V,Cr,Se,Ti,Ni,Co,Cu,Zn,Ge,Rb,Sr,Zr,Mo,Ag,Cd,Sn,Sb,Cs,Ba,Eu,Pb,Th,U,P,As
N/A,N/A,N/A,cm_bgs,N/A,uS/cm,mV,umol/L,umol/L,umol/L,mmol/L,mmol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L,mol/L
ER-MOP2,2016-07-18,12:30,95.5,6.74,793,128,91.26,0.72,1.56,0.2,6.42,1.16E-04,6.67E-04,5.64E-07,3.90E-03,4.71E-07,4.70E-07,3.70E-07,9.27E-08,1.26E-04,2.77E-05,9.67E-09,2.40E-09,6.33E-08,1.34E-08,1.04E-07,2.55E-09,1.57E-07,2.64E-07,6.88E-09,6.91E-09,5.77E-06,1.10E-09,1.02E-08,1.39E-09,3.35E-09,1.26E-09,4.52E-09,1.88E-10,7.94E-07,1.65E-10,4.83E-10,2.15E-10,1.55E-08,2.56E-05,3.34E-09
ER-MOP2,2016-07-20,7:40,83.5,6.7,769,180,32.69,0.72,1.56,0.17,6.47,1.08E-04,6.45E-04,1.88E-07,3.94E-03,3.11E-07,4.40E-07,3.70E-07,9.27E-08,1.34E-04,2.78E-05,6.87E-09,5.55E-09,6.33E-08,5.22E-09,9.31E-08,2.55E-09,1.57E-07,2.41E-07,6.88E-09,6.30E-09,5.47E-06,1.10E-09,6.06E-09,1.39E-09,5.00E-09,1.26E-09,2.62E-09,1.88E-10,6.61E-07,1.65E-10,4.83E-10,2.15E-10,1.25E-08,2.60E-05,3.34E-09
ER-MOP3,2016-07-18,9:35,-9999,6.91,629,8,13.59,21.17,1.56,0.27,7.49,1.20E-04,4.19E-04,2.06E-06,3.06E-03,1.29E-05,4.72E-07,3.70E-07,9.27E-08,1.18E-04,3.31E-05,2.94E-09,2.40E-09,6.33E-08,5.22E-09,8.44E-08,1.50E-08,1.57E-07,2.71E-07,6.88E-09,3.61E-09,4.42E-06,1.10E-09,2.54E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,7.84E-07,1.65E-10,4.83E-10,2.15E-10,1.22E-08,8.92E-06,3.34E-08
ER-MOP3,2016-07-20,8:00,68.8,6.98,708,-2,10,14.07,1.56,0.23,7.48,1.20E-04,4.22E-04,2.30E-06,3.18E-03,1.47E-05,4.57E-07,3.70E-07,9.27E-08,1.26E-04,3.60E-05,2.94E-09,2.40E-09,6.33E-08,5.22E-09,8.13E-08,1.65E-08,1.57E-07,1.95E-07,6.88E-09,3.55E-09,4.41E-06,1.10E-09,2.31E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,7.42E-07,1.65E-10,4.83E-10,2.15E-10,1.14E-08,9.34E-06,2.78E-08
ER-MOP4,2016-07-18,10:20,-9999,6.75,751,-38,13.22,217.83,1.56,0.27,9.41,2.76E-04,7.33E-04,4.61E-05,3.26E-03,1.58E-04,6.14E-07,3.70E-07,9.27E-08,2.07E-04,2.29E-05,2.94E-09,2.40E-09,6.33E-08,1.84E-08,1.15E-07,5.34E-08,1.57E-07,2.09E-07,6.88E-09,5.75E-09,6.30E-06,1.10E-09,1.38E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.85E-06,3.39E-10,4.83E-10,2.15E-10,4.04E-09,1.16E-05,3.35E-08
ER-MOP4,2016-07-20,8:30,25.5,6.81,756,-56,2.94,116.66,1.56,0.31,11.19,2.33E-04,7.44E-04,4.24E-05,3.48E-03,3.55E-04,6.74E-07,8.18E-07,9.27E-08,3.03E-04,2.16E-05,2.94E-09,2.40E-09,6.33E-08,2.31E-08,9.51E-08,4.93E-08,1.57E-07,7.64E-08,6.88E-09,5.26E-09,6.86E-06,1.10E-09,1.58E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,2.25E-06,4.25E-10,4.83E-10,2.15E-10,3.25E-09,1.24E-05,5.95E-08
ER-MCP1,2016-07-15,-9999,-9999,7.15,413,-78,9.03,68.04,1.56,0.24,3.69,1.11E-04,3.55E-04,1.91E-05,1.65E-03,7.40E-05,4.27E-07,3.70E-07,9.27E-08,1.58E-04,1.51E-05,2.94E-09,2.40E-09,6.33E-08,5.22E-09,1.58E-08,2.55E-09,6.85E-07,7.76E-07,6.88E-09,1.87E-09,2.31E-06,1.10E-09,1.36E-08,1.39E-09,1.33E-09,3.16E-09,1.23E-09,1.88E-10,1.25E-06,1.65E-10,4.83E-10,2.15E-10,1.75E-10,7.75E-06,2.19E-08
ER-MCP1,2016-07-19,9:50,40.5,7.32,392,-78,17.47,69.53,1.56,0.24,4.03,1.07E-04,3.40E-04,1.85E-05,1.50E-03,6.56E-05,4.71E-07,3.70E-07,9.27E-08,1.52E-04,1.34E-05,2.94E-09,2.40E-09,6.33E-08,2.96E-08,2.54E-08,2.55E-09,1.57E-07,4.09E-07,6.88E-09,2.23E-09,2.36E-06,1.10E-09,1.38E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.44E-06,4.03E-10,4.83E-10,2.15E-10,3.38E-10,7.99E-06,2.86E-08
ER-MCP2,2016-07-16,-9999,49.5,7.15,414,-110,1.47,34.18,3.8,0.34,3.96,1.92E-04,3.21E-04,2.94E-05,1.51E-03,1.71E-04,3.28E-07,3.70E-07,5.48E-07,1.50E-04,1.97E-05,2.94E-09,3.67E-08,6.33E-08,5.22E-09,2.81E-08,2.55E-09,1.57E-07,7.64E-06,6.88E-09,6.77E-09,2.23E-06,1.10E-09,1.23E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.36E-06,1.65E-10,4.83E-10,2.15E-10,9.49E-11,5.49E-06,3.34E-09
ER-MCP3,2016-07-16,-9999,49.8,7.41,482,-104,2.38,40.59,1.56,0.31,4.47,1.67E-04,3.57E-04,3.23E-05,1.70E-03,2.27E-04,4.05E-07,3.70E-07,2.11E-07,1.70E-04,1.67E-05,2.94E-09,2.40E-09,6.33E-08,5.22E-09,1.63E-08,2.55E-09,1.57E-07,1.82E-06,6.88E-09,6.16E-09,2.38E-06,1.10E-09,1.20E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.61E-06,1.65E-10,4.83E-10,2.15E-10,1.50E-10,6.97E-06,8.65E-09
ER-MCP3,2016-07-19,10:50,47.3,7.36,422,-98,1.56,176.83,1.56,0.3,4.66,1.58E-04,3.40E-04,3.17E-05,1.53E-03,1.99E-04,4.38E-07,3.70E-07,9.27E-08,1.61E-04,1.41E-05,2.94E-09,2.40E-09,6.33E-08,3.00E-08,2.24E-08,2.55E-09,1.57E-07,2.15E-06,6.88E-09,6.27E-09,2.43E-06,1.10E-09,1.23E-08,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.81E-06,5.18E-10,4.83E-10,2.15E-10,2.61E-10,7.36E-06,8.92E-09
ER-MCP4,2016-07-16,-9999,100,7.39,415,-35,-9999,45.77,1.56,0.29,4.93,1.71E-04,3.73E-04,1.04E-05,1.97E-03,4.56E-05,5.71E-07,3.70E-07,1.87E-07,1.68E-04,1.60E-05,2.94E-09,2.40E-09,6.33E-08,5.22E-09,1.87E-08,2.55E-09,1.57E-07,1.03E-05,6.88E-09,1.66E-09,2.78E-06,1.10E-09,2.61E-09,1.39E-09,1.33E-09,1.26E-09,1.23E-09,1.88E-10,1.37E-06,1.65E-10,4.83E-10,2.15E-10,1.50E-10,6.05E-06,3.34E-09
