Location,Type,date,dO (per mil),dH (permill)
LMWL,rain,7/31/2014,-8.84,-69.19
LMWL,rain,8/1/2014,-12.23,-91.76
LMWL,rain,8/14/2014,-10.32,-79.48
LMWL,rain,8/19/2014,-3.47,-20.29
LMWL,rain,8/20/2014,-6.33,-38.53
LMWL,rain,8/23/2014,-10.1,-63.2
LMWL,rain,8/27/2014,-12.01,-88.91
LMWL,rain,8/28/2014,-13.29,-107.98
LMWL,rain,9/8/2014,-0.13,-10.53
LMWL,rain,9/9/2014,-15.93,-113.55
LMWL,rain,9/9/2014,-13.77,-100.97
LMWL,rain,9/9/2014,-17.1,-120.44
LMWL,rain,9/9/2014,-16.71,-129.37
LMWL,rain,9/17/2014,-5.92,-42.69
LMWL,rain,9/21/2014,-13.28,-90.36
LMWL,rain,9/21/2014,-6,-53.01
LMWL,rain,9/22/2014,-13.57,-91.9
LMWL,rain,9/22/2014,-11.9,-86.09
LMWL,rain,9/23/2014,-9.78,-67.91
LMWL,rain,9/28/2014,-3.79,-28.84
LMWL,rain,9/29/2014,-12.71,-79.77
LMWL,rain,5/26/2015,-14.69,-108.01
LMWL,rain,5/27/2015,-10,-65.23
LMWL,rain,5/28/2015,-11.91,-81.18
LMWL,rain,6/6/2015,-13.9,-102.88
LMWL,rain,6/10/2015,-10.77,-94.57
LMWL,rain,6/11/2015,-12.04,-98.18
LMWL,rain,6/11/2015,-14.33,-97.28
LMWL,rain,6/14/2015,-8.54,-63.32
LMWL,rain,6/16/2015,-4.19,-36.19
LMWL,rain,6/16/2015,-6.58,-45.77
LMWL,rain,6/16/2015,-5.17,-44.97
LMWL,rain,6/24/2015,-0.09,0.55
LMWL,rain,7/8/2015,-6.3,-43.88
LMWL,rain,7/19/2015,-3.74,-27.45
LMWL,rain,7/20/2015,-9.22,-62.87
LMWL,rain,7/21/2015,-13.13,-86.62
LMWL,rain,7/21/2015,-10.8,-77.64
LMWL,rain,7/24/2015,-8.45,-62.22
LMWL,rain,7/26/2015,-3.83,-56.7
LMWL,rain,7/27/2015,-7.37,-52.58
LMWL,rain,8/1/2015,-2.1,-32.35
LMWL,rain,8/2/2015,-4.8,-35.51
LMWL,rain,8/3/2015,-7.08,-50.85
LMWL,rain,8/4/2015,-11.09,-78.25
LMWL,rain,8/7/2015,-7.45,-50.15
LMWL,rain,8/11/2015,-5.27,-20.2
LMWL,rain,8/22/2015,-1.22,-17.39
LMWL,rain,8/27/2015,-7.75,-43.97
LMWL,rain,8/27/2015,-10.87,-71.67
LMWL,rain,8/30/2015,-1.33,-5.76
LMWL,rain,8/31/2015,-1.94,-6.79
LMWL,rain,9/1/2015,-3.4,-16.76
LMWL,rain,9/3/2015,-4.8,-21.49
LMWL,rain,9/4/2015,-2.32,-14.55
LMWL,rain,9/7/2015,-8.07,-67.42
LMWL,rain,9/14/2015,-2.43,-42.18
LMWL,rain,9/15/2015,-8.35,-54.48
