Site,Type,Year,Description,lat,long,UTM east,UTM north,Elevation (m),date/MST time,d2HSMOW (?) ,Standard deviation,d18OSMOW (?) ,Standard deviation,snow depth (cm),melt volume (ml),CumV (L),Notes
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,4/18/2016,,,,,18,250,0.25,no isotope data
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,4/18/2016,-143.38,0.29,-19.54,0.05,59,0,0.25,
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,4/22/2016,-141.27,0.46,-19.09,0.14,50,18000,18.25,
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,4/26/2016,-116.98,0.39,-16.28,0.10,45,16450,34.7,
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,5/4/2016,,,,,23,6000,40.7,no isotope data
PH,snowmelt,2016,near C-Q stations at Pumphouse,38.92213,-106.9514,330832.45,4309945.97,2763.65,5/23/2016,,,,,0,6600,47.3,no isotope data
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,4/4/2016,-136.50,0.43,-18.44,0.08,105,1721,1.721,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,4/7/2016,-131.03,1.62,-16.67,0.13,103,530,2.251,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,4/14/2016,-139.31,0.84,-18.89,0.13,72,12350,14.601,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,4/21/2016,-135.56,0.54,-18.23,0.08,69,1000,15.601,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,4/26/2016,-131.27,0.61,-17.80,0.12,50,6000,21.601,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,5/3/2016,-129.88,0.86,-17.29,0.13,37,4700,26.301,
LMWLA,snowmelt,2016,R. Carroll's house,38.90874,-106.97113,329089.94,4308496.06,2891.47,5/11/2016,-91.56,0.62,-13.08,0.09,0,5700,32.0,
LMWLB,snowmelt,2016,R. Carroll's house,38.90873,-106.97107,329095.52,4308495.6,2891.54,4/4/2016,,,,,105,1850,1.9,no isotope data
