Site,date,top (cm),bottom (cm),T (C) ,densityA (g/cm3),densityB (g/cm3),density C (g/cm3),dH A (permil),dH B  (permil),dO A  (permil),dO B  (permil),d-excess A (permil),d-excess B (permil),
PHSP1 ,4/2/2016,67,57,-5,0.287,0.289,,-97.58,-100.55,-13.08,-13.44,7.05,7.01,
PHSP1 ,4/2/2016,57,47,-8,0.393,0.412,,-134.06,-134.99,-18.20,-18.21,11.56,10.68,
PHSP1 ,4/2/2016,47,37,-7,0.31,0.286,,-146.44,-158.32,-18.31,-21.70,0.02,15.26,
PHSP1 ,4/2/2016,37,27,-4,0.309,0.283,,-172.41,-173.18,-23.37,-23.49,14.56,14.77,
PHSP1 ,4/2/2016,27,17,-3,0.331,0.306,,-167.02,-172.63,-22.77,-23.26,15.18,13.43,
PHSP1 ,4/2/2016,17,7,-2,0.331,0.306,,-124.87,-127.11,-17.45,-17.72,14.74,14.61,
PHSP1 ,4/2/2016,7,0,-1,0.331,0.306,,,,,,,,
GRSP1,4/3/2016,106,96,1,0.304,0.318,,-123.33,-128.87,-16.30,-17.13,7.09,8.14,
GRSP1,4/3/2016,96,86,-2,0.312,0.286,,-87.66,-90.72,-11.50,-12.42,4.34,8.61,
GRSP1,4/3/2016,86,76,-2,0.326,0.282,,-135.21,-136.52,-17.83,-18.11,7.46,8.39,
GRSP1,4/3/2016,76,66,-2,0.31,0.32,,-140.44,-141.01,-18.83,-19.05,10.17,11.39,
GRSP1,4/3/2016,66,56,-1,0.359,0.352,,-160.85,-156.91,-21.73,-21.30,12.97,13.51,
GRSP1,4/3/2016,56,46,-1,0.326,0.339,,-167.77,-164.59,-22.86,-22.51,15.11,15.47,
GRSP1,4/3/2016,46,36,0,0.344,0.333,,-180.63,-170.14,-24.03,-23.02,11.59,14.02,
GRSP1,4/3/2016,36,26,0,0.377,0.346,,-171.60,-186.32,-23.39,-24.85,15.49,12.50,
GRSP1,4/3/2016,26,16,0,0.327,0.32,,-143.86,-134.18,-19.95,-18.52,15.70,13.96,
GRSP1,4/3/2016,16,6,0,0.302,0.275,,-118.70,-127.41,-16.36,-17.88,12.19,15.66,
PHSP2,4/2/2016,100,90,0,0.371,0.339,,-99.80,-106.61,-12.26,-14.34,-1.74,8.15,
PHSP2,4/2/2016,90,80,-2,0.308,0.323,,-129.37,-102.75,-17.14,-12.17,7.75,-5.38,
PHSP2,4/2/2016,80,70,-4,0.372,0.407,,-141.69,-139.11,-19.17,-18.76,11.64,10.98,
PHSP2,4/2/2016,70,60,-4,0.34,0.343,,-170.97,-168.27,-23.11,-22.74,13.87,13.63,
PHSP2,4/2/2016,60,50,-3,0.307,0.333,,-165.72,-160.06,-22.56,-21.46,14.72,11.59,
PHSP2,4/2/2016,50,40,-2,0.323,0.33,,-193.93,-190.71,-25.60,-25.19,10.88,10.77,
PHSP2,4/2/2016,40,30,-1,0.323,0.347,,-148.47,-180.08,-20.60,-24.22,16.30,13.70,
PHSP2,4/2/2016,30,20,-1,0.324,0.35,,-135.08,-150.88,-18.76,-20.92,15.03,16.48,
PHSP2,4/2/2016,20,10,0,0.291,0.291,,-135.08,-133.52,-18.76,-18.69,15.03,16.01,
PHSP2,4/2/2016,10,0,0,0.291,0.291,,,,,,,,
LSGSP,4/1/2016,99,89,-3.5,0.242,0.305,,-118.54,-118.46,-16.35,-16.28,12.28,11.77,
LSGSP,4/1/2016,89,79,-0.1,0.334,0.299,,-105.51,-98.21,-14.59,-13.62,11.24,10.78,
LSGSP,4/1/2016,79,69,-1.7,0.281,0.298,,-136.69,-136.54,-18.20,-18.15,8.89,8.64,
LSGSP,4/1/2016,69,59,-2.3,0.345,0.343,,-143.36,-143.49,-19.27,-19.39,10.84,11.59,
LSGSP,4/1/2016,59,49,-2.1,0.302,0.331,,-165.49,-166.12,-22.46,-22.52,14.20,14.03,
LSGSP,4/1/2016,49,39,-1.4,0.298,0.298,,-167.65,-168.39,-23.01,-23.07,16.40,16.21,
LSGSP,4/1/2016,39,29,-0.7,0.29,0.298,,-184.82,-184.89,-24.82,-24.67,13.75,12.47,
LSGSP,4/1/2016,29,19,-0.2,0.308,0.32,,-169.75,-181.47,-23.41,-24.56,17.51,15.04,
LSGSP,4/1/2016,19,9,0,0.236,0.299,,-137.74,-151.18,-19.22,-21.05,16.03,17.20,
LSGSP,4/1/2016,9,0,0,0.236,0.299,,,,,,,,
MSGSP,4/2/2016,140.5,130.5,0,0.212,0.236,,-114.60,-106.81,-16.01,-14.73,13.49,11.06,
MSGSP,4/2/2016,130.5,120.5,-3,0.279,0.243,,-124.13,-133.01,-15.42,-18.12,-0.81,11.94,
MSGSP,4/2/2016,120.5,110.5,-4.5,0.295,0.288,,-84.87,-74.71,-12.08,-7.71,11.80,-13.00,
MSGSP,4/2/2016,110.5,100.5,-3,0.297,0.243,,-134.55,-129.41,-17.54,-15.93,5.80,-1.94,
MSGSP,4/2/2016,100.5,90.5,-2,0.264,0.26,,-138.36,-137.88,-18.59,-17.77,10.32,4.31,
MSGSP,4/2/2016,90.5,80.5,-2,0.406,0.321,,-139.24,-140.17,-18.88,-19.07,11.80,12.39,
MSGSP,4/2/2016,80.5,70.5,-1.8,0.37,0.349,,-156.52,-163.63,-21.27,-21.64,13.61,9.46,
MSGSP,4/2/2016,70.5,60.5,-1.1,0.353,0.334,,-176.06,-161.99,-23.91,-22.35,15.21,16.77,
MSGSP,4/2/2016,60.5,50.5,-1,0.347,0.346,,-155.75,-167.85,-21.56,-22.74,16.73,14.04,
MSGSP,4/2/2016,50.5,40.5,-0.5,0.349,0.368,,-190.72,-179.50,-25.13,-24.23,10.32,14.37,
MSGSP,4/2/2016,40.5,30.5,-0.1,0.37,0.376,,-159.89,-153.44,-22.36,-21.62,19.02,19.56,
MSGSP,4/2/2016,30.5,20.5,0,0.316,0.315,,-134.55,-134.56,-19.13,-18.84,18.50,16.17,
MSGSP,4/2/2016,20.5,10.5,0,0.281,0.342,,-128.21,-125.64,-18.24,-17.85,17.74,17.17,
MSGSP,4/2/2016,10.5,0,0,,,,,,,,,,
USGSP,4/2/2016,108,98,0,0.322,0.31,,-118.79,,-16.23,,11.04,,
USGSP,4/2/2016,98,88,0,0.328,0.332,,-100.68,,-13.69,,8.81,,
USGSP,4/2/2016,88,78,-0.1,0.315,0.444,,-133.29,,-17.23,,4.55,,
USGSP,4/2/2016,78,68,-1.5,0.407,0.411,,-138.08,,-18.36,,8.83,,
USGSP,4/2/2016,68,58,-2,0.395,0.366,,-152.95,,-20.52,,11.25,,
USGSP,4/2/2016,58,48,-2,0.378,0.348,,-153.86,,-21.22,,15.92,,
USGSP,4/2/2016,48,38,-2,0.361,0.365,,-173.36,,-23.40,,13.87,,
USGSP,4/2/2016,38,28,-1.5,0.377,0.373,,-175.31,,-23.84,,15.39,,
USGSP,4/2/2016,28,18,-1,0.343,0.346,,-143.22,,-20.06,,17.29,,
USGSP,4/2/2016,18,8,-0.5,0.291,0.319,,-130.33,,-18.33,,16.27,,
USGSP,4/2/2016,8,0,-0.1,,,,,,,,,,
BTSP1,4/5/2016,110,100,1,0.22,0.235,,-118.84,-121.45,-16.28,-16.65,11.38,11.74,
BTSP1,4/5/2016,100,90,-1,0.255,0.267,,-103.02,-104.69,-14.65,-14.78,14.18,13.54,
BTSP1,4/5/2016,90,80,-2,0.337,0.314,,-135.59,-135.06,-18.04,-18.06,8.70,9.45,
BTSP1,4/5/2016,80,70,-2,0.363,0.378,,-146.10,-147.63,-19.79,-19.91,12.18,11.67,
BTSP1,4/5/2016,70,60,-1.5,0.339,0.356,,-154.77,-152.49,-20.86,-20.54,12.08,11.81,
BTSP1,4/5/2016,60,50,-1.5,0.311,0.327,,-168.17,-166.95,-22.68,-22.43,13.27,12.48,
BTSP1,4/5/2016,50,40,-1,0.379,0.362,,-188.71,-179.71,-24.97,-23.84,11.06,11.00,
BTSP1,4/5/2016,40,30,-1,0.311,0.387,,-161.43,-190.51,-22.01,-24.94,14.63,9.04,
BTSP1,4/5/2016,30,20,-0.5,0.264,0.345,,-134.13,-184.22,-18.98,-24.56,17.73,12.29,
BTSP1,4/5/2016,20,10,0,0.253,0.298,,-126.75,-126.62,-17.97,-17.74,17.04,15.27,
BTSP1,4/5/2016,10,0,0,,,,,,,,,,
CBSP1,4/4/2016,140,130,-1,0.317,0.306,,-110.53,,-15.33,,12.08,,
CBSP1,4/4/2016,130,120,-3.5,0.322,0.302,,-112.09,-109.92,-15.45,-15.15,11.49,11.31,
CBSP1,4/4/2016,120,110,-4.5,0.3,0.287,,-90.00,-97.39,-12.66,-13.48,11.31,10.45,
CBSP1,4/4/2016,110,100,-3.9,0.31,0.3,,-118.71,-92.60,-16.11,-12.95,10.18,11.01,
CBSP1,4/4/2016,100,90,-2.5,0.347,0.356,,-132.75,-135.40,-18.22,-18.45,13.00,12.17,
CBSP1,4/4/2016,90,80,-2.5,0.393,0.375,,-126.25,-137.44,-17.26,-18.92,11.82,13.88,
CBSP1,4/4/2016,80,70,-2.5,0.344,0.35,,-156.75,-145.38,-21.52,-19.96,15.37,14.29,
CBSP1,4/4/2016,70,60,-2,0.369,0.387,,-155.15,-153.29,-21.38,-21.20,15.87,16.28,
CBSP1,4/4/2016,60,50,-1.5,0.357,0.375,,-193.03,-164.88,-25.91,-22.50,14.25,15.10,
CBSP1,4/4/2016,50,40,-1.5,0.345,0.357,,-212.18,-209.34,-28.28,-27.55,14.10,11.05,
CBSP1,4/4/2016,40,30,-0.5,0.36,0.377,,-162.42,-195.13,-22.73,-26.07,19.44,13.45,
CBSP1,4/4/2016,30,20,0,0.352,0.368,,-158.24,-163.72,-21.86,-22.64,16.61,17.40,
CBSP1,4/4/2016,20,10,0,0.284,0.333,,-129.83,-147.27,-18.32,-20.25,16.70,14.72,
CBSP1,4/4/2016,10,0,0,,,,,,,,,,
LMWLSP,4/4/2016,113,103,0.5,0.293,0.259,,-123.47,-122.87,-16.85,-16.61,11.32,10.04,
LMWLSP,4/4/2016,103,93,-1,0.291,0.269,,-90.79,-96.98,-12.92,-13.62,12.58,11.95,
LMWLSP,4/4/2016,93,83,-3,0.298,0.268,,-138.41,-121.42,-18.34,-16.35,8.35,9.37,
LMWLSP,4/4/2016,83,73,-2.5,0.304,0.286,,-146.36,-142.86,-19.71,-19.19,11.32,10.70,
