Site,date,top (cm),bottom (cm),T (C) ,densityA (g/cm3),densityB (g/cm3),density C (g/cm3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess (permil),dexcess B (permil)
u403SP,4/2/2017,290,280,0,0.289,0.272,,-125.49,-127.04,-17.17,-17.31,11.88,11.46
u403SP,4/2/2017,280,270,-1,0.315,0.309,,-126.39,-131.61,-17.83,-18.42,16.22,15.75
u403SP,4/2/2017,270,260,-1.5,0.314,0.306,,-125.94,-123.84,-17.14,-17.14,11.18,13.24
u403SP,4/2/2017,260,250,-1.2,0.387,0.363,,-125.27,-120.79,-17.01,-16.73,10.82,13.08
u403SP,4/2/2017,250,240,-1.5,0.378,0.38,,-121.46,-125.45,-16.51,-17.01,10.62,10.66
u403SP,4/2/2017,240,230,-1,0.359,0.355,,-103.36,-116.89,-13.98,-15.92,8.46,10.5
u403SP,4/2/2017,230,220,-1,0.367,0.345,,-107.91,-108.35,-15.16,-14.78,13.4,9.87
u403SP,4/2/2017,220,210,-1,0.388,0.394,,-127.24,-123.69,-17.55,-17.28,13.14,14.59
u403SP,4/2/2017,210,200,-0.75,0.372,0.383,,-140.31,-130.46,-19.11,-17.87,12.6,12.54
u403SP,4/2/2017,200,190,-0.5,0.384,0.382,,-180.73,-180.37,-24.23,-24.18,13.09,13.04
u403SP,4/2/2017,190,180,-0.75,0.426,0.404,,-135.86,-124.78,-19.1,-17.89,16.94,18.36
u403SP,4/2/2017,180,170,-0.5,0.424,0.41,,-115.81,-121.44,-16.75,-17.34,18.17,17.25
u403SP,4/2/2017,170,160,-0.5,0.425,0.395,,-135.48,-137.19,-18.69,-18.97,14.04,14.57
u403SP,4/2/2017,160,150,-0.75,0.42,0.421,,-133.86,-134.38,-18.24,-18.34,12.08,12.34
u403SP,4/2/2017,150,140,-0.75,0.409,0.441,,-120.94,-121.76,-16.79,-16.82,13.41,12.79
u403SP,4/2/2017,140,130,-0.75,0.418,0.425,,-163.19,-164.15,-21.5,-21.79,8.8,10.13
u403SP,4/2/2017,130,120,-0.75,0.429,0.445,,-152.45,-152.21,-20.61,-20.38,12.4,10.85
u403SP,4/2/2017,120,110,-0.5,0.442,0.438,,-162.65,-159.31,-21.6,-21.48,10.17,12.49
u403SP,4/2/2017,110,100,-0.5,0.456,0.45,,-139.89,-141.84,-19.6,-19.83,16.9,16.77
u403SP,4/2/2017,100,90,-0.25,0.422,0.41,,-138.92,-139.28,-19.56,-19.48,17.54,16.56
u403SP,4/2/2017,90,80,-0.2,0.432,0.445,,-157.71,-161.16,-21.15,-21.64,11.5,11.96
u403SP,4/2/2017,80,70,0,0.438,0.452,,-177.52,-171.71,-23.62,-22.07,11.46,4.87
u403SP,4/2/2017,70,60,0,0.491,0.483,,-200.84,-201.61,-26.56,-26.64,11.67,11.51
u403SP,4/2/2017,60,50,0,0.465,0.435,,-178.36,,-23.68,,11.05,
u403SP,4/2/2017,50,40,0,0.452,0.439,,-138.69,-136.81,-18.92,-18.71,12.67,12.85
u403SP,4/2/2017,40,30,0,0.436,0.45,,-137.73,-145.41,-19.75,-20.42,20.25,17.91
u403SP,4/2/2017,30,20,0,0.433,0.454,,-144.39,-144.75,-20.03,-20.54,15.88,19.56
u403SP,4/2/2017,20,10,0,0.4,0.398,,-133.03,-135.84,-18.97,-19.43,18.73,19.61
LSASP,4/3/2017,176,166,-0.8,0.189,0.208,,-128.94,-129.15,-17.38,-17.45,10.11,10.43
LSASP,4/3/2017,166,156,-1,0.426,0.455,,-111.66,-112.42,-14.89,-15.08,7.43,8.2
LSASP,4/3/2017,156,146,0,0.455,0.423,,-109.09,-112.08,-14.67,-15.06,8.27,8.43
LSASP,4/3/2017,146,136,0,0.449,0.405,,-113.35,-107.34,-15.28,-14.64,8.89,9.75
LSASP,4/3/2017,136,126,0,0.437,0.404,,-124.37,-140.32,-17.02,-19.01,11.79,11.76
LSASP,4/3/2017,126,116,0,0.428,0.403,,-151.64,-149.43,-20.4,-20.32,11.53,13.14
LSASP,4/3/2017,116,106,0,0.459,0.431,,-123.86,-124.86,-17.37,-17.6,15.11,15.95
LSASP,4/3/2017,106,96,0,0.425,0.448,,-135.65,-133.11,-18.48,-18.22,12.15,12.66
LSASP,4/3/2017,96,86,0,0.448,0.428,,-131.44,-134.43,-17.92,-18.23,11.95,11.39
LSASP,4/3/2017,86,76,0,0.469,0.439,,-142.82,-156.94,-19.23,-20.96,10.98,10.71
LSASP,4/3/2017,76,66,0,0.418,0.435,,-159.38,-161.07,-21.29,-21.49,10.95,10.84
LSASP,4/3/2017,66,56,0,0.468,0.484,,-149.49,-148.41,-20.59,-20.14,15.25,12.7
LSASP,4/3/2017,56,46,0,0.435,0.451,,-142.34,-145.83,-19.69,-20.01,15.16,14.28
LSASP,4/3/2017,46,36,0,0.464,0.494,,-163.37,-153.09,-22.27,-20.94,14.76,14.47
LSASP,4/3/2017,36,26,0,0.465,0.48,,-182.63,-172.3,-24.38,-23.21,12.41,13.4
LSASP,4/3/2017,26,16,0,0.488,0.503,,-148.3,-149.69,-19.97,-20.3,11.44,12.7
LSASP,4/3/2017,16,6,0,0.502,0.503,,-149.92,-149.85,-20.56,-20.54,14.53,14.44
LSASP,4/3/2017,6,0,0,,,,,,,,,
CBSP,4/2/2017,122,112,0,0.29,0.246,,-120.62,-119.83,-16.57,-16.51,11.91,12.27
CBSP,4/2/2017,112,102,0,0.285,0.3,,-108.02,-97.55,-14.55,-13.39,8.38,9.59
CBSP,4/2/2017,102,92,-1,0.408,0.414,,-122.39,-114.01,-16.66,-15.72,10.87,11.74
CBSP,4/2/2017,92,82,-1,0.411,0.438,,-112.01,-106.69,-15.42,-14.81,11.34,11.77
CBSP,4/2/2017,82,72,-1,0.41,0.43,,-115.06,-117.66,-16.25,-16.66,14.96,15.65
CBSP,4/2/2017,72,62,0,0.412,0.4,,-143.38,-147.26,-19.6,-19.97,13.42,12.52
CBSP,4/2/2017,62,52,0,0.443,0.435,,-157.26,-161.29,-21.13,-21.75,11.8,12.7
CBSP,4/2/2017,52,42,0,0.46,0.449,,-164.39,-165.44,-21.93,-22.05,11.03,10.94
CBSP,4/2/2017,42,32,0,0.464,0.472,,-167.95,-161.06,-22.6,-22.01,12.84,14.99
CBSP,4/2/2017,32,22,0,0.466,0.454,,-156.49,-157.89,-21.85,-22,18.29,18.09
CBSP,4/2/2017,22,12,0,0.364,0.366,,-145.72,-140.14,-20.28,-19.41,16.52,15.11
CBSP,4/2/2017,12,2,0,0.368,0.346,,-141.12,-136.48,-19.33,-18.57,13.52,12.11
CBSP,4/2/2017,2,0,,,,,,,,,,
BTSP,4/2/2017,130,120,0,0.382,0.381,,,,,,,
BTSP,4/2/2017,120,110,0,0.46,0.437,,,,,,,
BTSP,4/2/2017,110,100,0,0.456,0.432,,,,,,,
BTSP,4/2/2017,100,90,0,0.404,0.397,,,,,,,
BTSP,4/2/2017,90,80,0,0.422,0.417,,,,,,,
BTSP,4/2/2017,80,70,0,0.42,0.415,,,,,,,
BTSP,4/2/2017,70,60,0,0.431,0.45,,-152.07,-158.76,-20.42,-21.31,11.32,11.69
BTSP,4/2/2017,60,50,0,0.443,0.462,,-156.77,-159.69,-21.28,-21.61,13.45,13.17
BTSP,4/2/2017,50,40,0,0.463,0.457,,-151.45,-149.46,-20.77,-20.58,14.74,15.18
BTSP,4/2/2017,40,30,0,0.44,0.46,,-174.73,-172.36,-23.24,-22.79,11.16,9.97
BTSP,4/2/2017,30,20,0,0.476,0.484,,-153.49,-158.5,-20.79,-21.36,12.8,12.4
BTSP,4/2/2017,20,10,0,0.447,0.426,,-147.61,-147.68,-20.1,-20.18,13.16,13.72
BTSP,4/2/2017,10,0,0,0.415,0.397,,-137.21,-142.76,-18.53,-19.29,11.03,11.6
PLM1sp,4/3/2017,109,99,-0.5,0.164,0.217,,-123.43,-117.51,-16.52,-15.71,8.69,8.2
PLM1sp,4/3/2017,99,89,0,0.451,0.439,,-118.98,-117.61,-15.88,-15.73,8.06,8.25
PLM1sp,4/3/2017,89,79,-0.5,0.469,0.542,,-125.74,-124.6,-17.19,-16.77,11.75,9.55
PLM1sp,4/3/2017,79,69,-0.5,0.477,0.471,,-131.25,-129.88,-17.57,-17.59,9.32,10.85
PLM1sp,4/3/2017,69,59,-0.8,0.507,0.537,,-147.94,-132.74,-19.64,-17.93,9.15,10.71
PLM1sp,4/3/2017,59,49,-0.8,0.479,0.476,,-136.26,-148.73,-18.36,-19.81,10.58,9.73
PLM1sp,4/3/2017,49,39,-0.8,0.509,0.494,,-125.23,-149.59,-16.81,-20.21,9.28,12.1
PLM1sp,4/3/2017,39,29,-0.5,0.502,0.484,,-143.31,-140.26,-19.59,-18.97,13.44,11.52
