Site,date,dH A (permil),dH B (permil),dO A (permil),dO B (permil)
PCSP,3/29/2018,-139.32,-143.83,-18.48,-19.30
MCSP,3/29/2018,,-152.10,,-20.25
LMWLSP*,3/30/2018,-140.77,,-19.26,
JFSP,3/30/2018,-146.86,-145.43,-19.63,-19.40
CLSP,3/31/2018,-149.25,-147.44,-20.96,-20.17
BCSP,4/1/2018,-155.25,-148.24,-20.66,-19.58
LSGSP,3/31/2018,-141.85,-148.45,-19.08,-19.78
MSGSP,3/31/2018,-140.78,-141.91,-19.40,-19.55
USGSP,4/2/2018,-142.16,-140.76,-19.47,-19.31
LSASP,4/1/2018,-135.98,-136.37,-18.46,-18.62
UMSP,3/30/2018,-133.00,-131.39,-17.96,-18.02
UPHSP,3/30/2018,-129.65,,-17.35,
MPHSP,3/30/2018,,-138.16,,-18.62
LPHSP,3/30/2018,-128.66,,-17.27,
u403sp_1,3/29/2018,-150.31,-150.32,-20.49,-20.54
u403sp_2,5/13/2018,-139.12,-142.88,-18.93,-19.34
IRNSP,4/1/2018,-139.74,-139.34,-19.06,-18.93
OPSP_1,3/31/2018,-133.53,-132.18,-18.37,-18.20
OPSP_2,5/17/2018,-131.52,-130.96,-17.50,-17.73
CPUSP,3/31/2018,-132.62,-134.97,-18.45,-18.51
CPLSP,3/31/2018,-146.67,-142.80,-20.05,-19.54
EOPSP,5/17/2018,-138.62,-134.58,-19.17,-18.89
CPSP,5/17/2018,-128.95,-129.87,-17.62,-17.65
,,,,,
*use FS1 instead of mixed depth resolved samples,,,,,
