site,date,dH A (permil),dH B (permil),dO A (permil),dO B (permil)
u403,4/7/2019,,-138.40,,-19.08
IRN,4/8/2019,,,,
OPSP,4/6/2019,-134.38,-140.00,-18.28,-19.19
USGSP_1,2/19/2019,,,,
USGSP_2,4/7/2019,-147.26,-146.69,-19.92,-19.70
USGSP_3,6/2/2019,,,,
MSGSP_1,4/8/2019,-141.18,-140.66,-18.85,-18.95
MSGSP_2,6/2/2019,,,,
LSGSP_1,2/21/2019,-166.18,-167.63,-22.19,-22.37
LSGSP_2,4/7/2019,,,,
JFSP,4/8/2019,,,,
LMWLSP,4/5/2019,,,,
PCSP,4/6/2019,-126.93,-142.39,-14.26,-18.95
MCSP,4/6/2019,,,,
LSASP,4/8/2019,-141.95,-136.60,-19.30,-18.94
UMSP,4/8/2019,,,,
PLM6SP,4/8/2019,-148.91,-142.77,-19.84,-19.14
PLM1SP,4/6/2019,,,,
BCSP,4/9/2019,-152.98,-153.37,-20.36,-20.49
