ï»¿Site,date,top (cm),bottom (cm),T (C) ,density A (g/cm3),density B (g/cm3),density C (g/cm3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dexcess B (permil)
u403,4/7/19,412,402,,0.263,0.271,,-114.63,-121.53,-15.64,-16.47,10.45,10.19
u403,4/7/19,402,392,,0.244,0.245,,-99.31,-95.46,-14.29,-13.95,14.97,16.16
u403,4/7/19,392,382,,0.303,0.305,,-101.73,-102.14,-14.29,-14.17,12.56,11.18
u403,4/7/19,382,372,,0.308,0.306,,-103.53,-103.78,-14.91,-14.99,15.73,16.15
u403,4/7/19,372,362,,0.342,0.331,,-80.02,-82.86,-11.99,-9.06,15.93,-10.40
u403,4/7/19,362,352,,0.317,0.324,,-76.20,-70.75,-11.16,-10.78,13.10,15.49
u403,4/7/19,352,342,,0.337,0.337,,-91.40,-78.84,-13.14,-11.67,13.73,14.49
u403,4/7/19,342,332,,0.345,0.338,,-90.52,-87.93,-13.07,-12.75,14.04,14.09
u403,4/7/19,332,322,,0.351,0.345,,-97.13,-87.86,-13.82,-12.76,13.41,14.26
u403,4/7/19,322,312,,0.345,0.339,,-107.60,-96.71,-15.00,-13.87,12.37,14.22
u403,4/7/19,312,302,,0.351,0.343,,-123.49,-107.61,-17.11,-15.21,13.36,14.06
u403,4/7/19,302,292,,0.352,0.351,,-173.98,-120.71,-23.11,-16.87,10.87,14.23
u403,4/7/19,292,282,,0.345,0.357,,-131.79,-179.46,-18.07,-23.81,12.80,10.99
u403,4/7/19,282,272,,0.375,0.381,,-99.10,-116.12,-14.03,-16.31,13.11,14.34
u403,4/7/19,272,262,,0.377,0.368,,-127.72,-97.07,-17.65,-13.90,13.45,14.12
u403,4/7/19,262,252,,0.387,0.415,,-212.40,-139.44,-28.22,-19.22,13.32,14.31
u403,4/7/19,252,242,,0.425,0.419,,-223.83,-215.01,-30.01,-28.52,16.26,13.12
u403,4/7/19,242,232,,0.401,0.409,,-185.75,-215.72,-24.46,-28.91,9.92,15.60
u403,4/7/19,232,222,,0.415,0.411,,-189.47,-188.12,-24.68,-24.94,8.01,11.43
u403,4/7/19,222,212,,0.381,0.405,,-187.53,-183.13,-24.43,-23.96,7.93,8.58
u403,4/7/19,212,202,,0.413,0.437,,-159.60,-139.54,-22.17,-16.11,17.76,-10.68
u403,4/7/19,202,192,,0.485,0.479,,-153.69,-167.09,-21.55,-23.37,18.68,19.85
u403,4/7/19,192,182,,0.452,0.484,,-129.04,-156.65,-17.95,-22.29,14.54,21.65
u403,4/7/19,182,172,,0.424,0.415,,-136.05,-94.62,-18.36,-7.54,10.82,-34.31
u403,4/7/19,172,162,,0.437,0.411,,-150.07,-136.78,-19.90,-18.59,9.14,11.94
u403,4/7/19,162,152,,0.429,0.432,,-162.15,-145.69,-21.31,-19.45,8.37,9.93
u403,4/7/19,152,142,,0.471,0.45,,-142.94,-158.89,-19.34,-20.94,11.80,8.64
u403,4/7/19,142,132,,0.482,0.433,,-154.74,-145.10,-20.74,-19.64,11.16,12.00
u403,4/7/19,132,122,,0.434,0.438,,-166.51,-160.80,-22.07,-21.30,10.04,9.62
u403,4/7/19,122,112,,0.436,0.428,,-181.40,-165.82,-24.08,-22.03,11.20,10.46
u403,4/7/19,112,102,,0.436,0.438,,-186.97,-200.37,-24.90,-26.55,12.23,12.05
u403,4/7/19,102,92,,0.427,0.431,,-194.08,-206.41,-25.68,-27.41,11.33,12.84
u403,4/7/19,92,82,,0.426,0.447,,-167.35,-192.89,-22.32,-25.57,11.18,11.65
u403,4/7/19,82,72,,0.433,0.432,,-163.44,-155.81,-22.06,-21.14,13.05,13.30
u403,4/7/19,72,62,,0.421,0.411,,-164.47,-152.85,-22.16,-20.91,12.82,14.41
u403,4/7/19,62,52,,0.399,0.412,,-132.84,-167.71,-18.22,-22.68,12.94,13.75
u403,4/7/19,52,42,,0.422,0.409,,-120.82,-133.05,-16.89,-18.37,14.28,13.94
u403,4/7/19,42,32,,0.4,0.405,,-123.66,-120.58,-17.16,-16.87,13.64,14.39
u403,4/7/19,32,22,,0.374,0.4,,-110.13,-124.31,-15.83,-17.33,16.47,14.36
u403,4/7/19,22,12,,0.388,0.353,,-110.71,-110.77,-15.64,-15.88,14.40,16.28
u403,4/7/19,12,2,,0.313,0.339,,-115.69,-111.23,-16.06,-15.88,12.82,15.77
u403,4/7/19,2,0,,,,,,,,,,
IRN,4/8/19,258,248,,0.345,0.348,,-142.17,-120.55,-18.76,-16.39,7.91,10.57
IRN,4/8/19,248,238,,0.371,0.361,,-156.20,,-20.49,,7.72,
IRN,4/8/19,238,228,,0.313,0.376,0.332,-117.71,-150.92,-16.45,-20.08,13.89,9.72
IRN,4/8/19,228,218,,0.338,0.322,,-92.74,-112.55,-13.42,-15.91,14.62,14.73
IRN,4/8/19,218,208,,0.35,0.35,,-108.59,-83.77,-15.07,-12.39,11.97,15.35
IRN,4/8/19,208,198,,0.317,0.329,,-142.64,-97.78,-19.34,-13.71,12.08,11.90
IRN,4/8/19,198,188,,0.327,0.337,,-178.33,-138.48,-23.67,-18.71,11.03,11.20
IRN,4/8/19,188,178,,0.336,0.346,,-170.08,-172.56,-22.69,-22.84,11.44,10.16
IRN,4/8/19,178,168,,0.338,0.335,,-113.23,-176.03,-15.88,-23.25,13.81,9.97
IRN,4/8/19,168,158,,0.362,0.365,,-145.78,-146.62,-19.83,-20.04,12.86,13.70
IRN,4/8/19,158,148,,0.371,0.327,,-169.94,,-22.83,,12.70,
IRN,4/8/19,148,138,,0.393,0.394,,-184.61,-170.30,-24.37,-22.95,10.35,13.30
IRN,4/8/19,138,128,,0.393,0.392,,-171.34,-189.78,-23.27,-24.94,14.82,9.74
IRN,4/8/19,128,118,,0.405,0.416,,-137.63,-171.46,-18.79,-23.29,12.69,14.86
IRN,4/8/19,118,108,,0.406,0.416,,-153.73,-134.42,-20.79,-18.50,12.59,13.58
IRN,4/8/19,108,98,,0.417,0.423,,-163.75,-125.33,-21.88,-13.76,11.29,-15.25
IRN,4/8/19,98,88,,0.419,0.412,,-171.07,-158.89,-22.70,-21.06,10.53,9.59
IRN,4/8/19,88,78,,0.43,0.423,,-193.31,-170.37,-25.59,-22.59,11.41,10.35
IRN,4/8/19,78,68,,0.439,0.433,,-169.72,-191.75,-22.75,-25.53,12.28,12.49
IRN,4/8/19,68,58,,0.433,0.425,,-157.13,,-21.13,,11.91,
