Site,date,dH A (permil),dH B (permil),dO A (permil),dO B (permil)
IRN,1/29/2020,-148.44,-152.60,-20.36,-20.77
IRN,2/5/2020,-148.13,-147.91,-20.40,-20.34
IRN,2/12/2020,-141.87,-146.45,-19.45,-19.96
IRN,2/19/2020,-145.40,-143.67,-19.93,-19.79
IRN,2/26/2020,-146.22,-146.21,-20.05,-20.04
IRN,3/12/2020,,,,
IRN,4/8/2020,,,,
IRN,4/22/2020,-198.49,,-27.46,
IRN,5/6/2020,-142.65,-143.03,-19.61,-19.66
IRN,5/20/2020,-139.00,-137.97,-18.92,-18.85
GTH,1/24/2020,-153.80,-154.01,-20.99,-20.93
GTH,1/29/2020,-157.94,-154.66,-21.48,-21.12
GTH,2/5/2020,-150.32,-150.56,-20.54,-20.55
GTH,2/12/2020,-150.94,-151.12,-20.56,-20.65
GTH,2/19/2020,-153.21,-153.58,-20.89,-20.87
GTH,2/26/2020,-157.39,-154.91,-21.27,-20.94
GTH,3/11/2020,,,,
GTH,3/25/2020,,,,
GTH,4/8/2020,,,,
GTH,4/22/2020,-140.25,-140.33,-19.07,-19.08
GTH,5/6/2020,,,,
LMWL,3/25/2020,,,,
LMWL,4/1/2020,,,,
LMWL,4/7/2020,-147.18,,-20.19,
LMWL,4/15/2020,-147.39,-147.57,-20.12,-20.12
LMWL,4/22/2020,-144.81,-145.42,-19.59,-19.67
LMWL,4/29/2020,-145.77,-151.50,-19.86,-20.47
LMWL,5/6/2020,-140.49,-137.83,-19.24,-18.86
