Site,date,top (cm),bottom (cm),T (C) ,densityA (g/m3),densityB (g/m3),density C (g/m3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dExcess B (permil)
IRN,1/29/2020,168,158,-9,0.31,0.3,,-149.79,-151.33,-20.04,-20.27,10.56,10.85
IRN,1/29/2020,158,148,-8.1,0.35,0.36,,-148.95,-148.93,-19.88,-19.87,10.07,10.02
IRN,1/29/2020,148,138,-6.6,0.37,0.37,,-154.33,-155.33,-20.69,-20.79,11.21,10.98
IRN,1/29/2020,138,128,-5.1,0.37,0.35,,-187.38,-183.51,-24.59,-24.12,9.31,9.44
IRN,1/29/2020,128,118,-4.6,0.35,0.35,,-175.69,-182.38,-23.50,-24.29,12.32,11.94
IRN,1/29/2020,118,108,-4,0.34,0.35,,-156.88,-158.14,-21.81,-21.76,17.58,15.95
IRN,1/29/2020,108,98,-3.5,0.34,0.34,,-154.13,-147.66,-21.47,-20.34,17.63,15.08
IRN,1/29/2020,98,88,-3,0.32,0.3,,-156.70,-151.98,-21.37,-20.68,14.30,13.42
IRN,1/29/2020,88,78,-2.6,0.3,0.3,,-112.01,-148.96,-15.85,-20.44,14.79,14.59
IRN,1/29/2020,78,68,-2.2,0.3,0.29,,-110.68,-110.60,-15.64,-15.67,14.47,14.73
IRN,1/29/2020,68,58,-1.8,0.28,0.27,,-124.81,-116.58,-17.29,-16.36,13.54,14.26
IRN,1/29/2020,58,48,-1.5,0.24,0.21,,-140.50,-133.85,-19.46,-18.35,15.19,12.98
IRN,1/29/2020,48,38,-1.2,0.18,0.16,,-154.94,-144.30,-21.51,-19.96,17.15,15.39
IRN,1/29/2020,38,28,-0.9,0.18,0.16,,-162.29,-189.88,-22.50,-25.78,17.69,16.34
IRN,1/29/2020,28,18,-0.6,0.16,0.16,,-170.56,-173.58,-23.15,-23.55,14.63,14.83
IRN,1/29/2020,18,8,-0.2,0.1,0.11,,-153.06,-147.31,-20.72,-20.05,12.73,13.11
IRN,2/5/2000,153,143,-16,0.096,0.107,0.106,-99.26,-98.78,-14.83,-14.90,19.34,20.40
IRN,2/5/2000,143,133,-13.3,0.162,0.169,,-152.11,-151.80,-20.38,-20.34,10.96,10.89
IRN,2/5/2000,133,123,-9.5,0.218,0.213,,-149.46,-149.39,-20.07,-20.09,11.13,11.34
IRN,2/5/2000,123,113,-7,0.232,0.231,,-173.96,-175.01,-23.09,-23.23,10.76,10.85
