"Solid phase total organic and inorganic carbon concentrations by using a Shimadzu TOC-VCSH carbon analyzer, , supporting Fig 2a-b",,,,,,,,,,,,,,,,,
,,"TOC, g/kg",,,,,,,,"TIC, g/kg soil",,,,,,,
,,TT01,TT02,TT03,TT04,TT05,,,,TT01,TT02,TT03,TT04,TT05,,,
,Depth (m),,,,,,ave,std,,,,,,,ave,std,
,-0.15,4.47,2.12,2.23,1.84,1.94,2.52,0.99,,8.4,6.3,9.1,7.8,7.6,7.85,0.92,
,-0.46,3.38,2.71,2.40,1.25,,2.43,0.77,,8.9,9.4,9.0,9.4,,9.19,0.23,
,-0.76,3.40,3.05,1.67,1.11,2.00,2.24,0.85,,10.9,8.8,9.3,13.8,8.6,10.26,1.92,
,-1.07,4.22,2.74,2.01,1.16,2.71,2.57,1.01,,6.3,9.7,9.6,15.6,3.3,8.88,4.11,
,-1.37,2.70,2.41,1.80,0.96,,1.97,0.67,,8.9,12.5,8.9,8.3,,9.62,1.66,
,-1.68,2.67,3.33,1.64,0.92,,2.14,0.93,,9.1,7.4,8.6,8.1,,8.28,0.63,
,-1.98,2.17,5.01,1.87,1.05,2.02,2.42,1.35,,8.0,6.7,5.3,13.4,4.6,7.63,3.14,
,-2.29,2.44,2.17,1.97,0.89,3.31,2.15,0.78,,7.3,5.6,6.1,8.6,4.5,6.42,1.41,
,-2.59,2.77,2.83,2.55,0.87,,2.25,0.81,,6.2,4.0,4.1,6.0,,5.09,1.05,
,-2.90,4.40,2.18,1.45,0.95,,2.24,1.32,,8.5,4.8,7.8,8.2,,7.33,1.48,
,-3.20,2.96,2.21,2.20,1.03,4.97,2.68,1.30,,8.1,10.0,4.7,5.0,3.4,6.24,2.43,
,-3.44,,2.44,3.04,1.91,3.56,2.74,0.62,,,7.3,4.7,5.1,4.4,5.37,1.14,
,,,,,,,,,,,,,,,,,
,ave,3.23,2.79,1.98,1.09,2.83,2.36,0.24,ave,8.23,7.74,7.50,9.47,5.34,7.68,1.05,
