"Figure 3a., subsurface CO2 concentrations versus time",,,,
,,,,
,,"CO2,  %",,
,depth,0.5 m,1.0 m,2.5 m
Date (MT),,,,
10/20/14,,,,
10/21/14,,,,
10/22/14,,,,
10/23/14,,,,
10/24/14,,1.66,1.43,6.38
10/25/14,,0.30,0.52,4.23
10/26/14,,1.70,4.13,4.30
10/27/14,,0.08,0.59,1.18
10/28/14,,1.21,2.06,4.24
10/29/14,,,,
10/30/14,,,,
10/31/14,,,,
11/1/14,,,,
11/2/14,,,,
11/3/14,,,,
11/4/14,,,,
11/5/14,,,,
11/6/14,,,,
11/7/14,,,,
11/8/14,,,,
11/9/14,,,,
11/10/14,,,,
11/11/14,,,,
11/12/14,,,,
11/13/14,,,,
11/14/14,,,,
11/15/14,,,,
11/16/14,,,,
11/17/14,,,,
11/18/14,,,,
11/19/14,,,,
11/20/14,,,,
11/21/14,,2.25,2.38,2.52
11/22/14,,0.19,0.34,3.28
11/23/14,,0.75,2.92,1.71
11/24/14,,0.15,0.41,1.58
11/25/14,,0.94,1.59,3.74
11/26/14,,,,
11/27/14,,,,
11/28/14,,,,
11/29/14,,,,
11/30/14,,,,
12/1/14,,,,
12/2/14,,,,
12/3/14,,,,
12/4/14,,,,
12/5/14,,,,
12/6/14,,,,
12/7/14,,,,
12/8/14,,,,
12/9/14,,,,
12/10/14,,,,
12/11/14,,,,
12/12/14,,,,
12/13/14,,,,
12/14/14,,,,
12/15/14,,,,
12/16/14,,,,
12/17/14,,,,
12/18/14,,,,
12/19/14,,,,
12/20/14,,,,
12/21/14,,,,
12/22/14,,,,
12/23/14,,,,
12/24/14,,,,
12/25/14,,,,
12/26/14,,,,
12/27/14,,,,
12/28/14,,,,
12/29/14,,,,
12/30/14,,,,
12/31/14,,,,
1/1/15,,,,
1/2/15,,,,
1/3/15,,,,
1/4/15,,,,
1/5/15,,,,
1/6/15,,,,
1/7/15,,0.53,2.10,3.04
1/8/15,,,,
1/9/15,,,,
1/10/15,,,,
1/11/15,,,,
1/12/15,,,,
1/13/15,,,,
1/14/15,,,,
1/15/15,,,,
