"Figure 3c., water saturation at selected depths versus time",,,,
Date (MT),days relative to 1-1-15,water saturation,,
,,,,
,depth,0.50 m,1.00 m,2.50 m
,,,,
10/23/14,-70,,,
10/24/14,-69,,,
10/25/14,-68,,,
10/26/14,-67,0.866,0.747,0.398
10/27/14,-66,0.402,0.405,0.562
10/28/14,-65,0.575,0.597,0.466
10/29/14,-64,0.350,0.353,0.412
10/30/14,-63,0.486,0.517,0.479
10/31/14,-62,,,
11/1/14,-61,,,
11/2/14,-60,,,
11/3/14,-59,,,
11/4/14,-58,,,
11/5/14,-57,,,
11/6/14,-56,,,
11/7/14,-55,,,
11/8/14,-54,,,
11/9/14,-53,,,
11/10/14,-52,,,
11/11/14,-51,,,
11/12/14,-50,,,
11/13/14,-49,,,
11/14/14,-48,,,
11/15/14,-47,,,
11/16/14,-46,,,
11/17/14,-45,,,
11/18/14,-44,,,
11/19/14,-43,,,
11/20/14,-42,,,
11/21/14,-41,,,
11/22/14,-40,,,
11/23/14,-39,0.537,0.423,0.320
11/24/14,-38,0.401,0.424,0.412
11/25/14,-37,0.525,0.548,0.606
11/26/14,-36,0.328,0.362,0.431
11/27/14,-35,0.432,0.445,0.479
11/28/14,-34,,,
11/29/14,-33,,,
11/30/14,-32,,,
12/1/14,-31,,,
12/2/14,-30,,,
12/3/14,-29,,,
12/4/14,-28,,,
12/5/14,-27,,,
12/6/14,-26,,,
12/7/14,-25,,,
12/8/14,-24,,,
12/9/14,-23,,,
12/10/14,-22,,,
12/11/14,-21,,,
12/12/14,-20,,,
12/13/14,-19,,,
12/14/14,-18,,,
12/15/14,-17,,,
12/16/14,-16,,,
12/17/14,-15,,,
12/18/14,-14,,,
12/19/14,-13,,,
12/20/14,-12,,,
12/21/14,-11,,,
12/22/14,-10,,,
12/23/14,-9,,,
12/24/14,-8,,,
12/25/14,-7,,,
12/26/14,-6,,,
12/27/14,-5,,,
12/28/14,-4,,,
12/29/14,-3,,,
12/30/14,-2,,,
12/31/14,-1,,,
1/1/15,0,,,
1/2/15,1,,,
1/3/15,2,,,
1/4/15,3,,,
1/5/15,4,,,
1/6/15,5,,,
1/7/15,6,,,
1/8/15,7,,,
1/9/15,8,0.472,0.497,0.353
1/10/15,9,,,
1/11/15,10,,,
1/12/15,11,,,
1/13/15,12,,,
1/14/15,13,,,
1/15/15,14,,,
1/16/15,15,,,
1/17/15,16,,,
1/18/15,17,,,
1/19/15,18,,,
1/20/15,19,,,
1/21/15,20,,,
1/22/15,21,,,
1/23/15,22,,,
1/24/15,23,,,
1/25/15,24,,,
1/26/15,25,,,
1/27/15,26,,,
1/28/15,27,,,
1/29/15,28,,,
1/30/15,29,,,
1/31/15,30,,,
2/1/15,31,,,
2/2/15,32,,,
2/3/15,33,,,
2/4/15,34,,,
2/5/15,35,,,
2/6/15,36,,,
2/7/15,37,,,
2/8/15,38,,,
2/9/15,39,,,
2/10/15,40,,,
2/11/15,41,,,
2/12/15,42,,,
2/13/15,43,,,
2/14/15,44,,,
2/15/15,45,,,
2/16/15,46,,,
2/17/15,47,,,
2/18/15,48,,,
2/19/15,49,,,
2/20/15,50,,,
2/21/15,51,,,
2/22/15,52,,,
2/23/15,53,,,
2/24/15,54,,,
2/25/15,55,,,
2/26/15,56,,,
2/27/15,57,,,
2/28/15,58,,,
3/1/15,59,,,
3/2/15,60,,,
3/3/15,61,,,
3/4/15,62,,,
3/5/15,63,,,
3/6/15,64,,,
3/7/15,65,,,
3/8/15,66,,,
3/9/15,67,,,
3/10/15,68,,,
3/11/15,69,,,
3/12/15,70,,,
3/13/15,71,,,
3/14/15,72,,,
3/15/15,73,,,
3/16/15,74,0.779,0.759,0.381
3/17/15,75,0.427,0.517,0.414
3/18/15,76,0.554,0.531,0.346
3/19/15,77,0.428,0.373,0.444
3/20/15,78,0.518,0.544,0.479
3/21/15,79,,,
3/22/15,80,,,
3/23/15,81,,,
3/24/15,82,,,
3/25/15,83,,,
3/26/15,84,,,
3/27/15,85,,,
3/28/15,86,,,
3/29/15,87,,,
3/30/15,88,,,
3/31/15,89,,,
4/1/15,90,,,
4/2/15,91,,,
4/3/15,92,,,
4/4/15,93,,,
4/5/15,94,,,
4/6/15,95,,,
4/7/15,96,,,
4/8/15,97,,,
4/9/15,98,,,
4/10/15,99,,,
4/11/15,100,,,
4/12/15,101,,,
4/13/15,102,,,
4/14/15,103,,,
4/15/15,104,,,
4/16/15,105,,,
4/17/15,106,,,
4/18/15,107,,,
4/19/15,108,,,
4/20/15,109,,,
4/21/15,110,,,
4/22/15,111,,,
4/23/15,112,,,
4/24/15,113,,,
4/25/15,114,,,
