,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incubation Experimemt Conditions and results, supporting Fig 4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary of BH Samples,,,,,,,,Summary of TT05 Samples,,,,,,,,,Summary of TT02 Samples,,,,,,,,Summary of TT03 Samples,,,,,,,,,,,,,
,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,,,,,
,BH samples,,,,Summer_2,,,,TT05 samples,,,,,Summer_2,,,,TT02 samples,,,,,,,,TT03 samples,,,,,,,,,,,,,
,Summer,"Depth, m",µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,,,,,,,,,
,SF-25˚C,-0.61,0.605,0.991,0.651,0.999,,,SF-25˚C,-0.3,0.072,0.007,0.995,0.155,0.990,,,SF-25˚C,-0.15,0.733,1.000,0.232,1.000,,,SF-25˚C,-0.15,0.523,0.999,0.319,,,,,,,,,
,VZ1-21˚C,-1.52,0.212,0.999,0.477,0.956,,,VZ1-21˚C,-1.52,0.091,0.009,0.988,0.275,0.982,,,VZ1-21˚C,-1.11,0.245,0.998,0.251,1.000,,,VZ1-21˚C,-1.11,0.234,0.992,0.327,,,,,,,,,
,VZ2-21˚C,-2.14,0.491,0.994,0.712,1.000,,,VZ2-21˚C,-2.14,0.180,0.018,0.999,0.328,0.997,,,VZ2-21˚C,-1.98,0.455,0.999,0.277,0.999,,,VZ2-21˚C,-1.98,1.103,0.999,0.279,,,,,,,,,
,WT-17˚C,-3.05,0.294,0.995,0.221,1.000,,,WT-17˚C,-2.74,0.187,0.019,0.997,0.270,0.993,,,WT1-17˚C,-2.9,0.348,0.978,0.207,0.997,,,WT1-17˚C,-2.9,0.393,0.971,0.182,,,,,,,,,
,GW-17˚C,-3.96,0.267,0.995,0.110,1.000,,,GW-17˚C,-3.96,0.128,0.013,0.998,0.117,0.988,,,WT2-17˚C,-3.2,0.287,0.979,0.128,0.995,,,WT2-17˚C,-3.2,0.387,0.994,0.279,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fall,,µgC-CO2/g soil/day,R (n=4),,,,,Fall,,µgC-CO2/g soil/day,,R (n=4),,,,,Fall,,µgC-CO2/g soil/day,R (n=4),,,,,Fall,-0.15,µgC-CO2/g soil/day,R (n=4),,,,,,,,,,
,SF-10˚C,-0.61,0.107,0.986,,,,,SF-10˚C,-0.3,0.040,0.004,0.990,,,,,SF-10˚C,-0.15,0.120,0.985,0.125,0.956,,,SF-10˚C,-1.11,0.148,0.986,0.153,,,,,,,,,
,VZ1-12˚C,-1.52,0.161,0.994,,,,,VZ1-12˚C,-1.52,0.044,0.004,0.998,,,,,VZ1-12˚C,-1.11,0.165,0.993,0.155,0.969,,,VZ1-12˚C,-1.98,0.154,0.991,0.188,,,,,,,,,
,VZ2-12˚C,-2.14,0.128,0.998,,,,,VZ2-12˚C,-2.14,0.094,0.009,0.998,,,,,VZ2-12˚C,-1.98,0.269,0.996,0.146,0.996,,,VZ2-12˚C,-2.9,0.983,0.995,0.141,,,,,,,,,
,WT-14˚C,-3.05,0.091,0.983,,,,,WT-14˚C,-2.74,0.166,0.017,0.991,,,,,WT1-14˚C,-2.9,0.380,0.998,0.088,0.993,,,WT1-14˚C,-3.2,0.273,0.998,0.104,,,,,,,,,
,GW-14˚C,-3.96,0.095,0.990,,,,,GW-14˚C,-3.96,0.093,0.009,0.999,,,,,WT2-14˚C,-3.2,0.239,0.993,0.072,0.999,,,WT2-14˚C,,0.268,0.991,0.216,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,µgC-CO2/g soil/day,R (n=4),,,,,Winter,,µgC-CO2/g soil/day,,R (n=4),,,,,Winter,,µgC-CO2/g soil/day,R (n=4),,,,,Winter,,µgC-CO2/g soil/day,R (n=4),,,,,,,,,,
,SF-3˚C,-0.61,0.054,0.983,,,,,SF-3˚C,-0.3,0.011,0.001,0.907,,,,,SF-3˚C,-0.15,0.030,0.987,,,,,SF-3˚C,-0.15,0.030,0.887,,,,,,,,,,
