File_Name,File_Description,Standard,Missing_Value_Codes,Data_Orientation
v3_20230808_flmd.csv,File-level metadata associated with dataset. This file is an updated version (version 3) of the file-level metadata file.,ESS-DIVE FLMD,N/A; -9999,horizontal
v3_20230808_dd.csv,Data dictionary defining column headers and other terms across the dataset. This file is an updated version (version 3) of the data dictionary file.,ESS-DIVE FLMD,N/A; -9999,horizontal
Detemination_of_Method_Detection_Limits__MDLs__for_ICP_MS__PerkinElmer_Elan_DRC_II__LBL_Bldg74_Lab214D.docx,Miscroft Word document describing the detemination of Method Detection Limits (MDLs) for ICP-MS PerkinElmer Elan DRC II (LBL Bldg74 Lab214D).,N/A,N/A,N/A
Detemination_of_Method_Detection_Limits__MDLs__for_ICP_MS__PerkinElmer_Elan_DRC_II__LBL_Bldg74_Lab214D.pdf,PDF document describing the detemination of Method Detection Limits (MDLs) for ICP-MS PerkinElmer Elan DRC II (LBL Bldg74 Lab214D).,N/A,N/A,N/A
locations.csv,Location information for the sites containing data. This file contains both Location_IDs and the latitude and longitude measurements associated with the Location_IDs. Latitude and longitude measurements are in WGS84 format.,ESS-DIVE CSV,N/A; -9999,horizontal
*_aluminum.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Aluminum in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_antimony.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Antimony in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_arsenic.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Arsenic in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_barium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Barium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_beryllium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of berylium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_boron.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Boron in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_cadmium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Cadmium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_calcium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Calcium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_cesium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Cesium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_chromium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Chromium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_cobalt.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Cobalt in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_copper.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Copper in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_europium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Europium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_germanium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Germanium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_iron.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Iron in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_lead.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Lead in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_lithium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of lithium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_magnesium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Magnesium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_manganese.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Manganese in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_molybdenum.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Molybdenum in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_nickel.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Nickel in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_phosphorus.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Phosphorus in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_potassium.csv,File containing IInductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Potassium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_rubidium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Rubidium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_selenium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Selenium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_silicon.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Silicon in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_silver.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Silver in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_sodium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Sodium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_strontium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Strontium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_thorium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Thorium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_tin.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Tin in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_titanium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Titanium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_uranium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Uranium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_vanadium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Vandium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_zinc.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Zinc in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
*_zirconium.csv,File containing Inductively coupled plasma mass spectrometry (ICP-MS) measurement of the concentration of Zirconium in part per billion (ppb). Asterisk marks Location_ID for which the location the data is collected from.,ESS-DIVE CSV,N/A; -9999,horizontal
