ï»¿XRD measurements performed in PLM3 as part of this study,,,,,,,,,,,,,,
Depth [m],0.05,0.30,0.61,0.91,1.22,1.83,2.13,2.44,3.05,3.35,3.96,4.57,5.79,7.01
Albite [w/w%],7.89,7.10,6.96,6.80,6.82,NaN,7.60,7.11,6.70,6.20,6.00,7.90,6.90,6.40
Calcite [w/w%],0.00,0.06,0.00,0.00,0.00,0.00,4.98,6.93,5.80,6.00,2.90,1.30,1.20,5.50
Dolomite [w/w%],0.14,0.25,0.18,0.32,0.20,0.38,6.94,12.50,13.30,12.40,12.90,12.40,14.30,15.10
Pyrite [w/w%],0.07,0.00,0.14,0.06,0.11,0.12,0.18,1.45,1.00,1.00,0.80,1.20,0.70,0.90
Goethite [w/w%],0.85,1.44,0.60,1.06,0.92,0.47,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Quartz [w/w%],40.35,43.89,44.32,34.08,28.74,44.05,38.81,39.47,33.10,37.10,41.70,36.30,40.00,37.90
Chlorite (Fe-rich; Tusc) [w/w%],4.46,0.84,5.02,5.61,7.00,6.18,7.46,4.49,6.40,5.60,5.80,5.60,5.40,6.10
Illite [w/w%],46.24,44.76,41.04,52.07,56.22,32.91,33.82,28.04,33.80,31.80,29.80,35.40,31.50,28.30
,,,,,,,,,,,,,,
