 Dataset source,Dataset type,Wavelet coefficients at 2 months,,,Wavelet coefficients at 4 months,
,,Chloride,Sulfate,Uranium,Manganese,Vanadium
RAWS,Total precipitation ,0.12,0.15,0.12,0.18,0.23
,Average temperature,0.23,0.24,0.24,0.24,0.23
,Humidity,0.21,0.18,0.15,0.2,0.21
,Penman evapotranspiration,0.34,0.27,0.18,0.32,0.2
NOAA,Rainfall,0.14,0.19,0.12,0.17,0.29
,Snowfall,0.12,0.2,0.19,0.16,0.33
USGS,Daily discharge,0.36,0.58,0.13,0.22,0.43
Site observation,Depth to groundwater,0.22,0.22,0.11,0.18,0.23
Qualitative,Irrigation withdrawal,0.24,0.23,0.09,0.18,0.19
