date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1)
Jan-66,1.912283203,0.510335845,0.510373187,0.512219297,0.972891806,0.992005054,0.828210505,0.987684033,0.426805391,0.239729645,0.319057678,1.110181879,0.356527585,0.97572169,1.180762454,0.294747337,0.873225718
Feb-66,1.533817733,0.422680203,0.422676254,0.424611163,0.941268454,0.964387164,0.784231515,0.936509819,0.351050898,0.230176734,0.302020329,1.042748267,0.321452946,0.921176312,1.299945773,0.274318485,0.795322116
Mar-66,7.246662254,1.651022491,1.650962698,1.65708044,2.734616645,2.792205003,2.241216784,2.926822447,1.393099232,1.184842541,1.494025807,5.054234905,1.504430474,2.884680841,6.169850857,1.23974046,2.477230119
Apr-66,2.993336387,1.499135531,1.499015873,1.505065479,3.131984093,3.204365955,2.604174342,2.851258593,1.260664531,0.804162042,0.998398893,2.490278488,0.884636014,2.805516408,3.070307816,0.946101986,2.555625561
May-66,3.970417377,1.541697344,1.541563854,1.546862643,3.09799434,3.154932971,2.488224281,3.03981059,1.398554596,1.72610974,1.942075721,3.010876033,1.664957215,2.99976724,2.918227492,1.67676367,2.494880309
Jun-66,5.451512311,2.330672166,2.330485241,2.337058136,3.872638386,3.931561136,3.412532542,4.171703071,2.43823416,3.531539225,3.763902666,4.991576856,3.865189543,4.126062692,4.770203802,3.091719036,3.429347296
Jul-66,4.210593278,3.282855932,3.28257783,3.292881918,4.052030084,4.122875411,3.332257335,3.952887894,3.302480523,2.482876541,2.665803991,3.807958494,2.527374177,3.903523276,4.608660462,2.746220158,3.846635274
Aug-66,4.189984346,2.244055544,2.243900509,2.251361394,3.535821051,3.598897096,2.976379465,3.80315005,2.142417284,2.577012446,2.789925732,3.964801391,2.47550853,3.753877004,4.79595171,2.560827121,3.220154809
Sep-66,5.084066963,3.638509139,3.638365661,3.651264191,5.470424463,5.569624499,5.145324262,4.954370811,3.510042942,2.753059522,2.948421535,3.629217377,2.265824722,4.888708302,4.134122688,3.053087147,4.835605797
Oct-66,3.436593482,1.116440191,1.116462106,1.119286495,2.24504917,2.271558704,2.001331468,2.125424517,0.959598558,0.649522473,0.7799774,2.411427693,0.874399663,2.107011743,3.071248502,0.777171665,1.822915412
Nov-66,2.021150509,0.541694007,0.541726694,0.543123209,0.950449106,0.962451285,0.772960923,0.965932952,0.450476311,0.335191003,0.421185731,1.427738444,0.440591804,0.957508463,1.751099919,0.354445845,0.831288802
Dec-66,0.309873882,0.086116763,0.08612497,0.086389401,0.15644993,0.158750602,0.127076455,0.143096541,0.072628051,0.064081353,0.079116595,0.196944391,0.081181676,0.141584364,0.181042943,0.06808029,0.131617267
Jan-67,1.151868045,0.197689707,0.19770346,0.19808791,0.350054979,0.353188056,0.293685805,0.376385962,0.163025532,0.104758158,0.142469613,0.591972994,0.161346698,0.374377181,0.683977174,0.11892341,0.326947714
Feb-67,1.633363824,0.288410001,0.288412649,0.289309436,0.725159007,0.736922941,0.589486972,0.681291484,0.236228275,0.14631976,0.197186174,0.783206878,0.21388413,0.67395545,1.010939151,0.183043497,0.559427997
Mar-67,4.211324682,1.121065009,1.121043048,1.12398595,2.102646022,2.132794584,1.764631172,2.065272768,0.949820655,0.680843047,0.857977068,2.630577521,0.799307474,2.045230885,3.239071818,0.766304903,1.789278692
Apr-67,5.709661573,1.590462232,1.590377082,1.594822865,3.893229965,3.952708134,2.922348952,3.629788385,1.29303486,0.844096134,1.07171788,3.754341636,0.955175042,3.590075038,6.756241855,0.98340054,2.981877221
May-67,3.344379302,1.203504128,1.203387885,1.207936077,2.337714931,2.386373802,1.915923563,2.310433146,1.130871494,1.317616813,1.44261421,2.781801014,1.216385952,2.276141053,3.288520219,1.259601176,1.941654867
Jun-67,3.481306898,1.566992182,1.56683623,1.572354429,2.586161435,2.637950588,2.36740564,2.710657,1.550989798,1.96004362,2.071645472,3.244884871,2.09611284,2.672520217,3.284338408,1.875742857,2.279951643
Jul-67,3.220785273,2.926842039,2.926552161,2.93727426,3.085239351,3.149283312,2.661194668,3.207548663,2.89693399,2.625541294,2.785674268,3.133165945,2.444927644,3.16039591,3.454724693,2.682245165,3.135503319
Aug-67,2.259613062,1.275320713,1.275199325,1.280755309,1.883523988,1.93011308,1.653519269,2.115122485,1.208512836,1.725655129,1.829830468,2.352633194,1.652811568,2.077973949,2.644073731,1.592030516,1.794268059
Sep-67,2.407561175,1.315671956,1.315619628,1.320195997,2.06313312,2.100958012,2.008188179,2.009838223,1.234366675,1.09116453,1.222852377,1.737307915,1.115368129,1.983240999,1.761812027,1.181966759,1.852480323
Oct-67,7.21079875,4.365275592,4.365430337,4.370828896,6.382663215,6.410653216,6.516895282,6.03916808,3.823382082,2.024265994,2.47726286,5.378845579,2.573753139,6.018580493,7.070369805,2.750976401,5.918961856
