date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
1/1/66,11.69220513,20.60620635,20.60742061,20.66738435,16.26474195,16.43125776,17.58957026,17.87621556,20.14102204,20.5457217,21.81682642,15.34549009,18.3519299,17.76246066,14.32308668,20.84006695,19.10218194
2/1/66,17.47639795,26.59504684,26.59483311,26.69943832,22.5040573,22.79969134,23.60092082,23.69511567,26.15067508,25.46807451,27.29014716,21.58649924,23.69283997,23.48101451,19.0704739,26.37208052,25.35021946
3/1/66,9.655988582,34.02102595,34.02065614,34.05835765,23.49704505,23.56283418,28.01510914,22.70976116,37.229237,40.56704705,37.14084869,13.22157044,32.74055765,22.66978133,11.02034614,40.27933784,26.07833462
4/1/66,32.27361417,51.52013928,51.5187495,51.58875675,29.99028046,30.05979636,34.81621875,32.77062999,56.63040651,68.91990904,65.76366983,35.19909803,62.29959837,32.70274871,30.12860791,65.49654781,35.953262
5/1/66,35.48526389,73.57415764,73.57207577,73.65445392,44.93385748,45.01927952,53.42603131,45.45511697,77.36340327,65.51337564,62.14408681,42.80147295,63.45988964,45.38750478,44.8691025,68.27026427,53.60789391
6/1/66,29.91831799,60.97382639,60.97293637,61.00412654,41.12807197,41.16626537,45.69136089,38.08830169,58.2217408,40.61799335,39.62557642,30.47262751,36.5723485,38.06646967,32.45436908,46.59547699,45.51647708
7/1/66,39.43378815,47.75554643,47.7551676,47.76913642,40.7181283,40.75646914,48.72117407,41.74799145,47.12456277,59.01291395,57.26479497,41.89521228,56.79650296,41.71631598,35.33588821,55.0222157,42.70527309
8/1/66,35.01956198,58.05927644,58.05849978,58.0957291,40.92335432,40.97917564,47.58492586,38.21582568,59.75370583,49.94136394,48.22128759,35.38429227,50.5099387,38.18254819,29.79078833,51.07402508,44.36878756
9/1/66,21.53450388,27.93299873,27.93291783,27.94014752,20.016578,20.02445048,21.04628136,21.94358974,28.71134281,34.35429682,33.59281752,28.06416015,39.43575827,21.93434863,25.20014213,31.99022024,22.37155535
10/1/66,23.26683219,49.61366173,49.61411417,49.67231013,33.23715725,33.31201615,35.4059987,34.42974093,52.97448255,58.56983743,57.53982858,30.28596177,51.9093558,34.366201,25.10000795,56.26223843,38.3208391
11/1/66,22.3131954,37.73996295,37.74174989,37.81802657,33.50495933,33.73111178,35.18349558,33.6120384,37.65286782,37.47140685,38.12087426,26.61049083,34.92166294,33.45532315,23.8188028,37.86968281,35.4644115
