date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
Jan-66,25.28038395,23.75103024,23.75276811,23.83868608,23.13536715,23.58988019,23.33068992,25.61064696,22.53105662,21.79382203,23.62303046,23.32492127,20.08319884,25.30046343,22.51714,22.41848249,25.89114254
Feb-66,32.28686328,29.71019149,29.70991387,29.84591867,31.52308052,32.29732612,30.65560993,33.11498721,28.57203261,26.95139377,29.41375982,31.76211222,25.67123226,32.57279439,31.7056774,28.21914255,33.10130648
Mar-66,70.22015724,66.10694052,66.10454644,66.34950083,67.9005313,69.33045022,68.55882142,69.62910602,64.59801138,63.89855821,67.42538468,67.47403598,59.71084551,68.6265572,68.3619475,65.11116894,69.28812644
Apr-66,100.935303,93.74094474,93.73346252,94.11174443,97.65526403,99.91213046,96.48465937,98.19734595,92.44453006,90.37173025,94.70811903,93.93330457,84.90736466,96.6219851,96.37696236,91.96111307,98.05935279
May-66,143.7291091,136.393964,136.3821541,136.850938,144.8931953,147.556215,142.4757224,144.1174201,134.5689233,131.3742123,135.9453005,134.5560499,124.0393125,142.2189648,137.2150567,134.1075583,143.2809761
Jun-66,164.3630962,154.0341235,154.0217696,154.4561722,162.728265,165.2041989,160.7985334,161.653494,152.6578408,147.5123934,152.6638921,153.6407356,144.4421332,159.8849293,156.6057908,149.9792904,160.9049751
Jul-66,168.8447905,162.2387401,162.2249964,162.7342244,168.1187282,171.0581008,167.7791568,168.3930243,160.9629007,157.0915988,161.8942764,163.1710215,153.46216,166.2900916,164.9439579,159.5828534,167.9056297
Aug-66,149.2472424,142.2282404,142.2184143,142.6912851,148.7873498,151.4415898,148.0748784,148.6651354,141.056754,137.1743725,141.7840257,143.1293302,134.1230522,146.7390521,144.502025,139.5394698,148.1271212
Sep-66,110.5276158,104.2796719,104.2755598,104.6452317,110.3384614,112.3393261,109.2866873,109.8384009,103.6866685,99.85346886,103.6665012,104.5214604,97.36248829,108.382663,106.040247,101.8204564,109.3814031
Oct-66,82.40951169,75.63882292,75.64030771,75.83166004,81.45038387,82.41214977,79.25272614,80.76613166,74.86787952,71.51242423,74.5892388,78.68488564,70.39791683,80.06644623,80.31314832,72.83652846,79.95306998
Nov-66,50.32664767,44.03430584,44.03696298,44.15048565,47.14227566,47.73758374,45.45783187,47.6494725,42.46189703,40.75587405,42.56502993,46.90120789,39.24791793,47.23389247,48.26031377,41.41699694,47.10913639
Dec-66,27.50750449,25.12542687,25.12782122,25.20497163,26.48697316,26.87647694,25.87530767,26.70038352,24.28899911,24.61428858,26.04201851,23.39108537,22.03189517,26.41822654,22.86753408,24.99431682,26.33924757
Jan-67,35.51209182,31.266604,31.26877916,31.32958387,32.7091372,33.00189195,31.38032832,34.96625583,29.576092,28.21765737,30.57825294,32.87818007,26.29144445,34.77964009,32.22216467,28.83298086,34.66953554
Feb-67,44.18249144,37.42696587,37.4273094,37.54368547,39.76046836,40.40548486,39.14193491,41.42933511,36.18780949,34.92652681,37.62312204,41.65877386,33.00659895,40.98323093,41.85288084,36.0632297,40.96691222
Mar-67,85.78468377,75.55978163,75.55830143,75.75665303,78.57588183,79.7025336,78.10257569,80.27715247,72.72776754,70.81448531,75.15879112,77.12853291,66.34252036,79.49812449,78.35314729,72.36983508,79.74815129
Apr-67,115.1067773,104.01623,104.0106612,104.3014153,110.2562726,111.9406943,107.5132179,109.1477367,102.0204505,99.11376805,104.1816951,100.6163559,92.47049584,107.9535564,102.6948762,101.0050695,109.0770687
May-67,137.01922,123.8285397,123.8165795,124.284543,132.8757167,135.6414869,129.4781144,131.602272,121.8400948,118.4273992,124.1369527,123.7066911,111.6520666,129.6489944,127.4301585,120.6823887,131.1782028
Jun-67,152.7945598,141.9381518,141.9240257,142.4238642,149.4025461,152.3944055,147.7971341,149.2216678,140.318047,135.8506233,140.7061605,143.488809,132.5791371,147.1222379,146.0216856,137.9421297,148.6528471
Jul-67,161.8122521,154.8006754,154.7853438,155.3524356,160.5558558,163.8887036,160.3635907,161.2434713,153.1609,149.6821092,154.4099247,156.4389757,145.7176876,158.8731024,159.0555249,152.4588152,160.8826753
Aug-67,136.8195709,131.6641104,131.6515783,132.2251781,136.5931596,139.9718006,136.8617899,137.2291468,130.8819401,127.5604271,132.1320581,132.0297749,124.7046328,134.8189498,134.2131826,130.2121759,137.1717931
Sep-67,109.6884871,102.5697857,102.5657062,102.9224799,108.3763828,110.3633244,107.0765937,107.9283126,101.7241577,98.56489199,102.2671443,103.2308363,96.2005011,106.5000417,105.4268317,100.1480435,107.2771355
Oct-67,99.72534672,88.92066381,88.92381596,89.03378461,95.16550853,95.58283945,92.4095751,94.51298045,87.63191732,83.42000162,87.34828843,90.90249029,82.59173823,94.19078472,93.04606663,84.92264149,93.81554542
Nov-67,59.80750718,51.61556445,51.61840808,51.69553933,58.17055803,58.4399693,54.02424183,57.20388712,49.62156371,46.96897927,49.30061037,56.03881996,44.91615353,56.98861598,57.90965198,47.77213697,56.3033256
