date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
Dec-66,-0.775287459,-0.450090714,-0.450194143,-0.450502463,-0.822426875,-0.816468569,-0.550488763,-0.658780077,-0.391920546,-0.561131,-0.654031726,-0.650767316,-0.375696739,-0.654663526,-0.46328697,-0.524845257,-0.6400114
Jan-67,-0.688593304,0.070246737,0.070131416,0.070544563,-0.279512247,-0.28182289,-0.003124042,-0.15665163,0.135640337,0.080063459,-0.049578924,-0.399551622,0.036402008,-0.166783344,-0.290547442,0.131508266,-0.125744742
Feb-67,-0.735764162,0.305793614,0.305681477,0.306236232,-0.152584868,-0.148977685,0.131583227,-0.016318104,0.381210535,0.449771237,0.285054516,-0.272498771,0.299128692,-0.020342682,-0.212787103,0.429082224,0.054475885
Mar-67,-0.797992179,0.391424068,0.391304367,0.392094472,-0.14328211,-0.137566531,0.152648948,0.022329219,0.476074628,0.599621094,0.423605001,-0.226332485,0.448093729,0.007761512,-0.191654813,0.557276235,0.08887843
Apr-67,-1.103664945,0.358287556,0.358160169,0.359334323,-0.265970285,-0.247413829,0.076384755,-0.109074146,0.454721308,0.587214987,0.396154655,-0.383499111,0.421352384,-0.117391526,-0.416087138,0.549687721,-0.002540937
May-67,-0.937187059,0.474256725,0.474131645,0.475309261,-0.089787846,-0.071093286,0.240031831,0.068515948,0.545297455,0.651048452,0.487513834,-0.291632206,0.53704164,0.040530844,-0.399715159,0.632217838,0.155354164
Jun-67,-0.655940929,0.631542175,0.631423565,0.632341173,0.133303036,0.147631738,0.428152308,0.281666826,0.69400609,0.771385519,0.627082737,-0.068719289,0.667474243,0.184938707,-0.177010018,0.759378215,0.353269617
Jul-67,-0.487917314,0.669824716,0.669712954,0.670389296,0.274298932,0.277402165,0.546038082,0.38750338,0.739322175,0.776467248,0.637009732,0.044581986,0.69237036,0.253242999,-0.027350186,0.778584073,0.44969761
Aug-67,-0.096579812,0.859952178,0.859852467,0.860151259,0.595019379,0.592079967,0.833514635,0.651248671,0.91054171,0.854134155,0.73917544,0.328679465,0.808087592,0.435478522,0.253712182,0.87668849,0.705435655
