,Site,Lon,Lat,Elev_m,Date_mo,Precip_mm_mo,Tmin_oC,Ta_oC,Tmax_oC,Td_oC,VPDmin_hPa,VPDmax_hPa
-9999,N/A,decimal_degrees,decimal_degrees,Meters,YYYY-MM,mm,degrees_Celcium,degrees_Celcium,degrees_Celcium,degrees_Celcium,hPa,hPa
1,Almont,-106.8591,38.6537,2739,1966-01,13.22,-16.9,-10,-3.1,-16.9,0.36,3.14
2,Almont,-106.8591,38.6537,2739,1966-02,21.05,-16.5,-9.2,-2,-16,0.27,3.46
3,Almont,-106.8591,38.6537,2739,1966-03,9.69,-11.3,-2.6,6,-12.8,0.47,7.27
4,Almont,-106.8591,38.6537,2739,1966-04,33.72,-5.5,2.5,10.4,-9.7,1.14,10.17
5,Almont,-106.8591,38.6537,2739,1966-05,36.2,-0.4,8.5,17.4,-5.5,1.55,16.26
6,Almont,-106.8591,38.6537,2739,1966-06,30.15,3.6,12.1,20.7,-2.1,2.29,19.76
7,Almont,-106.8591,38.6537,2739,1966-07,40.1,8,16.8,25.7,4,1.98,25.49
8,Almont,-106.8591,38.6537,2739,1966-08,35.62,5.5,14.7,23.9,2.7,1.45,23.15
9,Almont,-106.8591,38.6537,2739,1966-09,21.74,2,11.2,20.4,0.8,0.7,18.35
10,Almont,-106.8591,38.6537,2739,1966-10,23.98,-3.3,5.1,13.6,-7.3,1.27,12.49
11,Almont,-106.8591,38.6537,2739,1966-11,24.9,-6.9,0.3,7.5,-9,0.71,7.47
12,Almont,-106.8591,38.6537,2739,1966-12,88.77,-13.4,-7.1,-0.9,-13.9,0.41,3.62
13,Almont,-106.8591,38.6537,2739,1967-01,30.83,-13.1,-6.7,-0.2,-13.7,0.39,3.8
14,Almont,-106.8591,38.6537,2739,1967-02,27.05,-12.9,-5.6,1.7,-14.7,0.53,4.98
15,Almont,-106.8591,38.6537,2739,1967-03,20.37,-7.1,0.3,7.7,-11.1,1.03,8.24
16,Almont,-106.8591,38.6537,2739,1967-04,20.16,-5.2,2.6,10.4,-10.4,1.31,10.28
17,Almont,-106.8591,38.6537,2739,1967-05,40.97,-1.4,6.2,13.8,-5.2,1.3,12.19
18,Almont,-106.8591,38.6537,2739,1967-06,43.89,3.1,11,18.8,0.5,1.26,15.83
19,Almont,-106.8591,38.6537,2739,1967-07,50.24,7.5,15.7,24,4.6,1.64,22
20,Almont,-106.8591,38.6537,2739,1967-08,60.55,5.5,13.7,21.9,3.7,1.24,19.44
21,Almont,-106.8591,38.6537,2739,1967-09,45.56,2.6,10.7,18.7,0.8,0.97,15.55
22,Almont,-106.8591,38.6537,2739,1967-10,13.83,-2.8,5.9,14.5,-7.6,1.51,13.67
23,Almont,-106.8591,38.6537,2739,1967-11,19.71,-8.1,-0.5,7.2,-10.2,0.7,7.53
24,Almont,-106.8591,38.6537,2739,1967-12,63.78,-14.9,-8.3,-1.7,-15,0.33,3.41
25,Almont,-106.8591,38.6537,2739,1968-01,17.47,-14.6,-8,-1.5,-15.5,0.49,3.64
26,Almont,-106.8591,38.6537,2739,1968-02,43.98,-11.2,-4.7,1.9,-11,0.28,4.31
27,Almont,-106.8591,38.6537,2739,1968-03,15.26,-10.8,-2.8,5.1,-10.4,0.16,6.16
28,Almont,-106.8591,38.6537,2739,1968-04,41.01,-7.2,-0.2,6.8,-8.9,0.55,6.93
29,Almont,-106.8591,38.6537,2739,1968-05,28.06,-1.6,6.1,13.8,-5.4,1.26,12.22
30,Almont,-106.8591,38.6537,2739,1968-06,3.39,2.9,12.6,22.2,-2.6,2.18,22.4
31,Almont,-106.8591,38.6537,2739,1968-07,69.02,6.7,15.1,23.5,2.9,1.9,22.3
32,Almont,-106.8591,38.6537,2739,1968-08,68.66,5.5,13,20.5,4.3,0.69,16.17
33,Almont,-106.8591,38.6537,2739,1968-09,18.4,0.4,9.3,18.1,-3.6,1.54,16.7
34,Almont,-106.8591,38.6537,2739,1968-10,18.48,-2.7,5.7,14,-7.5,1.55,13.02
