Depth,Water Content,geom. Mean T2,Permeability,Hydr. Conductivity
m,%,s,m2,m/s
1.32,34.806,0.00558215,4.51E-11,0.000338381
1.82,34.806,0.00558215,4.51E-11,0.000338381
2.32,71.0419,0.0120223,3.63E-09,0.0272409
2.82,40.0041,0.0130734,4.31E-10,0.00323876
3.32,0,nan,nan,nan
3.82,6.79584,0.00881316,1.63E-13,1.23E-06
4.32,14.7552,0.0140257,9.19E-12,6.90E-05
4.82,6.67148,0.0138618,3.75E-13,2.82E-06
5.32,21.3769,0.00508453,5.32E-12,3.99E-05
5.82,27.3505,0.00355324,6.96E-12,5.23E-05
6.32,10.7837,0.00333601,1.48E-13,1.11E-06
6.82,55.9842,0.00337407,1.10E-10,0.000827476
7.32,0,nan,nan,nan
7.82,0.000697019,3.16228,2.33E-24,1.00E-11
8.32,12.5982,0.236133,1.38E-09,0.0103927
8.82,0.540941,2.89757,7.09E-13,5.32E-06
9.32,0,nan,nan,nan
9.82,0.0302144,0.017527,2.52E-22,1.00E-11
10.32,23.7393,0.0172937,9.36E-11,0.000702804
10.82,3.69414,2.61465,1.25E-09,0.00942032
11.32,3.62308,0.0784927,1.05E-12,7.86E-06
11.82,10.8862,0.00438744,2.66E-13,2.00E-06
12.32,9.9809,0.0408971,1.64E-11,0.000122814
12.82,5.37859,0.133488,1.47E-11,0.000110342
13.32,4.58649,2.5714,2.88E-09,0.0216494
13.82,3.08404,2.10281,3.94E-10,0.00295979
14.32,3.72,0.0204747,7.91E-14,5.94E-07
14.82,0,nan,nan,nan
15.32,0.749968,2.86658,2.56E-12,1.92E-05
15.82,4.59487,0.0581038,1.48E-12,1.11E-05
16.32,18.3482,0.00269201,8.10E-13,6.08E-06
16.82,11.513,0.00177579,5.46E-14,4.10E-07
17.32,15.2186,0.00642356,2.18E-12,1.64E-05
17.82,24.1002,0.00514625,8.81E-12,6.61E-05
18.32,4.30842,0.0263243,2.35E-13,1.77E-06
18.82,2.76535,0.0394469,8.97E-14,6.73E-07
19.32,0,nan,nan,nan
19.82,0.499982,2.98582,5.49E-13,4.12E-06
20.32,1.35301,2.89807,2.77E-11,0.000208261
20.82,2.3798,0.0430499,5.86E-14,4.40E-07
21.32,7.94109,0.00274147,2.95E-14,2.21E-07
21.82,45.6401,0.00229421,2.25E-11,0.000168981
22.32,22.1999,0.00502978,6.06E-12,4.55E-05
22.82,17.1234,0.00386856,1.27E-12,9.52E-06
23.32,0,nan,nan,nan
23.82,0.226141,3.02054,2.35E-14,1.77E-07
24.32,6.49359,0.029681,1.54E-12,1.16E-05
24.82,16.0061,0.00723516,3.39E-12,2.54E-05
25.32,18.5958,0.00462928,2.53E-12,1.90E-05
25.82,17.8123,0.00566563,3.18E-12,2.39E-05
26.32,29.7776,0.00384519,1.15E-11,8.60E-05
26.82,15.395,0.00217363,2.62E-13,1.96E-06
27.32,0.869115,0.0414915,9.68E-16,7.27E-09
27.82,8.51834,0.01203,7.51E-13,5.64E-06
28.32,2.19589,0.00677934,1.05E-15,7.91E-09
28.82,5.36968,0.00791103,5.13E-14,3.85E-07
29.32,0.41179,2.89855,2.38E-13,1.79E-06
29.82,0.129714,3.06426,2.62E-15,1.97E-08
30.32,0.302377,3.03286,7.58E-14,5.69E-07
30.82,0.148965,0.0349242,5.92E-19,1.00E-11
31.32,11.8795,0.00193312,7.34E-14,5.51E-07
31.82,6.76425,0.00688406,9.78E-14,7.34E-07
32.32,18.8006,0.00581431,4.16E-12,3.13E-05
32.82,21.757,0.00641789,9.10E-12,6.83E-05
33.32,9.92931,0.00271257,7.05E-14,5.29E-07
33.82,0,nan,nan,nan
34.32,0,nan,nan,nan
34.82,0,nan,nan,nan
35.32,0.620417,2.81869,1.16E-12,8.71E-06
