16S ID,Percent Relative Abundance,Taxonomy
EU685841.TblThio2,9.84,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
AY532537.Unc75698,6.01,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Ferritrophicum;
AY050584.Unc70114,5.13,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;
AB506456.SfrDenit,3.96,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Sulfuricella;
GWA2_Gallionellales_54_124_curated,3.51,GWA2_Gallionellales_54_124_curated
AF502224.Unc01ni8,3.40,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;
GWA2_OD1_Wildermuthbacteria_46_15_curated,2.43,GWA2_RIF_OD1_07_46_15_curated
GWE2_Planctomycetes_41_14_curated,2.22,"Planctomycetes, Bacteria"
AY631270.NrvSpeci,1.98,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
CP000153.SfmDenit,1.91,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;
RBG_19FT_COMBO_Deltaproteobacteria_56_10_curated,1.78,RBG_19FT_COMBO_Deltaproteobacteria_56_10_curated
AY879297.DntOestr,1.78,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
AB000700.NsmSpeci,1.73,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
AY532547.Unc75699,1.34,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;
AY532538.Unc032o6,1.20,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Ferritrophicum;
AY218555.Unc01fvc,1.20,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;
L40808.SfmDeni5,1.05,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;
RBG_19FT_COMBO_Deltaproteobacteria_58_16_curated,0.90,RBG_19FT_COMBO_Deltaproteobacteria_58_16_curated
AY123789.NspSpe28,0.86,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY171616.Dh0Spec5,0.84,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
GWA2_OD1_Wildermuthbacteria_46_15_curated,0.70,GWA2_RIF_OD1_07_46_15_curated
RIFCSPLOWO2_02_FULL_OD1_Niyogibacteria_45_13_curated,0.65,"RIFCSPLOWO2_01_FULL_OD1_45_48_curated, Parcubacteria, Bacteria"
GWA2_Polynucleobacter_45_21_curated,0.65,GWA2_Polynucleobacter_45_21_curated
AB469786.OxaHorti,0.63,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
L40808.SfmDeni5,0.62,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;
GWA2_OD1_Wildermuthbacteria_46_15_curated,0.61,GWA2_RIF_OD1_07_46_15_curated
DQ521800.Unc00493,0.54,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
GWA2_Polynucleobacter_45_21_curated,0.53,GWA2_Polynucleobacter_45_21_curated
GWB1_OD1_35_20,0.52,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY506539.SpsAgres,0.51,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
BD356900.RccTenu2,0.51,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus;
AB186834.UncB1971,0.48,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
GWA2_OD1_Wildermuthbacteria_46_15_curated,0.48,GWA2_RIF_OD1_07_46_15_curated
AY212654.Unc74358,0.47,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;LD28_freshwater_group;
AJ505858.CndBac13,0.44,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;
GWB1_OD1_35_20,0.39,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AF068805.Unc39091,0.39,Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Nitratifractor;
