"H2O2, nM",,"Depth below the ground surface, m",,"[FeT], nM",,"Depth below the ground, m",,,"DO, uM",,"Depth below the ground, m",,"TOC, uM",,"Depth below the ground, m"
7.677676,1.873449,2.657856,,453.73,12.925,2.657856,,,90.625,,2.657856,,289.5,5.36207,2.657856
13.45515,1.141657,2.703576,,455.86,17.71242,2.703576,,,87.5,,2.703576,,341.75,3.61305,2.703576
15.91775,2.91383,2.855976,,427.62,17.80031,2.855976,,,100,,2.855976,,287.6667,4.42246,2.855976
17.22004,1.361257,3.008376,,444.16,18.0433,3.008376,,,103.125,,3.008376,,289.25,3.50455,3.008376
28.58164,3.807244,3.160776,,542.58,17.93473,3.160776,,,125,,3.160776,,285.5,3.22679,3.160776
27.15388,2.540854,3.465576,,307.23,17.7848,3.465576,,,143.75,,3.465576,,286.9167,3.20943,3.465576
28.93968,1.756072,3.770376,,291.12,17.8882,3.770376,,,114.0625,,3.770376,,290.8333,3.25283,3.770376
32.66264,1.410352,4.075176,,258.28,28.5086,4.075176,,,95.9375,,4.075176,,289.0833,9.10532,4.075176
37.52779,1.675862,4.684776,,376.17,20.92816,4.684776,,,100.625,,4.684776,,286.6667,3.40007,4.684776
36.89665,1.553052,5.294376,,323.94,16.03217,5.294376,,,109.0625,,5.294376,,288.3333,7.21959,5.294376
38.11104,1.243158,5.903976,,326.71,14.54838,5.903976,,,71.5625,,5.903976,,298.3333,4.25214,5.903976
