JB02 Top,,,,,,JB02 Middle,,,,,,JB02 Bottom,,,,
"Time, hr",H2O2,,,Br,,"Time, hr",H2O2,,,Br,,"Time, hr",H2O2,,,Br
3,,,,6.936364,,3.42,,,,41.55455,,5.32,,,,47.28182
19.98,,,,39.18182,,20.05,17.35774,2.463326,,35.87273,,20.92,14.98218,1.700095,,44.05455
26.07,,,,23.97273,,26.4,23.50142,1.644274,,30.14545,,26.78,18.16699,0.888261,,36.98182
44.57,4.736892,1.498176,,21.12727,,44.72,29.10904,2.957002,,25.39091,,45.18,38.76795,4.756024,,38.4
51.38,4.856368,2.7143,,14.70909,,51.58,22.60906,2.363019,,26.19091,,52.33,37.65685,2.901658,,40.37273
68.92,10.62012,0.458507,,15.94545,,69.2,19.77343,0.944972,,20.85455,,69.75,30.17304,3.817597,,54.13636
75.17,5.978072,0.818194,,12.45455,,75.5,11.81728,1.25996,,23.92727,,75.83,15.65826,1.075939,,48.61818
92.65,6.835128,0.083102,,9.518182,,92.87,4.992624,2.559062,,17.7,,93.47,4.012888,3.471253,,47.80909
99.12,,,,7.390909,,99.38,0.467295,1.362342,,15.53636,,99.57,,,,49.68182
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JB05 Top,,,,,,JB05 Middle,,,,,,JB05 Bottom,,,,
"Time, hr",H2O2,,,Br,,"Time, hr",H2O2,,,Br,,"Time, hr",H2O2,,,Br
45.63,40.7934,3.048207,,6.372727,,45.82,43.7042,6.016888,,10.24545,,45.97,58.6816,6.446356,,10.46364
52.67,82.38916,4.940844,,4.927273,,53,85.34016,1.187644,,8.845455,,53.58,79.22688,4.404548,,13.68182
69.95,42.7538,0.955026,,5.045455,,70.17,51.78828,5.423004,,3.818182,,70.52,61.37768,2.745125,,16.93636
76.17,16.37926,1.337376,,3.727273,,76.38,20.56126,7.7632,,4.9,,76.62,44.6416,3.397827,,15.85455
93.65,17.75708,4.43208,,3.009091,,93.87,26.75194,2.271674,,4.309091,,94.38,27.47089,2.954545,,16.04545
99.87,0.986432,0.294072,,3,,100.08,12.16516,3.898904,,5.763636,,100.28,10.80315,2.426212,,14.5
117.68,1.60071,1.432199,,2.836364,,118.05,1.808447,1.613801,,7.472727,,118.52,7.028732,4.075396,,17.12727
