,"SNOTEL website for the Butte station --  the Station ID 06L11S, SNTL Network, Elevation 10,160 ft, Lat = 38.89, Long = -106.95. ",,,,
Date,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
10/1/2014,0,0,0,0,
10/2/2014,0,0,8,1,
10/3/2014,0,0,8,3,
10/4/2014,0,0,8,6,
10/5/2014,0,0,8,8,
10/6/2014,0,0,8,9,
10/7/2014,0,0,8,10,
10/8/2014,0,0,8,13,
10/9/2014,0,0,8,14,
10/10/2014,0,0,13,16,
10/11/2014,0,0,15,17,
10/12/2014,0,0,15,18,
10/13/2014,5,0,28,19,
10/14/2014,3,0,28,21,
10/15/2014,0,0,28,24,
10/16/2014,0,0,28,25,
10/17/2014,0,0,28,27,
10/18/2014,0,0,28,29,
10/19/2014,0,0,28,30,
10/20/2014,0,0,28,32,
10/21/2014,0,0,28,33,
10/22/2014,0,0,30,34,
10/23/2014,0,0,38,35,
10/24/2014,0,0,38,36,
10/25/2014,0,8,38,38,
10/26/2014,0,7,38,40,
10/27/2014,0,8,38,42,
10/28/2014,0,10,41,44,
10/29/2014,0,11,41,46,
10/30/2014,0,12,41,48,
10/31/2014,0,14,41,50,
11/1/2014,0,15,41,52,
11/2/2014,0,17,41,54,
11/3/2014,5,18,48,56,
11/4/2014,8,18,53,59,
11/5/2014,8,19,53,60,
11/6/2014,8,19,53,62,
11/7/2014,8,21,53,63,
11/8/2014,8,22,53,65,
11/9/2014,8,24,53,69,
11/10/2014,8,28,53,72,
11/11/2014,8,31,56,74,
11/12/2014,8,36,56,78,
11/13/2014,8,40,61,81,
11/14/2014,28,44,76,82,
11/15/2014,43,48,91,86,
11/16/2014,64,51,114,87,
11/17/2014,66,53,117,88,
11/18/2014,66,55,117,91,
11/19/2014,66,57,117,93,
11/20/2014,66,58,117,95,
11/21/2014,66,59,117,96,
11/22/2014,66,60,117,98,
11/23/2014,76,61,122,101,
11/24/2014,79,63,130,102,
11/25/2014,84,65,135,105,
11/26/2014,91,68,140,107,
11/27/2014,91,70,140,111,
11/28/2014,91,73,140,113,
11/29/2014,91,77,140,116,
11/30/2014,91,80,140,119,
12/1/2014,91,83,140,121,
12/2/2014,94,86,145,124,
12/3/2014,97,89,145,127,
12/4/2014,99,91,147,128,
12/5/2014,99,93,147,129,
12/6/2014,99,96,147,131,
12/7/2014,99,97,147,135,
12/8/2014,99,98,147,139,
12/9/2014,102,99,147,141,
12/10/2014,102,101,147,142,
12/11/2014,102,103,147,145,
12/12/2014,102,105,147,147,
12/13/2014,102,107,147,149,
12/14/2014,107,108,152,152,
12/15/2014,107,110,152,154,
12/16/2014,109,112,155,156,
12/17/2014,109,113,155,158,
12/18/2014,112,114,157,160,
12/19/2014,114,116,160,162,
12/20/2014,114,118,160,164,
12/21/2014,119,119,163,165,
12/22/2014,135,121,175,167,
12/23/2014,140,122,180,170,
12/24/2014,142,125,183,172,
12/25/2014,145,127,183,174,
12/26/2014,152,130,193,176,
12/27/2014,152,132,196,179,
12/28/2014,152,134,196,181,
12/29/2014,157,137,201,183,
12/30/2014,163,139,203,185,
12/31/2014,165,141,206,188,
1/1/2015,165,142,206,190,
1/2/2015,168,144,208,192,
1/3/2015,168,146,208,193,
1/4/2015,168,149,208,197,
1/5/2015,168,153,208,200,
1/6/2015,168,156,208,205,
1/7/2015,168,160,208,208,
1/8/2015,168,163,208,210,
1/9/2015,168,167,208,213,
1/10/2015,170,169,208,215,
1/11/2015,170,171,208,217,
1/12/2015,173,172,211,220,
1/13/2015,175,173,213,221,
1/14/2015,180,175,218,223,
1/15/2015,180,176,218,224,
1/16/2015,180,177,218,226,
1/17/2015,180,179,218,228,
1/18/2015,180,181,218,230,
1/19/2015,180,181,221,231,
1/20/2015,183,182,221,233,
1/21/2015,183,183,224,234,
1/22/2015,183,185,224,236,
1/23/2015,183,187,224,238,
1/24/2015,183,188,224,240,
1/25/2015,183,191,224,243,
1/26/2015,183,195,224,246,
1/27/2015,183,198,224,248,
1/28/2015,185,201,224,250,
1/29/2015,185,204,224,252,
1/30/2015,185,207,224,253,
1/31/2015,196,210,231,256,
2/1/2015,196,212,234,258,
2/2/2015,198,214,236,260,
2/3/2015,198,215,236,261,
2/4/2015,201,216,239,264,
2/5/2015,206,218,241,266,
2/6/2015,206,221,244,267,
2/7/2015,206,223,244,268,
2/8/2015,206,226,244,271,
2/9/2015,203,229,244,275,
2/10/2015,203,232,244,278,
2/11/2015,203,236,244,280,
2/12/2015,203,240,244,283,
2/13/2015,203,243,244,286,
2/14/2015,203,246,244,290,
2/15/2015,203,248,244,294,
2/16/2015,203,251,244,296,
2/17/2015,203,253,244,298,
2/18/2015,203,256,244,302,
2/19/2015,203,259,244,305,
2/20/2015,206,262,244,309,
2/21/2015,206,265,244,313,
2/22/2015,206,267,246,316,
2/23/2015,226,270,264,317,
2/24/2015,231,272,272,320,
2/25/2015,231,274,272,322,
2/26/2015,234,275,274,325,
2/27/2015,236,276,277,326,
2/28/2015,239,276,279,328,
3/1/2015,249,279,287,330,
3/2/2015,262,280,300,332,
3/3/2015,269,280,305,335,
3/4/2015,277,282,312,337,
3/5/2015,277,284,315,339,
3/6/2015,277,286,315,342,
3/7/2015,277,288,315,344,
3/8/2015,277,290,315,345,
3/9/2015,277,292,315,348,
3/10/2015,277,295,315,350,
3/11/2015,277,297,315,353,
3/12/2015,277,298,315,357,
3/13/2015,277,300,315,359,
3/14/2015,277,301,315,360,
3/15/2015,277,303,315,362,
3/16/2015,277,304,315,363,
3/17/2015,277,306,315,364,
3/18/2015,277,308,315,366,
3/19/2015,279,310,318,367,
3/20/2015,279,313,318,370,
3/21/2015,279,317,318,372,
3/22/2015,279,320,318,374,
3/23/2015,279,323,318,375,
3/24/2015,282,326,323,377,
3/25/2015,287,327,323,379,
3/26/2015,292,328,328,381,
3/27/2015,292,329,328,384,
3/28/2015,287,329,328,387,
3/29/2015,287,330,328,390,
3/30/2015,287,333,328,392,
3/31/2015,284,335,328,396,
4/1/2015,282,339,328,399,
4/2/2015,282,343,328,402,
4/3/2015,284,347,330,405,
4/4/2015,284,349,330,408,
4/5/2015,284,351,330,409,
4/6/2015,277,352,330,411,
4/7/2015,269,352,330,413,
4/8/2015,262,350,330,415,
4/9/2015,251,348,330,417,
4/10/2015,249,347,330,419,
4/11/2015,246,346,330,421,
4/12/2015,239,346,330,424,
4/13/2015,234,346,330,425,
4/14/2015,224,347,330,426,
4/15/2015,208,346,330,427,
4/16/2015,201,344,330,428,
4/17/2015,206,340,338,430,
4/18/2015,229,335,363,432,
4/19/2015,234,329,366,435,
4/20/2015,234,322,366,436,
4/21/2015,234,315,366,437,
4/22/2015,231,309,366,440,
4/23/2015,226,303,366,442,
4/24/2015,226,298,366,444,
4/25/2015,226,292,368,447,
4/26/2015,231,287,371,449,
4/27/2015,231,283,373,451,
4/28/2015,234,277,373,453,
4/29/2015,229,271,373,454,
4/30/2015,206,266,373,457,
5/1/2015,183,260,373,460,
5/2/2015,165,255,373,463,
5/3/2015,147,250,373,465,
5/4/2015,140,243,376,468,
5/5/2015,132,237,378,470,
5/6/2015,135,230,391,471,
5/7/2015,137,222,401,473,
5/8/2015,127,212,401,475,
5/9/2015,122,198,411,478,
5/10/2015,130,182,417,479,
5/11/2015,132,165,419,480,
5/12/2015,119,148,419,481,
5/13/2015,109,132,419,483,
5/14/2015,91,115,419,485,
5/15/2015,81,98,422,486,
5/16/2015,89,80,432,488,
5/17/2015,94,64,437,490,
5/18/2015,94,49,439,491,
5/19/2015,81,32,442,492,
5/20/2015,91,11,455,492,
5/21/2015,84,3,455,493,
5/22/2015,71,0,455,494,
5/23/2015,56,0,460,495,
5/24/2015,51,0,462,496,
5/25/2015,53,0,472,496,
5/26/2015,48,0,475,497,
5/27/2015,41,0,475,498,
5/28/2015,28,0,478,499,
5/29/2015,13,0,478,500,
5/30/2015,0,0,478,502,
5/31/2015,0,0,478,503,
6/1/2015,0,0,478,504,
6/2/2015,0,0,478,505,
6/3/2015,0,0,478,506,
6/4/2015,0,0,478,506,
6/5/2015,0,0,478,506,
6/6/2015,0,0,485,507,
6/7/2015,0,0,488,508,
6/8/2015,0,0,488,509,
6/9/2015,0,0,488,511,
6/10/2015,0,0,488,512,
6/11/2015,0,0,490,513,
6/12/2015,0,0,505,514,
6/13/2015,0,0,505,515,
6/14/2015,0,0,505,516,
6/15/2015,0,0,505,517,
6/16/2015,0,0,505,517,
6/17/2015,0,0,505,518,
6/18/2015,0,0,505,518,
6/19/2015,0,0,505,519,
6/20/2015,0,0,505,519,
6/21/2015,0,0,505,520,
6/22/2015,0,0,505,520,
6/23/2015,0,0,505,521,
6/24/2015,0,0,505,521,
6/25/2015,0,0,508,522,
6/26/2015,0,0,508,522,
6/27/2015,0,0,508,523,
6/28/2015,0,0,508,524,
6/29/2015,0,0,508,526,
6/30/2015,0,0,508,527,
7/1/2015,0,0,508,528,
7/2/2015,0,0,511,529,
7/3/2015,0,0,511,530,
7/4/2015,0,0,518,531,
7/5/2015,0,0,518,532,
7/6/2015,0,0,523,534,
7/7/2015,0,0,526,534,
7/8/2015,0,0,541,535,
7/9/2015,0,0,549,539,
7/10/2015,0,0,549,541,
7/11/2015,0,0,549,543,
7/12/2015,0,0,549,544,
7/13/2015,0,0,551,546,
7/14/2015,0,0,551,547,
7/15/2015,0,0,556,547,
7/16/2015,0,0,556,549,
7/17/2015,0,0,556,552,
7/18/2015,0,0,556,552,
7/19/2015,0,0,559,553,
7/20/2015,0,0,559,555,
7/21/2015,0,0,572,556,
7/22/2015,0,0,572,558,
7/23/2015,0,0,572,559,
7/24/2015,0,0,572,563,
7/25/2015,0,0,584,566,
7/26/2015,0,0,584,569,
7/27/2015,0,0,584,571,
7/28/2015,0,0,584,573,
7/29/2015,0,0,584,574,
7/30/2015,0,0,584,576,
7/31/2015,0,0,584,576,
8/1/2015,0,0,584,579,
8/2/2015,0,0,584,581,
8/3/2015,0,0,597,582,
8/4/2015,0,0,599,583,
8/5/2015,0,0,599,585,
8/6/2015,0,0,599,586,
8/7/2015,0,0,599,589,
8/8/2015,0,0,607,590,
8/9/2015,0,0,607,591,
8/10/2015,0,0,607,592,
8/11/2015,0,0,607,593,
8/12/2015,0,0,615,595,
8/13/2015,0,0,617,597,
8/14/2015,0,0,617,598,
8/15/2015,0,0,617,601,
8/16/2015,0,0,617,602,
8/17/2015,0,0,617,604,
8/18/2015,0,0,622,605,
8/19/2015,0,0,622,605,
8/20/2015,0,0,622,607,
8/21/2015,0,0,622,609,
8/22/2015,0,0,622,611,
8/23/2015,0,0,622,614,
8/24/2015,0,0,622,615,
8/25/2015,0,0,622,617,
8/26/2015,0,0,625,618,
8/27/2015,0,0,630,621,
8/28/2015,0,0,643,621,
8/29/2015,0,0,643,622,
8/30/2015,0,0,643,623,
8/31/2015,0,0,645,623,
9/1/2015,0,0,648,624,
9/2/2015,0,0,650,626,
9/3/2015,0,0,650,626,
9/4/2015,0,0,665,626,
9/5/2015,0,0,678,627,
9/6/2015,0,0,678,628,
9/7/2015,0,0,678,629,
9/8/2015,0,0,681,632,
9/9/2015,0,0,681,633,
9/10/2015,0,0,681,637,
9/11/2015,0,0,681,639,
9/12/2015,0,0,681,641,
9/13/2015,0,0,681,644,
9/14/2015,0,0,681,646,
9/15/2015,0,0,686,648,
9/16/2015,0,0,693,649,
9/17/2015,0,0,693,651,
9/18/2015,0,0,693,653,
9/19/2015,0,0,693,654,
