Date,DOY,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values
10/1/2014,10/1,0,0,0,0
10/2/2014,10/2,0,0,8,1
10/3/2014,10/3,0,0,8,3
10/4/2014,10/4,0,0,8,6
10/5/2014,10/5,0,0,8,8
10/6/2014,10/6,0,0,8,9
10/7/2014,10/7,0,0,8,10
10/8/2014,10/8,0,0,8,13
10/9/2014,10/9,0,0,8,14
10/10/2014,10/10,0,0,13,16
10/11/2014,10/11,0,0,15,17
10/12/2014,10/12,0,0,15,18
10/13/2014,10/13,5,0,28,19
10/14/2014,10/14,3,0,28,21
10/15/2014,10/15,0,0,28,24
10/16/2014,10/16,0,0,28,25
10/17/2014,10/17,0,0,28,27
10/18/2014,10/18,0,0,28,29
10/19/2014,10/19,0,0,28,30
10/20/2014,10/20,0,0,28,32
10/21/2014,10/21,0,0,28,33
10/22/2014,10/22,0,0,30,34
10/23/2014,10/23,0,0,38,35
10/24/2014,10/24,0,0,38,36
10/25/2014,10/25,0,8,38,38
10/26/2014,10/26,0,7,38,40
10/27/2014,10/27,0,8,38,42
10/28/2014,10/28,0,10,41,44
10/29/2014,10/29,0,11,41,46
10/30/2014,10/30,0,12,41,48
10/31/2014,10/31,0,14,41,50
11/1/2014,11/1,0,15,41,52
11/2/2014,11/2,0,17,41,54
11/3/2014,11/3,5,18,48,56
11/4/2014,11/4,8,18,53,59
11/5/2014,11/5,8,19,53,60
11/6/2014,11/6,8,19,53,62
11/7/2014,11/7,8,21,53,63
11/8/2014,11/8,8,22,53,65
11/9/2014,11/9,8,24,53,69
11/10/2014,11/10,8,28,53,72
11/11/2014,11/11,8,31,56,74
11/12/2014,11/12,8,36,56,78
11/13/2014,11/13,8,40,61,81
11/14/2014,11/14,28,44,76,82
11/15/2014,11/15,43,48,91,86
11/16/2014,11/16,64,51,114,87
11/17/2014,11/17,66,53,117,88
11/18/2014,11/18,66,55,117,91
11/19/2014,11/19,66,57,117,93
11/20/2014,11/20,66,58,117,95
11/21/2014,11/21,66,59,117,96
11/22/2014,11/22,66,60,117,98
11/23/2014,11/23,76,61,122,101
11/24/2014,11/24,79,63,130,102
11/25/2014,11/25,84,65,135,105
11/26/2014,11/26,91,68,140,107
11/27/2014,11/27,91,70,140,111
11/28/2014,11/28,91,73,140,113
11/29/2014,11/29,91,77,140,116
11/30/2014,11/30,91,80,140,119
12/1/2014,12/1,91,83,140,121
12/2/2014,12/2,94,86,145,124
12/3/2014,12/3,97,89,145,127
12/4/2014,12/4,99,91,147,128
12/5/2014,12/5,99,93,147,129
12/6/2014,12/6,99,96,147,131
12/7/2014,12/7,99,97,147,135
12/8/2014,12/8,99,98,147,139
12/9/2014,12/9,102,99,147,141
12/10/2014,12/10,102,101,147,142
12/11/2014,12/11,102,103,147,145
12/12/2014,12/12,102,105,147,147
12/13/2014,12/13,102,107,147,149
12/14/2014,12/14,107,108,152,152
12/15/2014,12/15,107,110,152,154
12/16/2014,12/16,109,112,155,156
12/17/2014,12/17,109,113,155,158
12/18/2014,12/18,112,114,157,160
12/19/2014,12/19,114,116,160,162
12/20/2014,12/20,114,118,160,164
12/21/2014,12/21,119,119,163,165
12/22/2014,12/22,135,121,175,167
12/23/2014,12/23,140,122,180,170
12/24/2014,12/24,142,125,183,172
12/25/2014,12/25,145,127,183,174
12/26/2014,12/26,152,130,193,176
12/27/2014,12/27,152,132,196,179
12/28/2014,12/28,152,134,196,181
12/29/2014,12/29,157,137,201,183
12/30/2014,12/30,163,139,203,185
12/31/2014,12/31,165,141,206,188
1/1/2015,1/1,165,142,206,190
1/2/2015,1/2,168,144,208,192
1/3/2015,1/3,168,146,208,193
1/4/2015,1/4,168,149,208,197
1/5/2015,1/5,168,153,208,200
1/6/2015,1/6,168,156,208,205
1/7/2015,1/7,168,160,208,208
1/8/2015,1/8,168,163,208,210
1/9/2015,1/9,168,167,208,213
1/10/2015,1/10,170,169,208,215
1/11/2015,1/11,170,171,208,217
1/12/2015,1/12,173,172,211,220
1/13/2015,1/13,175,173,213,221
1/14/2015,1/14,180,175,218,223
1/15/2015,1/15,180,176,218,224
1/16/2015,1/16,180,177,218,226
1/17/2015,1/17,180,179,218,228
1/18/2015,1/18,180,181,218,230
1/19/2015,1/19,180,181,221,231
1/20/2015,1/20,183,182,221,233
1/21/2015,1/21,183,183,224,234
1/22/2015,1/22,183,185,224,236
1/23/2015,1/23,183,187,224,238
1/24/2015,1/24,183,188,224,240
1/25/2015,1/25,183,191,224,243
1/26/2015,1/26,183,195,224,246
1/27/2015,1/27,183,198,224,248
1/28/2015,1/28,185,201,224,250
1/29/2015,1/29,185,204,224,252
1/30/2015,1/30,185,207,224,253
1/31/2015,1/31,196,210,231,256
2/1/2015,2/1,196,212,234,258
