Date,DOY,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
10/1/2015,10/1,0,0,0,0,***
10/2/2015,10/2,0,0,0,1,
10/3/2015,10/3,0,0,3,3,
10/4/2015,10/4,0,0,3,6,
10/5/2015,10/5,0,0,3,8,
10/6/2015,10/6,0,0,8,9,
10/7/2015,10/7,0,0,10,10,
10/8/2015,10/8,0,0,10,13,
10/9/2015,10/9,0,0,10,14,
10/10/2015,10/10,0,0,10,16,
10/11/2015,10/11,0,0,10,17,
10/12/2015,10/12,0,0,10,18,
10/13/2015,10/13,0,0,10,19,
10/14/2015,10/14,0,0,10,21,
10/15/2015,10/15,0,0,10,24,
10/16/2015,10/16,0,0,10,25,
10/17/2015,10/17,0,0,10,27,
10/18/2015,10/18,0,0,10,29,
10/19/2015,10/19,0,0,13,30,
10/20/2015,10/20,0,0,20,32,
10/21/2015,10/21,0,0,23,33,
10/22/2015,10/22,0,0,23,34,
10/23/2015,10/23,10,0,38,35,
10/24/2015,10/24,10,0,38,36,
10/25/2015,10/25,10,8,38,38,
10/26/2015,10/26,10,7,38,40,
10/27/2015,10/27,8,8,41,42,
10/28/2015,10/28,8,10,46,44,
10/29/2015,10/29,8,11,46,46,
10/30/2015,10/30,8,12,46,48,
10/31/2015,10/31,8,14,46,50,
11/1/2015,11/1,8,15,46,52,
11/2/2015,11/2,8,17,46,54,
11/3/2015,11/3,8,18,46,56,
11/4/2015,11/4,8,18,46,59,
11/5/2015,11/5,18,19,58,60,
11/6/2015,11/6,18,19,61,62,
11/7/2015,11/7,18,21,66,63,
11/8/2015,11/8,28,22,66,65,
11/9/2015,11/9,30,24,66,69,
11/10/2015,11/10,30,28,66,72,
11/11/2015,11/11,33,31,74,74,
11/12/2015,11/12,33,36,76,78,
11/13/2015,11/13,36,40,76,81,
11/14/2015,11/14,36,44,76,82,
11/15/2015,11/15,36,48,76,86,
11/16/2015,11/16,38,51,76,87,
11/17/2015,11/17,48,53,91,88,
11/18/2015,11/18,48,55,91,91,
11/19/2015,11/19,51,57,91,93,
11/20/2015,11/20,51,58,91,95,
11/21/2015,11/21,51,59,97,96,
11/22/2015,11/22,56,60,97,98,
11/23/2015,11/23,61,61,97,101,
11/24/2015,11/24,61,63,97,102,
11/25/2015,11/25,61,65,97,105,
11/26/2015,11/26,61,68,97,107,
11/27/2015,11/27,61,70,97,111,
11/28/2015,11/28,61,73,102,113,
11/29/2015,11/29,61,77,102,116,
11/30/2015,11/30,61,80,102,119,
12/1/2015,12/1,64,83,104,121,
12/2/2015,12/2,64,86,104,124,
12/3/2015,12/3,64,89,104,127,
12/4/2015,12/4,61,91,104,128,
12/5/2015,12/5,61,93,104,129,
12/6/2015,12/6,64,96,107,131,
12/7/2015,12/7,64,97,107,135,
12/8/2015,12/8,64,98,107,139,
12/9/2015,12/9,64,99,107,141,
12/10/2015,12/10,66,101,107,142,
12/11/2015,12/11,66,103,107,145,
12/12/2015,12/12,66,105,107,147,
12/13/2015,12/13,74,107,114,149,
12/14/2015,12/14,74,108,114,152,
12/15/2015,12/15,74,110,117,154,
12/16/2015,12/16,74,112,119,156,
12/17/2015,12/17,74,113,119,158,
12/18/2015,12/18,74,114,119,160,
12/19/2015,12/19,74,116,119,162,
12/20/2015,12/20,74,118,119,164,
12/21/2015,12/21,79,119,124,165,
12/22/2015,12/22,94,121,137,167,
12/23/2015,12/23,119,122,160,170,
12/24/2015,12/24,124,125,165,172,
12/25/2015,12/25,130,127,170,174,
12/26/2015,12/26,140,130,180,176,
12/27/2015,12/27,140,132,180,179,
12/28/2015,12/28,142,134,180,181,
12/29/2015,12/29,142,137,180,183,
12/30/2015,12/30,142,139,183,185,
12/31/2015,12/31,145,141,185,188,
1/1/2016,1/1,147,142,188,190,
1/2/2016,1/2,150,144,188,192,
1/3/2016,1/3,150,146,188,193,
1/4/2016,1/4,150,149,188,197,
1/5/2016,1/5,150,153,188,200,
1/6/2016,1/6,150,156,188,205,
1/7/2016,1/7,155,160,190,208,
1/8/2016,1/8,155,163,196,210,
1/9/2016,1/9,155,167,196,213,
1/10/2016,1/10,155,169,196,215,
1/11/2016,1/11,155,171,196,217,
1/12/2016,1/12,155,172,196,220,
1/13/2016,1/13,155,173,196,221,
1/14/2016,1/14,155,175,196,223,
1/15/2016,1/15,157,176,198,224,
1/16/2016,1/16,160,177,201,226,
1/17/2016,1/17,168,179,203,228,
1/18/2016,1/18,170,181,206,230,
1/19/2016,1/19,173,181,208,231,
1/20/2016,1/20,173,182,208,233,
1/21/2016,1/21,183,183,221,234,
1/22/2016,1/22,183,185,221,236,
1/23/2016,1/23,185,187,221,238,
1/24/2016,1/24,185,188,221,240,
1/25/2016,1/25,188,191,224,243,
1/26/2016,1/26,188,195,224,246,
1/27/2016,1/27,188,198,224,248,
1/28/2016,1/28,188,201,224,250,
1/29/2016,1/29,190,204,224,252,
1/30/2016,1/30,190,207,226,253,
1/31/2016,1/31,206,210,236,256,
2/1/2016,2/1,231,212,267,258,
2/2/2016,2/2,246,214,282,260,
2/3/2016,2/3,246,215,282,261,
2/4/2016,2/4,246,216,282,264,
2/5/2016,2/5,249,218,284,266,
2/6/2016,2/6,249,221,284,267,
2/7/2016,2/7,251,223,284,268,
2/8/2016,2/8,251,226,287,271,
2/9/2016,2/9,251,229,287,275,
2/10/2016,2/10,251,232,287,278,
2/11/2016,2/11,251,236,287,280,
2/12/2016,2/12,251,240,287,283,
2/13/2016,2/13,251,243,287,286,
2/14/2016,2/14,251,246,287,290,
2/15/2016,2/15,254,248,287,294,
2/16/2016,2/16,254,251,290,296,
2/17/2016,2/17,254,253,290,298,
2/18/2016,2/18,254,256,290,302,
2/19/2016,2/19,257,259,292,305,
2/20/2016,2/20,257,262,292,309,
2/21/2016,2/21,257,265,292,313,
2/22/2016,2/22,257,267,292,316,
2/23/2016,2/23,257,270,295,317,
2/24/2016,2/24,257,272,295,320,
2/25/2016,2/25,257,274,295,322,
2/26/2016,2/26,257,275,295,325,
2/27/2016,2/27,259,276,295,326,
2/28/2016,2/28,259,276,295,328,
2/29/2016,3/1,259,278,295,329,
3/1/2016,3/1,262,279,295,330,
3/2/2016,3/2,262,280,295,332,
3/3/2016,3/3,262,280,295,335,
3/4/2016,3/4,262,282,295,337,
3/5/2016,3/5,262,284,295,339,
3/6/2016,3/6,262,286,295,342,
3/7/2016,3/7,267,288,302,344,
3/8/2016,3/8,277,290,315,345,
3/9/2016,3/9,277,292,315,348,
3/10/2016,3/10,277,295,315,350,
3/11/2016,3/11,277,297,315,353,
3/12/2016,3/12,274,298,315,357,
3/13/2016,3/13,269,300,315,359,
3/14/2016,3/14,272,301,315,360,
3/15/2016,3/15,277,303,323,362,
3/16/2016,3/16,292,304,335,363,
3/17/2016,3/17,295,306,338,364,
3/18/2016,3/18,295,308,338,366,
3/19/2016,3/19,297,310,338,367,
3/20/2016,3/20,297,313,338,370,
3/21/2016,3/21,300,317,338,372,
3/22/2016,3/22,300,320,338,374,
3/23/2016,3/23,302,323,338,375,
3/24/2016,3/24,307,326,343,377,
3/25/2016,3/25,307,327,343,379,
3/26/2016,3/26,318,328,353,381,
3/27/2016,3/27,318,329,353,384,
3/28/2016,3/28,318,329,353,387,
3/29/2016,3/29,318,330,353,390,
3/30/2016,3/30,325,333,358,392,
3/31/2016,3/31,330,335,361,396,
4/1/2016,4/1,333,339,361,399,
4/2/2016,4/2,333,343,361,402,
4/3/2016,4/3,335,347,361,405,
4/4/2016,4/4,335,349,361,408,
4/5/2016,4/5,335,351,361,409,
4/6/2016,4/6,338,352,363,411,
4/7/2016,4/7,338,352,363,413,
4/8/2016,4/8,330,350,363,415,
4/9/2016,4/9,320,348,363,417,
4/10/2016,4/10,323,347,368,419,
4/11/2016,4/11,315,346,368,421,
4/12/2016,4/12,307,346,368,424,
4/13/2016,4/13,297,346,368,425,
4/14/2016,4/14,284,347,368,426,
4/15/2016,4/15,274,346,368,427,
4/16/2016,4/16,284,344,381,428,
4/17/2016,4/17,292,340,389,430,
4/18/2016,4/18,297,335,394,432,
4/19/2016,4/19,300,329,396,435,
4/20/2016,4/20,305,322,399,436,
4/21/2016,4/21,310,315,404,437,
4/22/2016,4/22,302,309,404,440,
4/23/2016,4/23,295,303,404,442,
4/24/2016,4/24,290,298,406,444,
4/25/2016,4/25,287,292,406,447,
4/26/2016,4/26,284,287,414,449,
4/27/2016,4/27,287,283,419,451,
4/28/2016,4/28,287,277,419,453,
4/29/2016,4/29,290,271,422,454,
4/30/2016,4/30,307,266,439,457,
5/1/2016,5/1,307,260,439,460,
5/2/2016,5/2,310,255,442,463,
5/3/2016,5/3,305,250,442,465,
5/4/2016,5/4,292,243,442,468,
5/5/2016,5/5,272,237,442,470,
5/6/2016,5/6,251,230,442,471,
5/7/2016,5/7,239,222,442,473,
5/8/2016,5/8,236,212,444,475,
5/9/2016,5/9,234,198,450,478,
5/10/2016,5/10,231,182,455,479,
5/11/2016,5/11,244,165,467,480,
5/12/2016,5/12,239,148,467,481,
5/13/2016,5/13,218,132,467,483,
5/14/2016,5/14,190,115,467,485,
5/15/2016,5/15,165,98,467,486,
5/16/2016,5/16,152,80,475,488,
5/17/2016,5/17,145,64,480,490,
5/18/2016,5/18,150,49,490,491,
5/19/2016,5/19,150,32,500,492,
5/20/2016,5/20,132,11,500,492,
5/21/2016,5/21,104,3,500,493,
5/22/2016,5/22,71,0,500,494,
5/23/2016,5/23,41,0,500,495,
5/24/2016,5/24,28,0,500,496,
5/25/2016,5/25,8,0,500,496,
5/26/2016,5/26,0,0,500,497,
5/27/2016,5/27,0,0,503,498,
5/28/2016,5/28,0,0,505,499,
5/29/2016,5/29,0,0,505,500,
5/30/2016,5/30,0,0,505,502,
5/31/2016,5/31,0,0,505,503,
6/1/2016,6/1,0,0,505,504,
6/2/2016,6/2,0,0,505,505,
6/3/2016,6/3,0,0,505,506,
6/4/2016,6/4,0,0,505,506,
6/5/2016,6/5,0,0,505,506,
6/6/2016,6/6,0,0,505,507,
6/7/2016,6/7,0,0,505,508,
6/8/2016,6/8,0,0,505,509,
6/9/2016,6/9,0,0,505,511,
6/10/2016,6/10,0,0,505,512,
6/11/2016,6/11,0,0,505,513,
6/12/2016,6/12,0,0,505,514,
6/13/2016,6/13,0,0,505,515,
6/14/2016,6/14,0,0,505,516,
6/15/2016,6/15,0,0,505,517,
6/16/2016,6/16,0,0,505,517,
6/17/2016,6/17,0,0,505,518,
6/18/2016,6/18,0,0,505,518,
6/19/2016,6/19,0,0,505,519,
6/20/2016,6/20,0,0,505,519,
6/21/2016,6/21,0,0,505,520,
6/22/2016,6/22,0,0,505,520,
6/23/2016,6/23,0,0,508,521,
6/24/2016,6/24,0,0,508,521,
6/25/2016,6/25,0,0,508,522,
6/26/2016,6/26,0,0,508,522,
6/27/2016,6/27,0,0,508,523,
6/28/2016,6/28,0,0,508,524,
6/29/2016,6/29,0,0,508,526,
6/30/2016,6/30,0,0,516,527,
7/1/2016,7/1,0,0,518,528,
7/2/2016,7/2,0,0,531,529,
7/3/2016,7/3,0,0,536,530,
7/4/2016,7/4,0,0,536,531,
7/5/2016,7/5,0,0,536,532,
7/6/2016,7/6,0,0,536,534,
