Date,DOY,DOY,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
10/1/2016,10/1,10/1,0,0,0,0,**
10/2/2016,10/2,10/2,0,0,0,1,
10/3/2016,10/3,10/3,0,0,0,3,
10/4/2016,10/4,10/4,0,0,0,6,
10/5/2016,10/5,10/5,0,0,0,8,
10/6/2016,10/6,10/6,0,0,3,9,
10/7/2016,10/7,10/7,0,0,5,10,
10/8/2016,10/8,10/8,0,0,8,13,
10/9/2016,10/9,10/9,0,0,8,14,
10/10/2016,10/10,10/10,0,0,10,16,
10/11/2016,10/11,10/11,0,0,13,17,
10/12/2016,10/12,10/12,0,0,15,18,
10/13/2016,10/13,10/13,0,0,15,19,
10/14/2016,10/14,10/14,0,0,15,21,
10/15/2016,10/15,10/15,0,0,15,24,
10/16/2016,10/16,10/16,0,0,15,25,
10/17/2016,10/17,10/17,0,0,15,27,
10/18/2016,10/18,10/18,0,0,15,29,
10/19/2016,10/19,10/19,0,0,15,30,
10/20/2016,10/20,10/20,0,0,15,32,
10/21/2016,10/21,10/21,0,0,15,33,
10/22/2016,10/22,10/22,0,0,15,34,
10/23/2016,10/23,10/23,0,0,18,35,
10/24/2016,10/24,10/24,0,0,18,36,
10/25/2016,10/25,10/25,0,8,18,38,
10/26/2016,10/26,10/26,0,7,18,40,
10/27/2016,10/27,10/27,0,8,18,42,
10/28/2016,10/28,10/28,0,10,18,44,
10/29/2016,10/29,10/29,0,11,18,46,
10/30/2016,10/30,10/30,0,12,18,48,
10/31/2016,10/31,10/31,0,14,18,50,
11/1/2016,11/1,11/1,0,15,18,52,
11/2/2016,11/2,11/2,0,17,18,54,
11/3/2016,11/3,11/3,0,18,18,56,
11/4/2016,11/4,11/4,0,18,20,59,
11/5/2016,11/5,11/5,0,19,20,60,
11/6/2016,11/6,11/6,0,19,20,62,
11/7/2016,11/7,11/7,0,21,20,63,
11/8/2016,11/8,11/8,0,22,20,65,
11/9/2016,11/9,11/9,0,24,20,69,
11/10/2016,11/10,11/10,0,28,20,72,
11/11/2016,11/11,11/11,0,31,20,74,
11/12/2016,11/12,11/12,0,36,20,78,
11/13/2016,11/13,11/13,0,40,20,81,
11/14/2016,11/14,11/14,0,44,20,82,
11/15/2016,11/15,11/15,0,48,23,86,
11/16/2016,11/16,11/16,0,51,23,87,
11/17/2016,11/17,11/17,0,53,23,88,
11/18/2016,11/18,11/18,3,55,28,91,
11/19/2016,11/19,11/19,8,57,28,93,
11/20/2016,11/20,11/20,8,58,28,95,
11/21/2016,11/21,11/21,8,59,28,96,
11/22/2016,11/22,11/22,15,60,33,98,
11/23/2016,11/23,11/23,15,61,41,101,
11/24/2016,11/24,11/24,18,63,41,102,
11/25/2016,11/25,11/25,18,65,43,105,
11/26/2016,11/26,11/26,18,68,46,107,
11/27/2016,11/27,11/27,20,70,46,111,
11/28/2016,11/28,11/28,36,73,58,113,
11/29/2016,11/29,11/29,41,77,66,116,
11/30/2016,11/30,11/30,38,80,66,119,
12/1/2016,12/1,12/1,38,83,69,121,
12/2/2016,12/2,12/2,38,86,69,124,
12/3/2016,12/3,12/3,38,89,69,127,
12/4/2016,12/4,12/4,38,91,69,128,
12/5/2016,12/5,12/5,41,93,71,129,
12/6/2016,12/6,12/6,41,96,71,131,
12/7/2016,12/7,12/7,43,97,71,135,
12/8/2016,12/8,12/8,43,98,74,139,
12/9/2016,12/9,12/9,51,99,81,141,
12/10/2016,12/10,12/10,58,101,84,142,
12/11/2016,12/11,12/11,64,103,86,145,
12/12/2016,12/12,12/12,79,105,102,147,
12/13/2016,12/13,12/13,79,107,102,149,
12/14/2016,12/14,12/14,81,108,104,152,
12/15/2016,12/15,12/15,89,110,109,154,
12/16/2016,12/16,12/16,97,112,114,156,
12/17/2016,12/17,12/17,140,113,152,158,
12/18/2016,12/18,12/18,140,114,157,160,
12/19/2016,12/19,12/19,140,116,157,162,
12/20/2016,12/20,12/20,142,118,160,164,
12/21/2016,12/21,12/21,142,119,160,165,
12/22/2016,12/22,12/22,145,121,160,167,
12/23/2016,12/23,12/23,160,122,175,170,
12/24/2016,12/24,12/24,168,125,180,172,
12/25/2016,12/25,12/25,175,127,188,174,
12/26/2016,12/26,12/26,178,130,190,176,
12/27/2016,12/27,12/27,178,132,193,179,
12/28/2016,12/28,12/28,180,134,196,181,
12/29/2016,12/29,12/29,183,137,196,183,
12/30/2016,12/30,12/30,183,139,196,185,
12/31/2016,12/31,12/31,183,141,196,188,
1/1/2017,1/1,1/1,183,142,196,190,
1/2/2017,1/2,1/2,185,144,196,192,
1/3/2017,1/3,1/3,190,146,198,193,
1/4/2017,1/4,1/4,190,149,201,197,
1/5/2017,1/5,1/5,226,153,231,200,
1/6/2017,1/6,1/6,251,156,257,205,
1/7/2017,1/7,1/7,251,160,259,208,
1/8/2017,1/8,1/8,254,163,259,210,
1/9/2017,1/9,1/9,279,167,284,213,
1/10/2017,1/10,1/10,315,169,310,215,
1/11/2017,1/11,1/11,323,171,315,217,
1/12/2017,1/12,1/12,338,172,330,220,
1/13/2017,1/13,1/13,348,173,338,221,
1/14/2017,1/14,1/14,351,175,343,223,
1/15/2017,1/15,1/15,356,176,348,224,
1/16/2017,1/16,1/16,356,177,348,226,
1/17/2017,1/17,1/17,356,179,348,228,
