Date,,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
10/1/2017,10/1,0,0,0,0,***
10/2/2017,10/2,0,0,3,1,
10/3/2017,10/3,0,0,3,3,
10/4/2017,10/4,0,0,8,6,
10/5/2017,10/5,0,0,8,8,
10/6/2017,10/6,0,0,8,9,
10/7/2017,10/7,0,0,8,10,
10/8/2017,10/8,0,0,8,13,
10/9/2017,10/9,0,0,8,14,
10/10/2017,10/10,10,0,18,16,
10/11/2017,10/11,13,0,18,17,
10/12/2017,10/12,13,0,18,18,
10/13/2017,10/13,8,0,18,19,
10/14/2017,10/14,5,0,18,21,
10/15/2017,10/15,0,0,18,24,
10/16/2017,10/16,0,0,18,25,
10/17/2017,10/17,0,0,18,27,
10/18/2017,10/18,0,0,18,29,
10/19/2017,10/19,0,0,20,30,
10/20/2017,10/20,0,0,20,32,
10/21/2017,10/21,5,0,23,33,
10/22/2017,10/22,5,0,23,34,
10/23/2017,10/23,5,0,23,35,
10/24/2017,10/24,0,0,23,36,
10/25/2017,10/25,0,8,23,38,
10/26/2017,10/26,0,7,23,40,
10/27/2017,10/27,0,8,23,42,
10/28/2017,10/28,0,10,23,44,
10/29/2017,10/29,0,11,23,46,
10/30/2017,10/30,0,12,23,48,
10/31/2017,10/31,3,14,25,50,
11/1/2017,11/1,5,15,25,52,
11/2/2017,11/2,5,17,25,54,
11/3/2017,11/3,0,18,25,56,
11/4/2017,11/4,0,18,28,59,
11/5/2017,11/5,5,19,28,60,
11/6/2017,11/6,8,19,33,62,
11/7/2017,11/7,13,21,38,63,
11/8/2017,11/8,15,22,43,65,
11/9/2017,11/9,18,24,46,69,
11/10/2017,11/10,18,28,46,72,
11/11/2017,11/11,18,31,46,74,
11/12/2017,11/12,18,36,46,78,
11/13/2017,11/13,18,40,46,81,
11/14/2017,11/14,18,44,46,82,
11/15/2017,11/15,18,48,46,86,
11/16/2017,11/16,18,51,46,87,
11/17/2017,11/17,20,53,46,88,
11/18/2017,11/18,43,55,69,91,
11/19/2017,11/19,43,57,71,93,
11/20/2017,11/20,43,58,71,95,
11/21/2017,11/21,46,59,71,96,
11/22/2017,11/22,48,60,74,98,
11/23/2017,11/23,48,61,74,101,
11/24/2017,11/24,48,63,74,102,
11/25/2017,11/25,48,65,74,105,
11/26/2017,11/26,48,68,74,107,
11/27/2017,11/27,48,70,74,111,
11/28/2017,11/28,48,73,74,113,
11/29/2017,11/29,46,77,74,116,
11/30/2017,11/30,46,80,74,119,
12/1/2017,12/1,46,83,74,121,
12/2/2017,12/2,46,86,74,124,
12/3/2017,12/3,46,89,74,127,
12/4/2017,12/4,46,91,74,128,
12/5/2017,12/5,43,93,74,129,
12/6/2017,12/6,43,96,74,131,
12/7/2017,12/7,43,97,74,135,
12/8/2017,12/8,43,98,74,139,
12/9/2017,12/9,46,99,76,141,
12/10/2017,12/10,46,101,76,142,
12/11/2017,12/11,46,103,76,145,
12/12/2017,12/12,48,105,76,147,
12/13/2017,12/13,48,107,76,149,
12/14/2017,12/14,48,108,76,152,
12/15/2017,12/15,48,110,76,154,
12/16/2017,12/16,48,112,76,156,
12/17/2017,12/17,48,113,76,158,
12/18/2017,12/18,48,114,76,160,
12/19/2017,12/19,48,116,76,162,
12/20/2017,12/20,51,118,76,164,
12/21/2017,12/21,51,119,76,165,
12/22/2017,12/22,51,121,79,167,
12/23/2017,12/23,53,122,79,170,
12/24/2017,12/24,61,125,86,172,
12/25/2017,12/25,66,127,89,174,
12/26/2017,12/26,79,130,99,176,
12/27/2017,12/27,79,132,99,179,
12/28/2017,12/28,81,134,102,181,
12/29/2017,12/29,81,137,102,183,
12/30/2017,12/30,81,139,102,185,
12/31/2017,12/31,81,141,102,188,
1/1/2018,1/1,81,142,102,190,
1/2/2018,1/2,81,144,102,192,
1/3/2018,1/3,81,146,102,193,
1/4/2018,1/4,81,149,102,197,
1/5/2018,1/5,81,153,102,200,
1/6/2018,1/6,81,156,102,205,
1/7/2018,1/7,89,160,107,208,
1/8/2018,1/8,94,163,112,210,
1/9/2018,1/9,97,167,114,213,
1/10/2018,1/10,102,169,119,215,
1/11/2018,1/11,104,171,124,217,
1/12/2018,1/12,109,172,127,220,
1/13/2018,1/13,112,173,130,221,
1/14/2018,1/14,112,175,132,223,
1/15/2018,1/15,112,176,132,224,
1/16/2018,1/16,112,177,132,226,
1/17/2018,1/17,112,179,132,228,
1/18/2018,1/18,112,181,132,230,
1/19/2018,1/19,114,181,132,231,
