date,,PH_discharge_ISPOC,,
10/1/14 12:00,10/1,1.254465841,,
10/2/14 12:00,10/2,1.204068335,,
10/3/14 12:00,10/3,1.078463718,,
10/4/14 12:00,10/4,1.00947752,,
10/5/14 12:00,10/5,0.965670407,,
10/6/14 12:00,10/6,0.898464506,,
10/7/14 12:00,10/7,0.869763662,,
10/8/14 12:00,10/8,0.830992796,,
10/9/14 12:00,10/9,0.904684725,,
10/10/14 12:00,10/10,0.976186115,,
10/11/14 12:00,10/11,0.945532231,,
10/12/14 12:00,10/12,0.968436513,,
10/13/14 12:00,10/13,0.987497378,,
10/14/14 12:00,10/14,0.899701307,,
10/15/14 12:00,10/15,0.869280878,,
10/16/14 12:00,10/16,0.815979163,,
10/17/14 12:00,10/17,0.809159944,,
10/18/14 12:00,10/18,0.809867352,,
10/19/14 12:00,10/19,0.789626946,,
10/20/14 12:00,10/20,0.784350623,,
10/21/14 12:00,10/21,0.803488154,,
10/22/14 12:00,10/22,0.914455918,,
10/23/14 12:00,10/23,0.813265617,,
10/24/14 12:00,10/24,0.730084329,,
10/25/14 12:00,10/25,0.694059028,,
10/26/14 12:00,10/26,0.671131552,,
10/27/14 12:00,10/27,0.692216504,,
10/28/14 12:00,10/28,0.665396197,,
10/29/14 12:00,10/29,0.636485544,,
10/30/14 12:00,10/30,0.606744015,,
10/31/14 12:00,10/31,0.580682678,,
11/1/14 12:00,11/1,0.574569077,,
11/2/14 12:00,11/2,0.580682678,,
11/3/14 12:00,11/3,0.641818692,,
11/4/14 12:00,11/4,0.519546664,,
11/5/14 12:00,11/5,0.537887468,,
11/6/14 12:00,11/6,0.599023483,,
11/7/14 12:00,11/7,0.568455475,,
11/8/14 12:00,11/8,0.54400107,,
11/9/14 12:00,11/9,0.50120586,,
11/10/14 12:00,11/10,0.488978657,,
11/11/14 12:00,11/11,0.421729041,,
11/12/14 12:00,11/12,0.550114671,,
11/13/14 12:00,11/13,0.440069846,,
11/14/14 12:00,11/14,0.562341874,,
11/15/14 12:00,11/15,0.580682678,,
11/16/14 12:00,11/16,0.464524251,,
11/17/14 12:00,11/17,0.366706629,,
11/18/14 12:00,11/18,0.41561544,,
11/19/14 12:00,11/19,0.50120586,,
11/20/14 12:00,11/20,0.50120586,,
11/21/14 12:00,11/21,0.464524251,,
11/22/14 12:00,11/22,0.433956244,,
11/23/14 12:00,11/23,0.495092258,,
11/24/14 12:00,11/24,0.421729041,,
11/25/14 12:00,11/25,0.391161034,,
11/26/14 12:00,11/26,0.427842643,,
11/27/14 12:00,11/27,0.409501839,,
11/28/14 12:00,11/28,0.41561544,,
11/29/14 12:00,11/29,0.385047433,,
11/30/14 12:00,11/30,0.391161034,,
12/1/14 12:00,12/1,0.427842643,,
12/2/14 12:00,12/2,0.336138622,,
12/3/14 12:00,12/3,0.397274636,,
12/4/14 12:00,12/4,0.41561544,,
12/5/14 12:00,12/5,0.403388237,,
12/6/14 12:00,12/6,0.348365824,,
12/7/14 12:00,12/7,0.385047433,,
12/8/14 12:00,12/8,0.28722981,,
12/9/14 12:00,12/9,0.226093796,,
12/10/14 12:00,12/10,0.232207397,,
12/11/14 12:00,12/11,0.275002607,,
12/12/14 12:00,12/12,0.299457013,,
12/13/14 12:00,12/13,0.348365824,,
12/14/14 12:00,12/14,0.354479426,,
12/15/14 12:00,12/15,0.281116209,,
12/16/14 12:00,12/16,0.177184985,,
12/17/14 12:00,12/17,0.311684216,,
12/18/14 12:00,12/18,0.311684216,,
12/19/14 12:00,12/19,0.183298586,,
12/20/14 12:00,12/20,0.213866593,,
12/21/14 12:00,12/21,0.293343412,,
12/22/14 12:00,12/22,0.250548202,,
12/23/14 12:00,12/23,0.146616978,,
12/24/14 12:00,12/24,0.140503376,,
12/25/14 12:00,12/25,0.311684216,,
12/26/14 12:00,12/26,0.293343412,,
12/27/14 12:00,12/27,0.305570614,,
12/28/14 12:00,12/28,0.226093796,,
12/29/14 12:00,12/29,0.28722981,,
12/30/14 12:00,12/30,0.268889006,,
12/31/14 12:00,12/31,0.195525789,,
1/1/15 12:00,1/1,0.195525789,,
1/2/15 12:00,1/2,0.20163939,,
1/3/15 12:00,1/3,0.195525789,,
1/4/15 12:00,1/4,0.20163939,,
1/5/15 12:00,1/5,0.213866593,,
1/6/15 12:00,1/6,0.213866593,,
1/7/15 12:00,1/7,0.207752992,,
1/8/15 12:00,1/8,0.207752992,,
1/9/15 12:00,1/9,0.189412187,,
1/10/15 12:00,1/10,0.195525789,,
