Source of data:,https://eastriver.pafbeta.subsurfaceinsights.com/,,,,,,DOC = dissolved organic carbon concentration measured using the NPOC method,
date,PH_discharge_ISPOC,,datetime,ISPOC_DIC,ISPOC_DIC,,datetime,ISCO NPOC
10/1/14 12:00,1.254465841,,5/2/2014 15:00,2333.669148,233.3669148,,5/2/2014 3:00,147.4469449
10/2/14 12:00,1.204068335,,5/3/2014 15:00,2322.5,232.25,,5/3/2014 3:00,158.6971802
10/3/14 12:00,1.078463718,,5/4/2014 15:00,2096.319374,209.6319374,,5/4/2014 3:00,171.2582528
10/4/14 12:00,1.00947752,,5/5/2014 15:00,2020,202,,5/5/2014 3:00,188.3332427
10/5/14 12:00,0.965670407,,5/6/2014 15:00,2003.333333,200.3333333,,5/6/2014 3:00,193.4726711
10/6/14 12:00,0.898464506,,5/7/2014 15:00,1896.935645,189.6935645,,5/7/2014 3:00,187.1602101
10/7/14 12:00,0.869763662,,5/8/2014 15:00,2008.333333,200.8333333,,5/8/2014 3:00,186.9563459
10/8/14 12:00,0.830992796,,5/9/2014 15:00,2100,210,,5/9/2014 3:00,171.7667712
10/9/14 12:00,0.904684725,,5/10/2014 15:00,2112.140017,211.2140017,,5/10/2014 3:00,155.6060644
10/10/14 12:00,0.976186115,,5/11/2014 15:00,2200,220,,5/11/2014 3:00,164.4052625
10/11/14 12:00,0.945532231,,5/12/2014 15:00,2239.166667,223.9166667,,5/12/2014 3:00,156.2571201
10/12/14 12:00,0.968436513,,5/13/2014 15:00,2240.223506,224.0223506,,5/13/2014 3:00,148.6957897
10/13/14 12:00,0.987497378,,5/14/2014 15:00,1872.5,187.25,,5/14/2014 3:00,166.1280513
10/14/14 12:00,0.899701307,,5/15/2014 15:00,2334.166667,233.4166667,,5/15/2014 3:00,144.6222361
10/15/14 12:00,0.869280878,,5/16/2014 15:00,1838.028577,183.8028577,,5/16/2014 3:00,163.6819276
10/16/14 12:00,0.815979163,,5/17/2014 15:00,2241.666667,224.1666667,,5/17/2014 3:00,157.4682108
10/17/14 12:00,0.809159944,,5/18/2014 15:00,2023.333333,202.3333333,,5/18/2014 3:00,176.492917
10/18/14 12:00,0.809867352,,5/19/2014 15:00,1853.959265,185.3959265,,5/19/2014 3:00,183.5801883
10/19/14 12:00,0.789626946,,5/20/2014 15:00,1791.666667,179.1666667,,5/20/2014 3:00,200.0539711
10/20/14 12:00,0.784350623,,5/21/2014 15:00,1760.833333,176.0833333,,5/21/2014 3:00,203.7833745
10/21/14 12:00,0.803488154,,5/22/2014 15:00,1779.147263,177.9147263,,5/22/2014 3:00,180.8327297
10/22/14 12:00,0.914455918,,5/23/2014 15:00,1760,176,,5/23/2014 3:00,186.496493
10/23/14 12:00,0.813265617,,5/24/2014 15:00,1740,174,,5/24/2014 3:00,187.9005037
10/24/14 12:00,0.730084329,,5/25/2014 15:00,1718.141829,171.8141829,,5/25/2014 3:00,202.1879638
10/25/14 12:00,0.694059028,,5/26/2014 15:00,1888.333333,188.8333333,,5/26/2014 3:00,183.5129703
10/26/14 12:00,0.671131552,,5/27/2014 15:00,1776.666667,177.6666667,,5/27/2014 3:00,185.5970487
10/27/14 12:00,0.692216504,,5/28/2014 15:00,1615.735044,161.5735044,,5/28/2014 3:00,177.3359642
10/28/14 12:00,0.665396197,,5/29/2014 15:00,1594.166667,159.4166667,,5/29/2014 3:00,191.498281
