SampleSiteCode,FieldPointName,Northing,Easting,Elevation,Code,EPSG,,,
001-ER18,001-A,4313905.548,327909.795,2908.642,CP-PLOTS,26913,,,
001-ER18,001-B,4313905.682,327908.855,2908.522,CP-PLOTS,26913,,,
001-ER18,001-C,4313906.63,327908.967,2908.548,CP-PLOTS,26913,,,
001-ER18,001-D,4313906.46,327909.893,2908.632,CP-PLOTS,26913,,,
002-ER18,002-A,4313911.705,327909.795,2908.659,CP-PLOTS,26913,,,
002-ER18,002-B,4313912.017,327908.539,2908.472,CP-PLOTS,26913,,,
002-ER18,002-C,4313913.218,327908.908,2908.525,CP-PLOTS,26913,,,
002-ER18,002-D,4313912.864,327910.003,2908.594,CP-PLOTS,26913,,,
003-ER18,003-A,4313920.851,327905.096,2908.131,CP-PLOTS,26913,,,
003-ER18,003-B,4313921.186,327904.209,2908.023,CP-PLOTS,26913,,,
003-ER18,003-C,4313922.031,327904.4,2908.025,CP-PLOTS,26913,,,
003-ER18,003-D,4313921.728,327905.367,2908.095,CP-PLOTS,26913,,,
004-ER18,004-A,4313932.737,327910.179,2908.285,CP-PLOTS,26913,,,
004-ER18,004-B,4313932.819,327909.255,2908.188,CP-PLOTS,26913,,,
004-ER18,004-C,4313933.673,327909.378,2908.211,CP-PLOTS,26913,,,
004-ER18,004-D,4313933.515,327910.198,2908.222,CP-PLOTS,26913,,,
005-ER18,005-A,4313931.712,327898.857,2907.606,CP-PLOTS,26913,,,
005-ER18,005-B,4313931.772,327897.956,2907.5,CP-PLOTS,26913,,,
005-ER18,005-C,4313932.673,327898.02,2907.579,CP-PLOTS,26913,,,
005-ER18,005-D,4313932.565,327898.909,2907.625,CP-PLOTS,26913,,,
006-ER18,006-A,4313974.129,328020.866,2915.274,CP-PLOTS,26913,,,
006-ER18,006-B,4313974.303,328019.964,2915.136,CP-PLOTS,26913,,,
006-ER18,006-C,4313975.214,328020.269,2915.16,CP-PLOTS,26913,,,
006-ER18,006-D,4313974.938,328021.123,2915.202,CP-PLOTS,26913,,,
007-ER18,007-A,4313969.31,328027.856,2916.182,CP-PLOTS,26913,,,
007-ER18,007-B,4313969.199,328026.89,2916.095,CP-PLOTS,26913,,,
007-ER18,007-C,4313970.167,328026.769,2916.093,CP-PLOTS,26913,,,
007-ER18,007-D,4313970.233,328027.801,2916.163,CP-PLOTS,26913,,,
008-ER18,008-A,4313968.732,328020.764,2915.567,CP-PLOTS,26913,,,
008-ER18,008-B,4313968.962,328019.841,2915.372,CP-PLOTS,26913,,,
008-ER18,008-C,4313969.9,328020.22,2915.385,CP-PLOTS,26913,,,
008-ER18,008-D,4313969.522,328021.023,2915.536,CP-PLOTS,26913,,,
009-ER18,009-A,4313980.909,328049.57,2917.964,CP-PLOTS,26913,,,
009-ER18,009-B,4313981.317,328048.717,2917.862,CP-PLOTS,26913,,,
009-ER18,009-C,4313982.245,328049.024,2917.854,CP-PLOTS,26913,,,
009-ER18,009-D,4313981.811,328049.944,2917.963,CP-PLOTS,26913,,,
010-ER18,010-A,4309919.676,330790.412,2767.693,CP-PLOT,26913,,,
010-ER18,010-B,4309919.491,330789.465,2767.826,CP-PLOT,26913,,,
010-ER18,010-C,4309920.393,330789.323,2767.752,CP-PLOT,26913,,,
010-ER18,010-D,4309920.614,330790.328,2767.637,CP-PLOT,26913,,,
011-ER18,011-A,4309918.241,330771.035,2769.323,CP-PLOT,26913,,,
011-ER18,011-B,4309918.182,330770.102,2769.347,CP-PLOT,26913,,,
011-ER18,011-C,4309919.18,330770.063,2769.242,CP-PLOT,26913,,,
011-ER18,011-D,4309919.174,330771.088,2769.198,CP-PLOT,26913,,,
012-ER18,012-A,4309912.952,330763.271,2770.6,CP-PLOT,26913,,,
012-ER18,012-B,4309912.969,330762.381,2770.68,CP-PLOT,26913,,,
012-ER18,012-C,4309913.946,330762.447,2770.582,CP-PLOT,26913,,,
012-ER18,012-D,4309913.793,330763.4,2770.504,CP-PLOT,26913,,,
013-ER18,013-A,4309895.233,330744.923,2775.037,CP-PLOT,26913,,,
013-ER18,013-B,4309895.257,330743.973,2775.191,CP-PLOT,26913,,,
013-ER18,013-C,4309896.183,330743.97,2775.071,CP-PLOT,26913,,,
013-ER18,013-D,4309896.215,330744.876,2774.929,CP-PLOT,26913,,,
014-ER18,014-A,4309908.022,330724.549,2776.857,CP-PLOT,26913,,,
014-ER18,014-B,4309907.7,330723.543,2776.996,CP-PLOT,26913,,,
014-ER18,014-C,4309908.745,330723.387,2776.869,CP-PLOT,26913,,,
014-ER18,014-D,4309908.967,330724.243,2776.733,CP-PLOT,26913,,,
015-ER18,015-A,4309886.357,330726.349,2779.369,CP-PLOT,26913,,,
015-ER18,015-B,4309886.498,330725.45,2779.613,CP-PLOT,26913,,,
015-ER18,015-C,4309887.466,330725.505,2779.462,CP-PLOT,26913,,,
015-ER18,015-D,4309887.348,330726.412,2779.309,CP-PLOT,26913,,,
016-ER18,016-A,4309887.282,330714.004,2782.09,CP-PLOT,26913,,,
016-ER18,016-B,4309887.17,330713.041,2782.351,CP-PLOT,26913,,,
016-ER18,016-C,4309888.093,330713.012,2782.214,CP-PLOT,26913,,,
016-ER18,016-D,4309888.22,330714.025,2781.821,CP-PLOT,26913,,,
017-ER18,017-A,4309881.058,330722.142,2781.031,CP-PLOT,26913,,,
017-ER18,017-B,4309881.306,330721.22,2781.236,CP-PLOT,26913,,,
017-ER18,017-C,4309882.031,330721.419,2781.09,CP-PLOT,26913,,,
017-ER18,017-D,4309882.06,330722.203,2780.862,CP-PLOT,26913,,,
018-ER18,018-A,4309883.794,330691.471,2790.372,CP-PLOT,26913,,,
018-ER18,018-B,4309884.068,330690.495,2790.56,CP-PLOT,26913,,,
018-ER18,018-C,4309884.866,330690.64,2790.301,CP-PLOT,26913,,,
018-ER18,018-D,4309884.647,330691.533,2790.031,CP-PLOT,26913,,,
019-ER18,019-A,4309879.586,330709.11,2785.189,CP-PLOT,26913,,,
019-ER18,019-B,4309879.874,330708.236,2785.501,CP-PLOT,26913,,,
