ï»¿CoverCode,Family,Genus,Species,AltFieldCode,Notes,,,
AcoRos,Rosaceae,Acomastylis,rossii,GeuRos,*syn. = Geum rossii,,,
AgaUrt,Lamiaceae,Agastache,urticifolia,,,,,
AgrSpp,Poaceae,Agrostis,spp,,,,,
Alder,Betulaceae,Alnus,incana,,,,,
AneMul,Ranunculaceae,Anemone,multifida,,,,,
AneNar,Ranunculaceae,Anemonastrum,narcissiflorum ssp. Zephyrum,,,,,
AquCoe,Heleboraceae,Aquilegia,coerulea var. coerulea,AgnCae,,,,
ArnMol,Asteraceae,Arnica,mollis,,,,,
ArnPar,Asteraceae,Arnica,parryi,,,,,
ArtDra,Asteraceae,Artemisia,dracunculus,,,,,
ArtTri,Asteraceae,Artemisia,tridentata,Sage,,,,
Aspen,Salicaceae,Populus,tremuloides,,,,,
Bare,NA,NA,NA,,Bare soil ,,,
BisBis,Polygonaceae,Bistorta,bistortoides,,,,,
Bog Birch,Betulaceae,Betula,glandulosa,,orig. det. Betula pumila,,,
boothii,Salicaceae,Salix,boothii,,,,,
brachy,Salicaceae,Salix,brachycarpa,,,,,
BroIne,Poaceae,Bromopsis,inermis,,syn. = Bromus inermis,,,
CalStr,Poaceae,Calamagrostis,stricta,,,,,
CarAqu,Cyperaceae,Carex,aquatilis,,,,,
CarHoo,Cyperaceae,Carex,hoodii,,,,,
CarLen,Cyperaceae,Carex,lenticularis,,,,,
CarMic,Cyperaceae,Carex,microptera,,,,,
CarSic,Cyperaceae,Carex,siccata,,,,,
CarSpp,Cyperaceae,Carex,spp,,,,,
CarUtr,Cyperaceae,Carex,utriculata,,,,,
CasRhe,Scrophulariaceae,Castilleja,rhexiifolia,,,,,
CasSul,Scrophulariaceae,Castilleja,sulphurea,,,,,
CleRho,Crassulaceae,Clementsia,rhodantha,RhoRho,*syn. = Rhodiola rhodantha,,,
CorCas,Fumariaceae,Corydalis,caseana,,,,,
DelBar,Heleboraceae,Delphinium,barbeyi,,,,,
DesCes,Poaceae,Deschampsia,cespitosa,DesSpp,,,,
DisInv,Caprifoliaceae,Distegia,involucrata,,,,,
drumm,Salicaceae,Salix,drummondiana,,,,,
DugHoo,Asteraceae,Dugaldia,hoopesii,HymHoo,*syn. = Hymenoxys hoopseii,,,
Elderberry,Caprifoliaceae,Sambucus,microbotrys,,,,,
ElyLan,Poaceae,Elymus,lanceolatus,,,,,
ElySpp,Poaceae,Elymus,spp,,,,,
Engelmann,Pinaceae,Picea,engelmannii,,,,,
EriGla,Asteraceae,Erigeron,glacialis,,,,,
EriSpe,Asteraceae,Erigeron,speciosus,,,,,
EryGra,Liliaceae,Erythronium,grandiflorum,,,,,
EucEng,Asteraceae,Eucephalus,engelmannii,,,,,
FesIda,Poaceae,Festuca,idahoensis,,,,,
FesThu,Poaceae,Festuca,thurberi,,,,,
FestucaB,Poaceae,Festuca,spp,,,,,
Fireweed,Onagraceae,Chamerion,danielsii,,syn. = Chamerion angustifolium,,,
FraSpe,Gentianaceae,Frasera,speciosa,,,,,
FraVir,Rosaceae,Fragaria,virgiana,,,,,
GalBor,Rubiaceae,Galium,boreale,,,,,
GerRic,Geraniaceae,Geranium,richardsonii,,,,,
geyer,Salicaceae,Salix,geyeriana,,,,,
glauca,Salicaceae,Salix,glauca,,,,,
Gooseberry,Grossulariaceae,Ribes,montigenum,,,,,
HelMul,Asteraceae,Heliomeris,multiflora,,,,,
HelQui,Asteraceae,Helianthella,quinquenervis,,,,,
HerMax,Apiaceae,Heracleum,maximum,,,,,
HetVil,Asteraceae,Heterotheca,villosa,,,,,
HydFen,Hydrophyllaceae,Hydrophyllum,fendleri,,,,,
IriMis,Iridaceae,Iris,missouriensis,,,,,
JunArc,Juncaceae,Juncus,arcticus,,,,,
Juniper,Cupressaceae,Juniperus,communis,,,,,
LatLan,Fabaceae,Lathyrus,lanszwertii,,,,,
LigPor,Apiaceae,Ligusticum,porteri,,,,,
LinLew,Linaceae,Linum,lewisii,,,,,
Litter,NA,NA,NA,,Litter - non photosynthetic vegetation,,,
