Logger,Sensor Type,Sensor.SN,SFA_Location,Site,Treatment,Subplot,Start,Stop,
9735547,Air.T,9721330,ER-LMB1,LM,ctl,both,5/26/2017,10/23/2020,
9735547,rH,9721330.1,ER-LMB1,LM,ctl,both,5/26/2017,10/23/2020,
9735547,ST,9719166,ER-LMB1,LM,ctl,,5/26/2017,10/23/2020,
9735547,PAR.down,9700885,ER-LMB1L,LM,ctl,meadow,5/26/2017,10/23/2020,
9735547,PAR.up,9700884,ER-LMB1L,LM,ctl,meadow,5/26/2017,10/23/2020,
9735547,SR.down,9734405,ER-LMB1L,LM,ctl,meadow,5/26/2017,10/23/2020,
9735547,SR.up,9734394,ER-LMB1L,LM,ctl,meadow,5/26/2017,10/23/2020,
9735547,SWC,2012373,ER-LMB1L,LM,ctl,meadow,5/26/2017,10/23/2020,
9735547,PAR.down,9711280,ER-LMB1R,LM,ctl,shrub,5/26/2017,10/23/2020,
9735547,SR.down,9734402,ER-LMB1R,LM,ctl,shrub,5/26/2017,10/23/2018,
9735547,SR.down,9734418,ER-LMB1R,LM,ctl,shrub,5/24/2019,10/23/2020,
9735547,SWC,2012371,ER-LMB1R,LM,ctl,shrub,5/26/2017,10/23/2020,
9735539,Air.T,9721325,ER-LMB2,LM,tmt,both,6/3/2017,10/16/2020,
9735539,rH,9721325.1,ER-LMB2,LM,tmt,both,6/3/2017,10/16/2020,
9735539,ST,9719147,ER-LMB2,LM,tmt,both,6/3/2017,10/16/2020,
9735539,PAR.down,9700897,ER-LMB2L,LM,tmt,meadow,6/3/2017,10/16/2020,
9735539,PAR.up,9700886,ER-LMB2L,LM,tmt,meadow,6/3/2017,10/16/2020,
9735539,SR.down,9734417,ER-LMB2L,LM,tmt,meadow,6/3/2017,10/16/2020,
9735539,SR.up,9734410,ER-LMB2L,LM,tmt,meadow,6/3/2017,10/16/2020,
9735539,SWC,2012375,ER-LMB2L,LM,tmt,meadow,6/3/2017,10/26/2018,
9735539,SWC,20145936,ER-LMB2L,LM,tmt,meadow,5/16/2019,10/16/2020,
9735539,PAR.down,9700898,ER-LMB2R,LM,tmt,shrub,6/3/2017,10/16/2020,
9735539,SR.down,9719458,ER-LMB2R,LM,tmt,shrub,6/3/2017,10/16/2020,
9735539,SWC,2012378,ER-LMB2R,LM,tmt,shrub,6/3/2017,10/26/2018,
9735539,SWC,20145934,ER-LMB2R,LM,tmt,shrub,5/16/2019,10/16/2020,
20139117,ST,20399272,WG-LSA1L,LSA,ctl,meadow,6/12/2018,7/16/2020,
20139117,SWC,20145935,WG-LSA1L,LSA,ctl,meadow,5/15/2018,7/16/2020,
20147179,ST,20399270,WG-LSA2L,LSA,tmt,meadow,6/12/2018,8/28/2020,
20147179,SWC,20145939,WG-LSA2L,LSA,tmt,meadow,5/15/2018,8/28/2020,
9735540,Air.T,9721335,WG-LSB1,LSA,ctl,meadow,6/10/2017,5/25/2020,
9735540,rH,9721335.1,WG-LSB1,LSA,ctl,meadow,6/10/2017,5/25/2020,
9735540,ST,9680600,WG-LSB1,LSA,ctl,meadow,6/10/2017,10/6/2020,
9735540,SWC,10769153,WG-LSB1,LSA,ctl,meadow,6/10/2017,10/6/2020,
9735540,PAR.down,9700893,WG-LSB1L,LSA,ctl,meadow,6/10/2017,10/6/2020,
