energy,Hillslope1_20-30cm_2017,Hillslope3_20-30cm_2017,Hillslope3_50-60cm_2017,MCB3_15-30cm_2017,MCB3_50-90cm_2017,MCB3_105-140cm_2017,MCB3_0-12cm_2018,MCB3_40-55cm_2018,MCB3_70-85cm_2018,MZA2_0-15cm_2018,MZA2_30-45cm_2018,MZA2_60-75cm_2018,MYC3_2-15cm_2018
2454,-1.97E-03,-6.66E-03,3.48E-03,-1.84E-03,-2.23E-02,1.92E-03,-4.34E-03,-2.40E-02,-3.06E-03,-1.31E-02,-8.73E-03,-1.53E-02,1.83E-03
2456,1.62E-03,-1.66E-03,7.58E-03,-5.34E-04,2.24E-02,9.02E-04,-1.51E-03,-7.72E-03,-3.15E-02,-1.37E-02,-1.28E-02,-7.87E-03,-4.84E-03
2458,6.00E-03,1.29E-02,-1.81E-02,5.59E-03,1.42E-02,-2.98E-03,-1.93E-03,-4.98E-03,1.64E-02,-1.36E-03,3.66E-03,-1.10E-02,-7.00E-03
2460,-8.97E-03,5.85E-03,-3.74E-04,-2.20E-03,-6.43E-03,-4.45E-03,-2.04E-03,1.08E-03,3.31E-03,1.77E-03,9.59E-03,-7.47E-03,-2.37E-04
2462,3.33E-03,-1.04E-02,7.46E-03,-1.01E-03,-7.88E-03,4.60E-03,7.09E-03,1.37E-02,-8.68E-03,3.95E-03,2.16E-02,2.23E-02,5.23E-03
2464,-9.39E-03,-2.70E-02,2.01E-02,1.08E-02,-2.32E-03,5.17E-03,1.02E-02,2.08E-02,4.59E-03,2.26E-03,3.25E-02,3.37E-02,1.21E-02
2466,7.63E-03,-2.85E-02,2.39E-02,1.85E-02,-2.20E-03,1.43E-02,1.64E-02,3.30E-02,5.09E-02,2.08E-02,5.05E-02,4.43E-02,2.46E-02
2466.15,1.95E-02,-4.39E-02,3.73E-02,1.88E-02,2.76E-02,2.25E-02,2.51E-02,5.42E-02,6.19E-02,2.09E-02,4.34E-02,2.91E-02,2.54E-02
2466.3,3.03E-02,-3.55E-02,3.48E-02,2.21E-02,3.98E-02,2.39E-02,1.84E-02,4.06E-02,4.94E-02,2.40E-02,6.17E-02,4.22E-02,2.99E-02
2466.45,2.42E-02,-4.38E-02,3.82E-02,1.84E-02,3.59E-02,2.77E-02,1.82E-02,6.04E-02,7.33E-02,3.14E-02,6.14E-02,5.96E-02,3.42E-02
