energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2454,5.48E-03,8.97E-04,-4.94E-04,2.59E-03,-8.69E-03,-4.51E-04,1.13E-03,6.91E-04,4.72E-03,1.12E-03,1.46E-04,-4.78E-03,-1.02E-03,-3.93E-04,-3.89E-05
2456,-5.82E-03,-9.12E-04,2.44E-03,-1.94E-03,-1.08E-03,-1.94E-03,-5.40E-04,-4.02E-04,-4.27E-03,-1.39E-03,-1.37E-03,2.71E-03,-3.19E-04,8.19E-04,3.08E-03
2458,-5.37E-04,-7.20E-04,-1.98E-03,-2.32E-03,1.09E-02,4.96E-03,-1.08E-03,-9.74E-04,-5.45E-03,-7.73E-04,-2.88E-04,1.46E-02,6.93E-04,-1.37E-03,-3.89E-03
2460,-3.39E-03,5.87E-04,-1.39E-03,1.05E-04,1.62E-02,-2.29E-03,-7.31E-04,3.88E-04,4.83E-03,1.21E-03,4.10E-03,-1.83E-02,3.64E-03,1.86E-03,-1.32E-03
2462,4.27E-03,1.48E-04,1.42E-03,1.57E-03,-1.73E-02,-2.77E-04,1.22E-03,2.96E-04,1.72E-04,-1.76E-04,-2.59E-03,5.72E-03,-3.00E-03,-9.12E-04,2.16E-03
2464,1.07E-02,2.16E-03,4.19E-03,4.36E-03,-4.13E-02,6.28E-03,1.42E-03,1.50E-03,2.15E-03,4.97E-03,-1.21E-02,1.35E-02,4.94E-03,2.72E-03,6.83E-03
2466,4.60E-03,6.59E-03,9.40E-03,1.22E-02,-3.27E-02,1.13E-02,4.24E-03,4.80E-03,1.98E-02,9.82E-03,-1.03E-02,1.94E-02,2.76E-02,5.34E-03,1.67E-02
2466.15,2.04E-02,1.63E-02,1.19E-02,1.46E-02,-1.92E-02,2.01E-02,1.13E-02,1.19E-02,3.20E-02,1.88E-02,3.50E-03,2.06E-02,6.12E-02,6.61E-03,3.40E-02
2466.3,2.56E-02,1.70E-02,1.32E-02,1.59E-02,-1.65E-02,2.67E-02,1.19E-02,1.02E-02,2.76E-02,1.69E-02,2.74E-03,4.88E-02,6.41E-02,1.04E-02,3.60E-02
2466.45,2.25E-02,1.84E-02,1.27E-02,1.52E-02,-1.79E-02,2.03E-02,1.20E-02,1.52E-02,4.18E-02,1.89E-02,5.38E-03,3.69E-02,6.26E-02,7.03E-03,4.01E-02
2466.6,2.20E-02,2.05E-02,1.50E-02,1.88E-02,-1.56E-02,2.89E-02,1.13E-02,1.25E-02,3.82E-02,2.06E-02,1.46E-02,3.47E-02,6.18E-02,1.15E-02,4.54E-02
2466.75,2.72E-02,2.04E-02,1.56E-02,2.02E-02,-1.64E-02,3.04E-02,1.32E-02,1.26E-02,4.75E-02,2.20E-02,1.18E-02,4.52E-02,6.78E-02,1.27E-02,4.54E-02
2466.9,2.88E-02,2.30E-02,1.18E-02,1.82E-02,-1.65E-02,2.44E-02,1.22E-02,1.42E-02,4.59E-02,2.22E-02,1.27E-02,4.38E-02,6.84E-02,1.34E-02,4.77E-02
2467.05,2.91E-02,2.49E-02,2.18E-02,1.77E-02,-1.89E-02,2.26E-02,1.40E-02,1.72E-02,4.95E-02,1.84E-02,1.57E-02,5.10E-02,6.34E-02,1.58E-02,5.38E-02
