GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2454,8.59E-04,2454,-4.48E-04,2454,5.75E-03,2454,-5.82E-04,2454,5.38E-04
2456,3.37E-04,2456,4.62E-04,2456,-1.97E-03,2456,6.68E-04,2456,2.44E-04
2458,-8.29E-04,2458,4.14E-04,2458,-4.69E-03,2458,2.49E-04,2458,-7.20E-04
2460,-2.79E-03,2460,-4.21E-04,2460,-7.68E-03,2460,-1.74E-04,2460,-1.45E-03
2462,2.42E-03,2462,-6.74E-06,2462,8.60E-03,2462,-1.61E-04,2462,1.38E-03
2464,6.01E-03,2464,3.92E-03,2464,4.48E-03,2464,5.42E-03,2464,4.69E-03
2466,8.89E-03,2466,1.10E-02,2466,-7.62E-03,2466,1.28E-02,2466,1.04E-02
2466.15,2.47E-02,2466.15,2.65E-02,2466.15,1.97E-03,2466.15,3.20E-02,2466.15,2.39E-02
2466.3,3.09E-02,2466.3,3.08E-02,2466.3,3.18E-03,2466.3,3.39E-02,2466.3,2.82E-02
2466.45,2.93E-02,2466.45,3.28E-02,2466.45,5.53E-03,2466.45,3.61E-02,2466.45,2.77E-02
2466.6,3.39E-02,2466.6,3.39E-02,2466.6,7.61E-03,2466.6,3.78E-02,2466.6,3.12E-02
2466.75,2.99E-02,2466.75,3.49E-02,2466.75,1.33E-02,2466.75,4.19E-02,2466.75,3.34E-02
2466.9,3.52E-02,2466.9,3.83E-02,2466.9,8.55E-03,2466.9,4.39E-02,2466.9,3.71E-02
2467.05,3.83E-02,2467.05,4.29E-02,2467.05,1.09E-02,2467.05,4.67E-02,2467.05,4.01E-02
2467.2,4.39E-02,2467.2,4.32E-02,2467.2,1.70E-02,2467.2,5.03E-02,2467.2,4.02E-02
