Energy (eV),spot 1,spot 3,spot 2
2439.9189,4.35E-03,3.53E-03,4.06E-03
2440.1689,2.86E-03,4.37E-03,8.49E-02
2440.419,1.67E-03,1.14E-03,8.52E-02
2440.669,5.53E-03,4.77E-04,0.13128087
2440.9191,9.05E-04,2.63E-03,0.10925097
2441.1691,4.15E-03,4.15E-03,0.1901999
2441.4192,-5.50E-04,7.57E-03,0.10040091
2441.6692,3.04E-03,7.76E-03,0.21231662
2441.9193,2.22E-03,7.01E-03,8.93E-02
2442.1693,-4.63E-04,7.58E-03,8.36E-02
2442.4194,1.42E-04,6.11E-03,4.49E-02
2442.6694,1.78E-03,5.34E-03,-4.14E-02
2442.9195,1.15E-03,6.98E-03,6.18E-02
2443.1695,4.15E-03,7.66E-03,1.57E-02
2443.4196,1.16E-03,5.75E-03,-2.55E-03
2443.6696,1.34E-03,4.67E-03,3.17E-02
2443.9197,1.31E-03,5.83E-03,-9.49E-03
2444.1697,2.94E-03,8.09E-03,-0.11126657
2444.4198,1.70E-03,2.82E-03,1.31E-02
2444.6699,7.09E-04,3.90E-03,3.74E-02
2444.9199,3.13E-03,5.45E-03,-2.77E-03
2445.17,8.77E-04,-1.60E-03,-7.14E-02
2445.42,1.59E-03,-4.06E-06,-4.37E-02
2445.6701,1.42E-04,-5.51E-03,-4.25E-02
2445.9201,4.48E-03,9.65E-04,-1.61E-02
2446.1702,-3.02E-04,-4.07E-03,3.71E-02
2446.4202,2.72E-03,-5.12E-03,4.79E-03
2446.6703,-3.49E-04,-5.77E-03,-0.15918806
2446.9203,-9.88E-05,-5.49E-03,-2.24E-02
2447.1704,1.41E-04,-5.96E-03,-5.94E-03
2447.4204,1.10E-04,-5.57E-03,3.65E-03
2447.6705,-2.14E-03,-5.48E-03,-0.16148617
2447.9205,-2.57E-03,-4.70E-03,-3.55E-02
2448.1706,-3.50E-03,-6.16E-03,-0.14868058
2448.4206,-1.71E-03,-5.43E-03,-9.58E-02
2448.6707,-2.67E-04,-6.16E-03,-0.11275208
2448.9207,-3.43E-03,-1.41E-03,-6.36E-02
2449.1708,-3.06E-03,-7.91E-03,-7.03E-02
2449.4208,-4.11E-03,-5.02E-03,-0.10600811
2449.6709,-1.56E-03,-6.20E-03,-0.11946824
2449.9209,-3.54E-03,-5.43E-05,-2.91E-02
2450.171,-4.54E-03,-8.76E-03,-0.15387393
2450.421,-4.67E-03,-8.34E-03,-0.11926455
2450.6711,2.23E-04,-1.35E-03,-0.14275276
2450.9211,1.15E-04,1.04E-03,-6.77E-02
2451.1712,2.29E-03,-5.15E-03,-5.38E-02
2451.4212,3.28E-04,-2.89E-03,-2.85E-02
2451.6713,-1.15E-03,3.20E-04,-9.12E-02
2451.9213,-2.24E-03,-6.12E-03,-1.85E-02
2452.1714,-2.51E-03,-1.48E-03,-9.99E-02
2452.4214,-2.66E-03,-4.70E-03,-1.64E-02
2452.6715,7.32E-04,-4.09E-03,-4.00E-02
2452.9215,-7.48E-04,-3.89E-03,-8.14E-02
2453.1716,-1.73E-03,2.37E-03,1.47E-02
2453.4216,-2.87E-03,-4.87E-03,-7.06E-02
2453.6717,-2.52E-03,-6.55E-03,-5.80E-02
2453.9217,1.86E-04,9.37E-04,-9.00E-03
2454.1718,-2.53E-03,-2.55E-03,5.42E-02
2454.4218,-1.31E-03,-5.18E-03,1.94E-02
2454.6719,-4.13E-03,-1.76E-03,6.33E-02
2454.922,-1.39E-03,-4.22E-03,0.16241957
2455.172,-2.34E-03,-9.68E-03,0.10275779
2455.4221,3.33E-04,-4.23E-04,7.69E-03
2455.6721,3.00E-04,-1.96E-04,0.21122921
2455.9222,-1.21E-03,-2.29E-03,0.28104908
2456.1722,-1.43E-03,-6.79E-03,0.30352731
2456.4223,-1.92E-03,-8.50E-04,0.32434513
2456.6723,-9.23E-04,-5.41E-03,0.26222474
2456.9224,1.11E-03,-3.73E-03,0.14859816
2457.1724,5.29E-03,1.83E-03,0.13097473
2457.4225,-1.48E-03,-1.98E-03,0.11770352
2457.6725,-6.48E-04,-1.37E-03,4.32E-02
2457.9226,-2.21E-03,-1.40E-03,4.68E-02
2458.1726,-1.76E-03,2.20E-03,-3.27E-02
2458.4227,1.06E-03,2.80E-03,-0.10242366
2458.6727,-7.00E-05,2.88E-03,-4.90E-02
2458.9228,5.09E-03,9.04E-04,1.06E-02
2459.1728,3.84E-03,6.76E-03,-2.37E-02
2459.4229,4.85E-03,4.86E-03,-7.83E-02
2459.6729,4.42E-03,7.75E-03,-3.49E-02
2459.923,5.87E-03,1.20E-02,-3.77E-02
2460.173,5.77E-03,1.02E-02,-3.07E-02
2460.4231,7.55E-03,1.28E-02,-0.12299298
2460.6731,7.87E-03,1.13E-02,-0.14345036
2460.9232,5.03E-03,1.24E-02,-0.16204774
2461.1732,9.54E-03,1.84E-02,-0.18589154
2461.4233,1.06E-02,9.22E-03,-0.10480905
2461.6733,6.24E-03,1.75E-02,-0.12536718
2461.9234,1.11E-02,1.54E-02,-4.98E-02
2462.1734,1.25E-02,2.11E-02,-9.48E-02
2462.4235,1.44E-02,1.84E-02,-8.47E-02
2462.6735,1.19E-02,2.00E-02,-0.12296292
2462.9236,1.52E-02,1.98E-02,-8.17E-02
2463.1736,1.65E-02,2.18E-02,-2.99E-02
2463.4237,1.82E-02,2.90E-02,-5.06E-02
2463.6737,1.74E-02,3.15E-02,-5.04E-02
2463.9238,2.10E-02,2.95E-02,-1.53E-02
2464.1738,2.54E-02,3.69E-02,-8.04E-02
2464.4239,2.61E-02,2.46E-02,2.60E-02
2464.674,3.00E-02,3.16E-02,-8.49E-02
2464.924,3.09E-02,3.71E-02,-0.10376944
2465.1741,3.23E-02,4.24E-02,-7.33E-02
2465.4241,4.01E-02,4.33E-02,-4.40E-02
2465.6742,4.03E-02,4.61E-02,-0.11131375
2465.9242,4.37E-02,4.38E-02,-4.95E-02
2466.1743,4.86E-02,4.79E-02,-6.95E-02
2466.4243,4.65E-02,4.63E-02,-4.97E-02
2466.6744,5.57E-02,4.80E-02,-2.13E-02
2466.9244,6.16E-02,4.61E-02,-5.57E-02
2467.1745,6.90E-02,5.55E-02,-2.64E-03
2467.4245,7.68E-02,6.16E-02,3.05E-02
2467.6746,8.81E-02,6.64E-02,4.97E-02
2467.9246,0.10070265,7.37E-02,-8.52E-03
2468.1747,0.1137587,9.08E-02,3.37E-02
2468.4247,0.13406641,0.10090985,2.61E-02
2468.6748,0.15488589,0.12138,3.40E-02
2468.9248,0.18066858,0.1468556,9.31E-02
2469.1749,0.21848083,0.17113093,1.51E-02
2469.4249,0.26152926,0.22665585,1.63E-02
2469.675,0.3390063,0.29871822,2.53E-02
2469.9,0.42310872,0.3585307,0.1358643
2470.1,0.54965091,0.48055034,0.24942103
2470.3,0.67899589,0.60832692,0.26714335
2470.5,0.88961344,0.82728793,0.31745138
2470.7,1.1166385,1.0510914,0.54585511
2470.9,1.2884255,1.2496128,0.70229055
2471.1,1.4066226,1.3494712,0.83683159
2471.3,1.4577082,1.4093023,0.8855692
2471.5,1.4720041,1.4139254,0.94346223
2471.7,1.4422346,1.4240408,0.99042829
2471.9,1.4039589,1.3550599,1.0276648
2472.1,1.3544429,1.3095562,1.0324954
2472.3,1.3278723,1.250159,1.0993309
2472.5,1.2840217,1.2004089,1.132784
2472.7,1.2179059,1.1422705,1.2358979
2472.9,1.1630827,1.0360208,1.3749918
2473.1,1.1031111,0.98765112,1.4236743
2473.3,1.0467511,0.91530003,1.3599586
2473.5,0.96642719,0.83102846,1.1478081
2473.7,0.87974343,0.77634544,1.0188581
2473.9,0.80594715,0.69192964,0.7772007
2474.1,0.73745483,0.62125056,0.58655971
2474.3,0.67300207,0.55640528,0.63283624
2474.5,0.62708798,0.52216881,0.56391787
2474.7,0.59609897,0.50264381,0.50160971
2474.9,0.58545016,0.46834251,0.52180002
2475.1,0.55388848,0.44674379,0.59804094
2475.3,0.54261128,0.44979792,0.61705358
2475.5,0.54485549,0.44406656,0.69346605
2475.7,0.54914217,0.45726232,0.55591653
2475.9,0.56737262,0.46412678,0.60207144
2476.1,0.61439227,0.50072029,0.59929012
2476.3,0.66510303,0.56258717,0.69997199
2476.5,0.74681027,0.63646335,0.66129711
2476.7,0.81377108,0.71341486,0.75357341
2476.9,0.86386067,0.77520361,0.61642725
2477.1,0.88905339,0.79461289,0.62429611
2477.3,0.91501837,0.82472809,0.72662124
2477.5,0.92968386,0.81644522,0.72535128
2477.7,0.93373918,0.85112589,0.74854801
2477.9,0.96011239,0.86343103,0.84884634
2478.1,0.96312808,0.88551608,0.92941726
2478.3,0.98220765,0.91874752,0.88010577
2478.5,1.0175323,0.94103634,1.0793838
2478.7,1.0424622,0.96285729,1.0933491
2478.9,1.0366109,0.97534422,1.1741068
2479.1,1.0431368,0.99041471,1.3424303
2479.3,1.060688,1.0331797,1.4748635
2479.5,1.0743712,1.0232128,1.7029572
2479.7,1.0860761,1.0550152,1.8859451
2479.9,1.0925452,1.0508475,2.1734702
2480.1,1.0990632,1.0983765,2.2430951
2480.3,1.0980091,1.1027338,2.4422359
2480.5,1.1131092,1.1445072,2.7189199
2480.7,1.1027947,1.1301144,2.9454722
2480.9,1.12689,1.2086344,3.0640912
2481.1,1.1710849,1.252024,3.4272066
2481.3,1.1835088,1.3109626,3.6576003
2481.5,1.2104535,1.3544466,4.3149471
2481.7,1.2141604,1.3663158,4.1849472
2481.9,1.2066086,1.3595707,4.1351027
2482.1,1.1774885,1.3292242,3.8368826
2482.3,1.1516551,1.2704524,3.3838115
2482.5,1.1183869,1.2107318,2.9921368
2482.7,1.0847548,1.1600462,2.6310861
2482.9,1.084842,1.1097833,2.2118406
2483.1,1.0529498,1.0601427,1.8875591
2483.3,1.0519083,1.0465847,1.6268995
2483.5,1.041357,1.0329837,1.496189
2483.7,1.0265238,1.0246258,1.445116
2483.9,1.0333563,1.0145548,1.3667692
2484.1,1.0361451,0.99084728,1.263799
2484.3,1.005177,0.98790162,1.126827
2484.5,1.043761,1.0114004,1.1497203
2484.7,1.0110731,0.97635397,1.1457766
2484.9,1.0292982,1.0186952,1.0277813
