GPS_id,Sample_id,id,Site,Easting_m,Northing_m,Elevation_m,TDR_T(C)_1,TDR_T(C)_2,TDR_T(C)_3,TDR_SM(VWC%)_1,TDR_SM(VWC%)_2,TDR_SM(VWC%)_3,TDR_EC(mS/m)_1,TDR_EC(mS/m)_2,TDR_EC(mS/m)_3
ss01,ss1a,1,Pumphouse,331053.6542,4309609.939,2794.278004,20.9,20.9,23.3,0,2.5,3.6,0,0,0
ss02,ss2a,2,Pumphouse,331066.8769,4309630.467,2784.408362,25.5,25.6,25.4,10.1,15.2,9.4,0,0,0
ss03,ss3a,3,Pumphouse,331088.8369,4309680.114,2775.639624,33.5,33.3,33.2,19.5,14.5,27.1,0,0,0
ss04,ss4a,4,Pumphouse,331111.2309,4309694.226,2772.539642,32.2,32.1,31.4,13,12.3,15.2,0,0,0
ss05,ss5a,5,Pumphouse,331142.455,4309739.185,2764.70148,31.4,31.8,31.5,13.7,14.8,10.5,0,0,0
ss06,ss6a,6,Pumphouse,331149.6313,4309766.521,2758.279366,,31.5,31.7,31.8,8.3,10.9,10.9,0,0
ss07,ss07a,7,Pumphouse,330963.1594,4309618.655,2803.487104,24,23.4,23.1,17.4,13.7,15.6,0.1,0,0.1
ss08,ss08a,8,Pumphouse,330973.0759,4309634.22,2802.08037,23.1,22.7,22.6,16.6,13.7,49.5,0.1,0,0.2
ss09,ss09a,9,Pumphouse,330989.964,4309651.489,2799.328251,23,,23.2,3.3,,4.7,0,,0
ss10,ss10a,10,Pumphouse,331008.5716,4309690.836,2784.383191,25.4,25.8,25.6,9,15.6,14.8,0,0,0
ss11,ss11a,11,Pumphouse,331025.8534,4309721.925,2777.797119,24.9,24.7,24.6,15.9,13.7,13.4,0.1,0,0
ss12,ss12a,12,Pumphouse,331042.157,4309749.577,2770.9931,23.2,23.3,23.1,17.7,20.6,14.5,0,0,0
ss13,ss13a,13,Pumphouse,331066.6011,4309759.908,2766.584019,31.1,31.4,31.8,2.2,9.8,10.1,0,0,0
ss15,ss15a,15,Pumphouse,331071.63,4309796.22,2757.917567,30.5,30.5,30.3,26.8,24.6,30,0.1,0,0.1
ss16,ss16a,16,Pumphouse,331083.2074,4309813.834,2757.286352,30.2,30.2,30.3,22.1,13.7,11.9,0.1,0,0
ss17,ss17a,17,Pumphouse,331001.7345,4309769.045,2769.973717,31.8,31.7,31.7,11.2,10.1,13.7,0,0,0
ss18,ss18a,18,Pumphouse,331024.9478,4309801.645,2761.490033,31.6,31.3,31.3,14.8,11.2,13,0,0,0
ss19,ss19a,19,Pumphouse,331033.7734,4309821.69,2758.655201,31.4,31.7,31.7,15.9,14.5,13.4,0,0,0
ss20,ss20a,20,Pumphouse,330930.6349,4309720.033,2789.228772,31.4,31.6,31.4,16.3,15.2,15.2,0,0,0
ss21,ss21a,21,Pumphouse,330947.3886,4309745.955,2781.712552,30.3,30.4,30.3,11.9,15.6,18.4,0,0,0
ss22,ss22a,22,Pumphouse,330962.757,4309790.201,2770.329216,30.3,30.4,30.3,11.9,15.6,18.4,0,0,0
ss23,ss23a,23,Pumphouse,330985.8551,4309822.872,2761.548556,30.7,30.7,30.5,18.1,18.1,19.2,0.1,0,0
ss24,ss24a,24,Pumphouse,330998.9208,4309840.292,2759.303291,30.6,30.8,30.8,19.5,15.6,19.9,0,0,0
ss25,ss25a,25,Pumphouse,330881.2205,4309739.491,2789.711175,30.4,31.2,31.4,7.2,13.4,13.4,0,0,0
ss26,ss26a,26,Pumphouse,330900.7777,4309782.245,2777.249251,30.7,30.8,31,11.9,8.7,16.3,0,0,0
ss27,ss27a,27,Pumphouse,330923.6595,4309828.603,2766.661653,30.1,31.4,31.4,5.8,9.8,3.6,0,0,0
ss28,ss28a,28,Pumphouse,330937.5857,4309849.083,2763.025161,31.5,31.4,31.2,9,14.1,11.9,0,0,0
ss29,ss29a,29,Pumphouse,330947.8165,4309867.379,2761.3895,31.2,31.4,31.3,8,13.4,15.2,0,0,0
ss61,ss61a,61,Bradley 1,326570.7968,4317309.066,2990.907338,23.8,28.2,28.3,13.7,15.2,18.1,0.06,0.04,0.02
ss62,ss62a,62,Bradley 1,326570.6489,4317290.021,2990.157743,29,29.6,29.5,14.1,16.3,8.3,0.01,0,0.02
ss63,ss63a,63,Bradley 1,326581.103,4317277.786,2991.790614,29.7,29.8,30.8,8.3,5.4,6.9,0,0,0
ss64,ss64a,64,Bradley 1,326589.8693,4317268.937,2993.994929,30.5,30.6,31.3,7.2,11.2,3.6,0,0.01,0
ss65,ss65a,65,Bradley 1,326575.581,4317260.654,2990.603919,30.9,32.3,32.6,8,10.1,12.7,0.02,0,0
ss66,ss66a,66,Bradley 1,326548.6855,4317272.233,2985.596801,32.7,31.9,32.2,21,13.4,18.1,0,0,0
ss67,ss67a,67,Bradley 1,326553.6526,4317252.001,2986.41071,31.9,32.9,33.1,10.1,13.7,18.1,0,0.01,0.01
ss68,ss68a,68,Bradley 1,326526.8573,4317275.398,2982.629881,33.9,33.6,33.7,15.9,32.2,15.9,0.07,0.04,0.03
ss69,ss69a,69,Bradley 1,326533.1509,4317259.108,2984.632182,32.5,33,33.4,8.7,9.4,13.4,0,0,0
ss70,ss70a,70,Bradley 1,326537.0805,4317242.245,2984.320177,32.5,32.7,32.7,11.6,13,7.6,0.02,0.02,0
ss71,ss71a,71,Bradley 1,326501.819,4317254.398,2978.18331,33.6,33.6,33.4,15.2,11.2,18.1,0.04,0,0.03
ss72,ss72a,72,Bradley 1,326509.9542,4317228.274,2980.192679,33.4,33.4,33,17.4,18.1,15.2,0.02,0.02,0.01
ss73,ss73a,73,Bradley 1,326516.6136,4317214.076,2977.844059,33.2,33.3,33.1,13.4,16.6,13.4,0.03,0.03,0
ss74,ss74a,74,Bradley 1,326471.7716,4317244.577,2972.812114,33.2,33.3,34,14.8,14.8,13,0.05,0.02,0.01
ss75,ss75a,75,Bradley 1,326482.565,4317216.076,2973.511845,33,33.1,33.7,17.4,9.8,11.9,0.02,0,0.01
ss76,ss76a,76,Bradley 1,326449.476,4317248.018,2970.530031,34.3,34.5,34.7,16.6,19.2,13.4,0.04,0.04,0.01
ss77,ss77a,77,Bradley 1,326454.9608,4317232.709,2971.232382,35.2,41.9,41.4,10.9,9.4,18.1,0,0,0
ss78,ss78a,78,Bradley 1,326465.6399,4317209.129,2970.532141,39.4,38.6,38.5,18.8,16.6,13.7,0.02,0,0
ss79,ss79a,79,Bradley 1,326416.8385,4317252.307,2966.450939,37.5,37.1,36.6,16.6,16.3,14.8,0,0.05,0
ss80,ss80a,80,Bradley 1,326428.0892,4317224.778,2966.29748,35.9,35.6,35.3,14.5,11.6,19.2,0.04,0.03,0.03
ss81,ss81a,81,Bradley 1,326438.249,4317195.1,2966.560833,35.2,34.9,34.7,14.5,14.5,15.2,0,0.01,0.02
ss82,ss82a,82,Bradley 1,326380.6573,4317260.851,2963.946903,34.3,34.2,34.3,14.1,6.2,10.1,0.02,0,0
ss83,ss83a,83,Bradley 1,326389.1264,4317236.739,2962.303248,34.5,35,34.5,17,10.9,12.7,0,0,0
ss84,ss84a,84,Bradley 1,326398.3584,4317212.225,2960.617559,33.6,32.9,32.2,16.3,21.7,15.2,0,0.06,0.02
ss85,ss85a,85,Bradley 1,326409.2071,4317180.666,2960.405168,30.6,30.3,29.9,16.3,14.4,19.5,0.02,0,0.02
ss86,ss86a,86,Bradley 1,326413.9831,4317171.291,2960.365478,30.7,30.7,30.4,11.6,15.9,15.9,0,0,0.05
ss87,ss87a,87,Bradley 1,326384.2205,4317166.968,2957.019372,31.2,31.1,31,12.3,14.5,11.9,0.02,0.02,0
ss88,ss88a,88,Bradley 1,326377.392,4317192.431,2956.159187,31.7,31.6,31.5,13.7,14.7,10.9,0,0.01,0.02
ss89,ss89a,89,Bradley 1,326374.4838,4317211.723,2956.684887,31.3,31,30.9,22.2,22.4,22.8,0.02,0.04,0.03
ss90,ss90a,90,Bradley 1,326551.3362,4317291.774,2987.25275,30.9,30.6,30.6,18.4,19.5,24.2,0.03,0.04,0.03
ss91,ss91a,91,Bradley 2,325913.0713,4316789.919,2985.424212,27,23.1,22.8,14.1,17,13.4,0.05,0.09,0.05
ss92,ss92a,92,Bradley 2,325916.0281,4316800.993,2983.683614,23.5,24,24.3,12.7,8.7,12.3,0.01,0.02,0.03
ss93,ss93a,93,Bradley 2,325927.363,4316801.103,2979.783697,24.9,25.2,24.9,11.2,21,23.9,0,0.04,0.09
ss94,ss94a,94,Bradley 2,325940.4392,4316802.348,2975.749565,25.8,26.3,26.9,13.7,15.6,16.6,0.04,0.03,0.03
ss95,ss95a,95,Bradley 2,325940.4392,4316802.348,2975.749565,27,27.1,26.7,15.2,13.7,17,0,0,0.07
ss96,ss96a,96,Bradley 2,325941.112,4316820.83,2971.460078,26.7,26.7,26.5,14.1,9,18.8,0.03,0,0.04
