Logger,Sensor Type,Sensor.SN,Point.Location,Plot.Location,Zone,Depth.cm,Veg,Notes,start,stop
9735553,ST,9713847,ER-WML1,ER-WM1,LOWER,6,HERB,,6/25/2015,7/17/2019
9735553,SWC,10736262,ER-WML1,ER-WM1,LOWER,6,HERB,,6/25/2015,7/17/2019
9735553,SWC,10736263,ER-WML1,ER-WM1,LOWER,6,HERB,,6/25/2015,7/17/2019
9735553,ST,10736446,ER-WMU1,ER-WM1,UPPER,6,SHRUB,,6/25/2015,5/18/2019
9735553,ST,20022582,ER-WMU1,ER-WM1,UPPER,6,HERB,,10/28/2016,5/18/2019
9735553,SWC,10736261,ER-WMU1,ER-WM1,UPPER,6,SHRUB,,6/25/2015,1/7/2016
9735553,SWC,10736264,ER-WMU1,ER-WM1,UPPER,6,SHRUB,,6/25/2015,5/18/2019
9735553,SWC,10736278,ER-WMU1,ER-WM1,UPPER,6,HERB,buffer,6/25/2015,5/18/2019
9735553,SWC,10736280,ER-WMU1,ER-WM1,UPPER,6,HERB,buffer,6/25/2015,7/17/2019
9735553,SWC,9689417,ER-WMU1,ER-WM1,UPPER,6,SHRUB,,10/28/2016,5/18/2019
9735546,ST,9719164,ER-WML2,ER-WM2,LOWER,6,HERB,,6/25/2015,7/5/2019
9735546,SWC,9731445,ER-WML2,ER-WM2,LOWER,6,HERB,,6/25/2015,7/5/2019
9735546,SWC,9731468,ER-WML2,ER-WM2,LOWER,6,HERB,,6/25/2015,7/5/2019
9735546,ST,10736441,ER-WMU2,ER-WM2,UPPER,6,SHRUB,,6/25/2015,7/5/2019
9735546,ST,20022585,ER-WMU2,ER-WM2,UPPER,6,HERB,,10/28/2016,7/5/2019
9735546,SWC,9731001,ER-WMU2,ER-WM2,UPPER,6,HERB,"very rocky, hard to find 2nd spot",6/25/2015,1/28/2016
9735546,SWC,9731002,ER-WMU2,ER-WM2,UPPER,6,SHRUB,,6/25/2015,12/19/2015
9735546,SWC,9731055,ER-WMU2,ER-WM2,UPPER,6,SHRUB,,6/25/2015,12/19/2015
9735546,SWC,9731464,ER-WMU2,ER-WM2,UPPER,6,HERB,well placed,6/25/2015,7/5/2019
9735546,SWC,10978423,ER-WMU2,ER-WM2,UPPER,6,HERB,"very rocky, hard to find 2nd spot",10/28/2016,7/5/2019
9735546,SWC,10978424,ER-WMU2,ER-WM2,UPPER,6,SHRUB,,10/28/2016,7/5/2019
9735546,SWC,10978426,ER-WMU2,ER-WM2,UPPER,6,SHRUB,,10/28/2016,7/5/2019
9735535,ST,9719167,ER-WML3,ER-WM3,LOWER,6,HERB,buffer,7/10/2015,7/17/2019
9735535,SWC,9731449,ER-WML3,ER-WM3,LOWER,6,HERB,buffer; well placed,7/10/2015,6/23/2016
9735535,SWC,9731457,ER-WML3,ER-WM3,LOWER,14,HERB,buffer,7/10/2015,7/17/2019
9735535,SWC,10978425,ER-WML3,ER-WM3,LOWER,6,HERB,buffer; well placed,10/28/2016,7/17/2019
9735535,ST,10736439,ER-WMU3,ER-WM3,UPPER,,SHRUB,sensor moved from plot 8,6/16/2017,7/17/2019
9735535,ST,10736447,ER-WMU3,ER-WM3,UPPER,6,SHRUB,,7/10/2015,6/13/2017
9735535,ST,20022583,ER-WMU3,ER-WM3,UPPER,6,HERB,,10/28/2016,7/17/2019
9735535,SWC,9731000,ER-WMU3,ER-WM3,UPPER,14,SHRUB,,,
9735535,SWC,9731456,ER-WMU3,ER-WM3,UPPER,6,HERB,,7/10/2015,3/16/2016
9735535,SWC,9731462,ER-WMU3,ER-WM3,UPPER,6,HERB,,7/10/2015,7/17/2019
9735535,SWC,9731463,ER-WMU3,ER-WM3,UPPER,6,SHRUB,,,
9735535,SWC,10736270,ER-WMU3,ER-WM3,UPPER,6,SHRUB,,7/10/2015,7/17/2019
9735535,SWC,10769150,ER-WMU3,ER-WM3,UPPER,14,SHRUB,,7/10/2015,7/17/2019
9735535,SWC,10978427,ER-WMU3,ER-WM3,UPPER,6,HERB,,10/28/2016,7/17/2019
9735548,ST,9719175,ER-WML4,ER-WM4,LOWER,6,HERB,,6/25/2015,1/2/2016
9735548,ST,10974950,ER-WML4,ER-WM4,LOWER,6,HERB,,8/16/2016,7/17/2019
9735548,SWC,9731450,ER-WML4,ER-WM4,LOWER,6,HERB,,6/25/2015,7/17/2019
9735548,SWC,9731467,ER-WML4,ER-WM4,LOWER,14,HERB,,6/25/2015,7/17/2019
9735548,ST,10736443,ER-WMU4,ER-WM4,UPPER,6,SHRUB,directly under heater; good OM,6/25/2015,7/17/2019
9735548,ST,20022578,ER-WMU4,ER-WM4,UPPER,6,HERB,,10/28/2016,7/17/2019
9735548,SWC,9731440,ER-WMU4,ER-WM4,UPPER,6,SHRUB,directly under heater; good OM,6/25/2015,7/17/2019
9735548,SWC,9731446,ER-WMU4,ER-WM4,UPPER,14,SHRUB,directly under heater; good OM,6/25/2015,7/17/2019
9735548,SWC,9731455,ER-WMU4,ER-WM4,UPPER,6,HERB,,6/25/2015,7/17/2019
9735548,SWC,9731460,ER-WMU4,ER-WM4,UPPER,6,HERB,,6/25/2015,7/17/2019
9735552,ST,9719171,ER-WML5,ER-WM5,LOWER,6,HERB,,6/26/2015,7/17/2019
9735552,SWC,9731447,ER-WML5,ER-WM5,LOWER,6,HERB,,6/26/2015,2/20/2016
9735552,SWC,9731470,ER-WML5,ER-WM5,LOWER,6,HERB,,6/26/2015,7/17/2019
9735552,SWC,10978428,ER-WML5,ER-WM5,LOWER,6,HERB,,8/22/2016,7/17/2019
9735552,ST,10736444,ER-WMU5,ER-WM5,UPPER,6,SHRUB,,6/26/2015,7/10/2019
9735552,ST,20022586,ER-WMU5,ER-WM5,UPPER,6,HERB,,11/16/2016,7/17/2019
9735552,SWC,9731451,ER-WMU5,ER-WM5,UPPER,14,HERB,,6/26/2015,7/6/2016
9735552,SWC,9731452,ER-WMU5,ER-WM5,UPPER,6,SHRUB,,6/26/2015,6/12/2017
9735552,SWC,9731461,ER-WMU5,ER-WM5,UPPER,6,SHRUB,,6/26/2015,7/17/2019
9735552,SWC,9731465,ER-WMU5,ER-WM5,UPPER,6,HERB,,6/26/2015,7/17/2019
