Column_Name,Unit,Description
Contact_Name,Free Text,Primary contact person for the location. This could be a PI or technician responsible for answering questions regarding the location and associated instrumentation
Contact_Email,Valid Email,Best email address for the contact (can be an individual or group email address)
Contact_Affiliation,Free Text,Primary instittuion the contact is affiliated with
Metadata_Provider_Name,Free Text,Person/People who provided the location metadata. Separate names using semicolons.
Location_ID,AA-XXXY,"Persistent site identifier that is unique across the East River Community Observatory. For the format AA-XXXY, where A is the drainage basin (except for Snodgrass), X is a letter and Y is a number. This site ID should be used while referring to the locations in datasets or publications about the site."
Location_Name,Free Text,"A location name that is more commonly used. Location names are not necessarily unique, can change over time, and should not be solely used to identify sites."
Location_Alias,Free Text,"An optional field to indicate other names or identifiers that have been used for the site, either before the formal site ID system was established or names used by other organizations."
Location_Activity,Free Text,Keyword that indicates the primary purpose of the location being established as a measurement point (e.g. Water Quality Monitoring Station). Locations are typically grouped by the Location Activity for display in maps or on the SFA portal. This field was referred to as Location Type in version 1.
Location_Category,Controlled List,"Choices are SFA Intensive, SFA Satellite, SFA One-off Sampling, SFA Collaborator, External Datasource. SFA Intensive then refers to the locations where several measurements are made and produce data for multiple years - e.g. the sites in Pumphouse, Snodgrass regions. SFA Satellite locations are other locations where there is some regular sampling (e.g. Brush Creek Confluence), but it isn't part of a cohort of measurements. For locations that are sampled intermittently or only once, use SFA One-off sampling"
Measurement_Categories,Controlled List,"One or a combination of the following categories - Hydrogeology, Biogeochemistry, Climate, Vegetation. Multiple categories should be separated by semicolons."
Years_Data_Collected,Free Text,Indicate dates of research activity at the location. If the site is no longer active include an end date. Otherwise specify as Start date - Present (as of date metadata was entered)  
Research_Theme,Free Text,A 5-10 word highlight for the type of scientific research conducted at the location
Description,Free Text,A brief description of location and the purpose of data collection there
Geographic_Region,Controlled List,"This can be a region or subregion (or subcatchment) that the location belongs to. See Geographic Region tab and fill in appropriate code. If region is not listed, contact wfsfa-data@googlegroups.com"
Parent_Location_ID,Controlled List,"This is used to construct the location hierarchy, and should be either another location ID or a region/sub-region/plot/transect that the location is a part of. See the Geographic Region or Plots tab to fill in the appropriate parent location. If a region or plot is not listed, contact wfsfa-data@googlegroups.com"
Latitude,Decimal Degrees,"Coordinates for a point measurement. If the location is a plot, use the Plot tab to enter the bounding box coordinates"
Longitude,Decimal Degrees,"Coordinates for a point measurement. If the location is a plot, use the Plot tab to enter the bounding box coordinates"
Lat_Long_Measurement_Method,Free Text,How the latitude/longitude coordinates were obtained indicative of measurement precision
Topographical_Elevation,m,The ground surface elevation of the location 
Topo_Elev_Measurement_Method,Controlled List,"Choices are LIDAR, USGS DEM. When locations are within the LIDAR boundary they are assigned an elevation off the LIDAR measurements. Otherwise elevations are assigned based on the USGS Digital Elevation Model. "
Depth_Profile_Elevations,Free Text,"For multilevel locations (e.g. instrumented wells, snow pits) indicate depths at which measurements have been made in units of ""m below ground surface"". Multiple depths should be separated by semicolons."
Instrumentation,Free Text,"Description of instrumentation at the location. If the location was a sample, and no instrumentation is present mark as N/A"
Variables_Measured,Free Text,"If known, specify variables measured at the location."
Related_Reference,Free Text,Published references with the location metadata. This could be a journal publication or a dataset publication
Location_Metadata_Version,Semantic Versioning Number,"Version of this sheet when the site was added using (Major.minor) versioning schema. A MAJOR version of this sheet reflects several new changes that are backwards incompatible with an older version, MINOR versions are all other changes"
